display_order,layer,segment,parameter_key,parameter_label,description,required_components_for_full_implementation,toolkit_field_or_artifact_paths,source_definition,matrix_scope_note
13,publication_evidence,2,PUB.S2.iti_jitter_policy,ITI/jitter policy,"Fixed ITI, jitter values, jitter range, distribution, or hazard-control policy.","Fixed ITI, jitter values, jitter range, distribution, or hazard-control policy.",See matching KIT columns and parameter checklist; evidence value remains source-derived.,For-AI/audiotactile-paper-metadata-audit/extraction_schema.json,Categorical evidence status aggregated to publication node; exact experiment-level values remain in Evidence Detail.
14,publication_evidence,2,PUB.S2.response_window,Response window,"Allowed response interval, timeout, or scoring window.","Allowed response interval, timeout, or scoring window.",See matching KIT columns and parameter checklist; evidence value remains source-derived.,For-AI/audiotactile-paper-metadata-audit/extraction_schema.json,Categorical evidence status aggregated to publication node; exact experiment-level values remain in Evidence Detail.
15,publication_evidence,2,PUB.S2.task_sequence_rules,Task-critical sequence rules,"Special trial scheduling, target/no-target logic, or expectancy controls.","Special trial scheduling, target/no-target logic, or expectancy controls.",See matching KIT columns and parameter checklist; evidence value remains source-derived.,For-AI/audiotactile-paper-metadata-audit/extraction_schema.json,Categorical evidence status aggregated to publication node; exact experiment-level values remain in Evidence Detail.
16,publication_evidence,3,PUB.S3.tactile_stimulus,Tactile stimulus,"Tactile modality, body site, waveform, duration, frequency, amplitude, and calibration.","Tactile modality, body site, waveform, duration, frequency, amplitude, and calibration.",See matching KIT columns and parameter checklist; evidence value remains source-derived.,For-AI/audiotactile-paper-metadata-audit/extraction_schema.json,Categorical evidence status aggregated to publication node; exact experiment-level values remain in Evidence Detail.
17,publication_evidence,3,PUB.S3.soa_table,SOA/distance-at-touch table,"SOA values, tactile timing values, or distance-at-tactile values.","SOA values, tactile timing values, or distance-at-tactile values.",See matching KIT columns and parameter checklist; evidence value remains source-derived.,For-AI/audiotactile-paper-metadata-audit/extraction_schema.json,Categorical evidence status aggregated to publication node; exact experiment-level values remain in Evidence Detail.
18,publication_evidence,3,PUB.S3.baseline_strategy,Baseline strategy,"Tactile-only, far/static, fastest-baseline, SOA-matched, direction-coupled, or other baseline type.","Tactile-only, far/static, fastest-baseline, SOA-matched, direction-coupled, or other baseline type.",See matching KIT columns and parameter checklist; evidence value remains source-derived.,For-AI/audiotactile-paper-metadata-audit/extraction_schema.json,Categorical evidence status aggregated to publication node; exact experiment-level values remain in Evidence Detail.
19,publication_evidence,3,PUB.S3.baseline_timing,Baseline SOAs/timing,"Baseline SOA values, baseline timing relative to omitted sound, or fixed baseline schedule.","Baseline SOA values, baseline timing relative to omitted sound, or fixed baseline schedule.",See matching KIT columns and parameter checklist; evidence value remains source-derived.,For-AI/audiotactile-paper-metadata-audit/extraction_schema.json,Categorical evidence status aggregated to publication node; exact experiment-level values remain in Evidence Detail.
20,publication_evidence,3,PUB.S3.catch_trial_type,Catch-trial type,"Auditory-only, tactile-only, omitted target, no-go, target-absent, or other catch rule.","Auditory-only, tactile-only, omitted target, no-go, target-absent, or other catch rule.",See matching KIT columns and parameter checklist; evidence value remains source-derived.,For-AI/audiotactile-paper-metadata-audit/extraction_schema.json,Categorical evidence status aggregated to publication node; exact experiment-level values remain in Evidence Detail.
21,publication_evidence,4,PUB.S4.repetitions_per_tactile_soa_condition,Repetitions per tactile SOA/condition,Trial repetitions for each tactile SOA crossed with relevant conditions.,Trial repetitions for each tactile SOA crossed with relevant conditions.,See matching KIT columns and parameter checklist; evidence value remains source-derived.,For-AI/audiotactile-paper-metadata-audit/extraction_schema.json,Categorical evidence status aggregated to publication node; exact experiment-level values remain in Evidence Detail.
22,publication_evidence,4,PUB.S4.baseline_count,Baseline count,Baseline trial count or percentage.,Baseline trial count or percentage.,See matching KIT columns and parameter checklist; evidence value remains source-derived.,For-AI/audiotactile-paper-metadata-audit/extraction_schema.json,Categorical evidence status aggregated to publication node; exact experiment-level values remain in Evidence Detail.
23,publication_evidence,4,PUB.S4.catch_count,Catch count,Catch/no-go/auditory-only trial count or percentage.,Catch/no-go/auditory-only trial count or percentage.,See matching KIT columns and parameter checklist; evidence value remains source-derived.,For-AI/audiotactile-paper-metadata-audit/extraction_schema.json,Categorical evidence status aggregated to publication node; exact experiment-level values remain in Evidence Detail.
24,publication_evidence,4,PUB.S4.block_count,Block count,"Number of blocks, sessions, or phases when task-relevant.","Number of blocks, sessions, or phases when task-relevant.",See matching KIT columns and parameter checklist; evidence value remains source-derived.,For-AI/audiotactile-paper-metadata-audit/extraction_schema.json,Categorical evidence status aggregated to publication node; exact experiment-level values remain in Evidence Detail.
25,publication_evidence,4,PUB.S4.total_trial_count,Total trial count,"Total trials per participant, block, condition, or experiment.","Total trials per participant, block, condition, or experiment.",See matching KIT columns and parameter checklist; evidence value remains source-derived.,For-AI/audiotactile-paper-metadata-audit/extraction_schema.json,Categorical evidence status aggregated to publication node; exact experiment-level values remain in Evidence Detail.
26,toolkit_implementation,0,KIT.S0.profile_identity,Profile identity,"Template/profile identifier, title, and experiment-variant identity.","Template/profile identifier, title, and experiment-variant identity.",study_templates/*.json; assets/preloads/*/01_profile/profile_parameters_manifest.json,assets/preloads/*/01_profile/profile_parameters_manifest.json,Categorical encoding status aggregated across every profile variant attached to the publication node.
27,toolkit_implementation,0,KIT.S0.publication_reference,Publication reference,"Citation, DOI, source URL, and verification state attached to the profile.","Citation, DOI, source URL, and verification state attached to the profile.","study_templates/*.json::{citation,doi,source_url,verification_status}",assets/preloads/*/01_profile/profile_parameters_manifest.json,Categorical encoding status aggregated across every profile variant attached to the publication node.
28,toolkit_implementation,0,KIT.S0.profile_parameter_provenance,Profile parameter provenance,"Source pointers, paper-derived values, toolkit defaults, and recreation caveats.","Source pointers, paper-derived values, toolkit defaults, and recreation caveats.","study_templates/*.json::{reference_parameters,provenance,notes}",assets/preloads/*/01_profile/profile_parameters_manifest.json,Categorical encoding status aggregated across every profile variant attached to the publication node.
29,toolkit_implementation,1,KIT.S1.source_stimulus_inventory,Source stimulus inventory,"Generated/imported/baked auditory assets, source identities, hashes, and reuse boundaries.","Generated/imported/baked auditory assets, source identities, hashes, and reuse boundaries.",design.noises; design.custom_looming_files; design.prestimulus_files; 1_core_audio_ingredients,assets/preloads/*/01_profile/profile_parameters_manifest.json,Categorical encoding status aggregated across every profile variant attached to the publication node.
30,toolkit_implementation,1,KIT.S1.trajectory_snapshots,Trajectory snapshots,"Per-source motion mode, coordinate frame, start/end coordinates, distance, direction, and renderer facts.","Per-source motion mode, coordinate frame, start/end coordinates, distance, direction, and renderer facts.",design.trajectory; design.*.trajectory_snapshot; 1_core_audio_ingredients/trajectory_inventory.json,assets/preloads/*/01_profile/profile_parameters_manifest.json,Categorical encoding status aggregated across every profile variant attached to the publication node.
31,toolkit_implementation,1,KIT.S1.stimulus_duration,Stimulus duration,"Auditory movement and total duration, including configured pre/post holds or imported duration.","Auditory movement and total duration, including configured pre/post holds or imported duration.","design.trajectory::{path_length_m,propagation_speed_mps,padding_pre_s,padding_post_s}; audio file specs",assets/preloads/*/01_profile/profile_parameters_manifest.json,Categorical encoding status aggregated across every profile variant attached to the publication node.
32,toolkit_implementation,2,KIT.S2.trial_sequence_rows,Trial sequence rows,"Named trial families and ordered fixed-audio, looming/source, alternative, and jitter elements.","Named trial families and ordered fixed-audio, looming/source, alternative, and jitter elements.",design.protocol.trial_strips; 2_trial_sequence_designs,assets/preloads/*/01_profile/profile_parameters_manifest.json,Categorical encoding status aggregated across every profile variant attached to the publication node.
33,toolkit_implementation,2,KIT.S2.jitter_values_ms,Jitter values,Explicit within-sequence silent jitter values in milliseconds.,Explicit within-sequence silent jitter values in milliseconds.,design.protocol.trial_strips[].elements[].jitter_values_ms,assets/preloads/*/01_profile/profile_parameters_manifest.json,Categorical encoding status aggregated across every profile variant attached to the publication node.
34,toolkit_implementation,2,KIT.S2.iti_jitter_policy,ITI/jitter policy,"Fixed, jittered, manual, or expectancy/hazard-control timing policy encoded for trial sequencing.","Fixed, jittered, manual, or expectancy/hazard-control timing policy encoded for trial sequencing.",trial-strip jitter elements; row-level ITI/foreperiod/hazard metadata,assets/preloads/*/01_profile/profile_parameters_manifest.json,Categorical encoding status aggregated across every profile variant attached to the publication node.
35,toolkit_implementation,3,KIT.S3.soa_values_ms,SOA values,Target tactile onset delays and their spatial/distance pairing.,Target tactile onset delays and their spatial/distance pairing.,"design.protocol::{soa_values_ms,spatial_values_cm,pair_spatial_values_with_soas}",assets/preloads/*/01_profile/profile_parameters_manifest.json,Categorical encoding status aggregated across every profile variant attached to the publication node.
36,toolkit_implementation,3,KIT.S3.tactile_sites,Tactile sites,"Tactile body site/side plus row-level modality, waveform, intensity, duration, calibration, and channel metadata.","Tactile body site/side plus row-level modality, waveform, intensity, duration, calibration, and channel metadata.",design.protocol.tactile_sites; Segment 3 row-level tactile metadata; channel 3 contract,assets/preloads/*/01_profile/profile_parameters_manifest.json,Categorical encoding status aggregated across every profile variant attached to the publication node.
37,toolkit_implementation,3,KIT.S3.baseline_mode,Baseline mode,"No baseline, tactile-only, anchor, stationary, SOA-zero, sound-offset, or custom baseline strategy.","No baseline, tactile-only, anchor, stationary, SOA-zero, sound-offset, or custom baseline strategy.","design.protocol::{include_baseline_trials,baseline_strategy,baseline_custom_trial_mode,baseline_soa_values_ms}",assets/preloads/*/01_profile/profile_parameters_manifest.json,Categorical encoding status aggregated across every profile variant attached to the publication node.
38,toolkit_implementation,3,KIT.S3.baseline_count,Baseline count,Exact or percentage baseline allocation and whether it crosses sequence variants.,Exact or percentage baseline allocation and whether it crosses sequence variants.,"design.protocol::{baseline_trials_exact,baseline_trial_percentage,baseline_crosses_sequence_variants}",assets/preloads/*/01_profile/profile_parameters_manifest.json,Categorical encoding status aggregated across every profile variant attached to the publication node.
39,toolkit_implementation,3,KIT.S3.catch_mode,Catch mode,"Catch/audio-only inclusion, exact or percentage allocation, and response-withhold contract.","Catch/audio-only inclusion, exact or percentage allocation, and response-withhold contract.","design.protocol::{include_catch_trials,catch_trials_exact,catch_trial_percentage,include_auditory_only_trials,*_crosses_sequence_variants}",assets/preloads/*/01_profile/profile_parameters_manifest.json,Categorical encoding status aggregated across every profile variant attached to the publication node.
40,toolkit_implementation,4,KIT.S4.trial_pool_repetitions,Trial-pool repetitions,Global/family/row/WAV repetition counts used to produce the Segment 4 trial pool.,Global/family/row/WAV repetition counts used to produce the Segment 4 trial pool.,"design.protocol::{repetitions_per_condition,trial_pool_repetition_defaults}; 4_trial_repetition_pool",assets/preloads/*/01_profile/profile_parameters_manifest.json,Categorical encoding status aggregated across every profile variant attached to the publication node.
41,toolkit_implementation,5,KIT.S5.block_count,Block count,Number and labels of generated block schedules.,Number and labels of generated block schedules.,"design.protocol::{blocks,block_specs}; 5_block_csv_preview",assets/preloads/*/01_profile/profile_parameters_manifest.json,Categorical encoding status aggregated across every profile variant attached to the publication node.
42,toolkit_implementation,5,KIT.S5.row_order_constraints,Row/order constraints,"Trial randomization, block-order randomization, maximum consecutive constraints, and preserved row scaffolds.","Trial randomization, block-order randomization, maximum consecutive constraints, and preserved row scaffolds.","design.protocol::{trial_randomization_strategy,block_order_randomization,max_consecutive_same_trial_type,repeat_trial_pool_per_block,distribute_trial_pool_across_blocks}",assets/preloads/*/01_profile/profile_parameters_manifest.json,Categorical encoding status aggregated across every profile variant attached to the publication node.
43,toolkit_implementation,6,KIT.S6.participants,Legacy order-preview count,"Legacy manifests call this participants, but the current Segment 6 contract treats it as the number of participant orders previewed, not planned sample N.","Legacy manifests call this participants, but the current Segment 6 contract treats it as the number of participant orders previewed, not planned sample N.",legacy design.protocol.participants; canonical target toolkit.profile_finalization.order_preview_count,assets/preloads/*/01_profile/profile_parameters_manifest.json,Categorical encoding status aggregated across every profile variant attached to the publication node.
44,toolkit_implementation,6,KIT.S6.experiment_parts,Experiment parts,One-part or split/pre-post package structure and part-order identity.,One-part or split/pre-post package structure and part-order identity.,reference_parameters.dashboard_run_setup.experiment_structure; Segment 6 run setup manifest,assets/preloads/*/01_profile/profile_parameters_manifest.json,Categorical encoding status aggregated across every profile variant attached to the publication node.
45,toolkit_implementation,0,KIT.S0.profile_gap,Segment 0 profile gap,"Any unresolved publication parameter, unsupported context, or declared toolkit default attached to Segment 0.","Review every gap note in the evidence-detail ledger; a missing gap can block launch, while a defaulted gap remains a declared recreation caveat.",assets/preloads/*/01_profile/profile_parameters_manifest.json::field_inventory[parameter=profile_gap],assets/preloads/*/01_profile/profile_parameters_manifest.json,Categorical encoding status aggregated across every profile variant attached to the publication node.
46,toolkit_implementation,1,KIT.S1.profile_gap,Segment 1 profile gap,"Any unresolved publication parameter, unsupported context, or declared toolkit default attached to Segment 1.","Review every gap note in the evidence-detail ledger; a missing gap can block launch, while a defaulted gap remains a declared recreation caveat.",assets/preloads/*/01_profile/profile_parameters_manifest.json::field_inventory[parameter=profile_gap],assets/preloads/*/01_profile/profile_parameters_manifest.json,Categorical encoding status aggregated across every profile variant attached to the publication node.
47,toolkit_implementation,2,KIT.S2.profile_gap,Segment 2 profile gap,"Any unresolved publication parameter, unsupported context, or declared toolkit default attached to Segment 2.","Review every gap note in the evidence-detail ledger; a missing gap can block launch, while a defaulted gap remains a declared recreation caveat.",assets/preloads/*/01_profile/profile_parameters_manifest.json::field_inventory[parameter=profile_gap],assets/preloads/*/01_profile/profile_parameters_manifest.json,Categorical encoding status aggregated across every profile variant attached to the publication node.
48,toolkit_implementation,3,KIT.S3.profile_gap,Segment 3 profile gap,"Any unresolved publication parameter, unsupported context, or declared toolkit default attached to Segment 3.","Review every gap note in the evidence-detail ledger; a missing gap can block launch, while a defaulted gap remains a declared recreation caveat.",assets/preloads/*/01_profile/profile_parameters_manifest.json::field_inventory[parameter=profile_gap],assets/preloads/*/01_profile/profile_parameters_manifest.json,Categorical encoding status aggregated across every profile variant attached to the publication node.
49,toolkit_implementation,4,KIT.S4.profile_gap,Segment 4 profile gap,"Any unresolved publication parameter, unsupported context, or declared toolkit default attached to Segment 4.","Review every gap note in the evidence-detail ledger; a missing gap can block launch, while a defaulted gap remains a declared recreation caveat.",assets/preloads/*/01_profile/profile_parameters_manifest.json::field_inventory[parameter=profile_gap],assets/preloads/*/01_profile/profile_parameters_manifest.json,Categorical encoding status aggregated across every profile variant attached to the publication node.
50,toolkit_implementation,5,KIT.S5.profile_gap,Segment 5 profile gap,"Any unresolved publication parameter, unsupported context, or declared toolkit default attached to Segment 5.","Review every gap note in the evidence-detail ledger; a missing gap can block launch, while a defaulted gap remains a declared recreation caveat.",assets/preloads/*/01_profile/profile_parameters_manifest.json::field_inventory[parameter=profile_gap],assets/preloads/*/01_profile/profile_parameters_manifest.json,Categorical encoding status aggregated across every profile variant attached to the publication node.
51,toolkit_implementation,6,KIT.S6.profile_gap,Segment 6 profile gap,"Any unresolved publication parameter, unsupported context, or declared toolkit default attached to Segment 6.","Review every gap note in the evidence-detail ledger; a missing gap can block launch, while a defaulted gap remains a declared recreation caveat.",assets/preloads/*/01_profile/profile_parameters_manifest.json::field_inventory[parameter=profile_gap],assets/preloads/*/01_profile/profile_parameters_manifest.json,Categorical encoding status aggregated across every profile variant attached to the publication node.
