study_row_id,study_label,year,doi,experiment_label,evidence_stage,toolkit_status,resolved_contracts,contract_coverage_pct,auditory_stimulus,trajectory_kinematics,trial_sequence,task_response,jitter_iti_policy,soa_schedule,tactile_target,baseline_trial_contract,catch_trial_contract,repetition_allocation,block_order_contract
doi:10.1038/srep18603::e,Body part-centered and full body-centered peripersonal space representations. (e),2015,10.1038/srep18603,Experiment 5 — near versus far hand posture,manual_review,runnable,7/11,63.6,approximation_required,derived_complete,partial,partial,reported_complete,derived_complete,reported_complete,derived_complete,derived_complete,reported_complete,partial
doi:10.1038/srep18603::f,Body part-centered and full body-centered peripersonal space representations. (f),2015,10.1038/srep18603,Experiment 6 — face versus trunk congruency,manual_review,runnable,7/11,63.6,approximation_required,derived_complete,partial,partial,reported_complete,derived_complete,reported_complete,derived_complete,derived_complete,reported_complete,partial
doi:10.1038/srep18603::g,Body part-centered and full body-centered peripersonal space representations. (g),2015,10.1038/srep18603,Experiment 7 — modality/scope not assessed,no_exact_doi_audit_join,runnable,0/11,0.0,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed
doi:10.1016/j.neuropsychologia.2009.11.009,Everyday use of the computer mouse extends peripersonal space representation.,2010,10.1016/j.neuropsychologia.2009.11.009,not_assessed,current_audit_without_manual_review,supported_incomplete,0/11,0.0,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable
doi:10.1007/s00221-013-3532-2::a,Tool-use reshapes the boundaries of body and peripersonal space representations. (a),2013,10.1007/s00221-013-3532-2,Experiment 1A — tool-use training PPS task,current_audit_without_manual_review,supported_incomplete,2/11,18.2,approximation_required,derived_complete,partial,partial,partial,reported_complete,partial,not_reported,partial,not_reported,partial
doi:10.1007/s00221-013-3532-2::b,Tool-use reshapes the boundaries of body and peripersonal space representations. (b),2013,10.1007/s00221-013-3532-2,Experiment 3 — pointing-control PPS task,current_audit_without_manual_review,supported_incomplete,2/11,18.2,approximation_required,derived_complete,partial,partial,partial,reported_complete,partial,not_reported,partial,not_reported,partial
doi:10.1016/j.neuropsychologia.2014.08.030::a,Full body action remapping of peripersonal space: the case of walking. (a),2015,10.1016/j.neuropsychologia.2014.08.030,Experiment 1 — locomotion task,manual_review,runnable,8/11,72.7,approximation_required,derived_complete,reported_complete,partial,reported_complete,reported_complete,reported_complete,derived_complete,derived_complete,reported_complete,partial
doi:10.1016/j.neuropsychologia.2014.08.030::b,Full body action remapping of peripersonal space: the case of walking. (b),2015,10.1016/j.neuropsychologia.2014.08.030,Experiment 2 — optic-flow control,manual_review,runnable,0/11,0.0,composite_requires_split,composite_requires_split,composite_requires_split,composite_requires_split,composite_requires_split,composite_requires_split,composite_requires_split,composite_requires_split,composite_requires_split,composite_requires_split,composite_requires_split
doi:10.1162/jocn_a_00006,Fronto-parietal areas necessary for a multisensory representation of peripersonal space in humans: an rTMS study.,2011,10.1162/jocn_a_00006,not_assessed,current_audit_without_manual_review,supported_incomplete,0/11,0.0,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable
doi:10.1016/j.cognition.2015.07.012::a,Peripersonal space as the space of the bodily self. (a),2015,10.1016/j.cognition.2015.07.012,Experiment 1 — front-space/chest,manual_review,runnable,8/11,72.7,not_reported,partial,reported_complete,partial,reported_complete,reported_complete,reported_complete,reported_complete,reported_complete,derived_complete,reported_complete
doi:10.1016/j.cognition.2015.07.012::b,Peripersonal space as the space of the bodily self. (b),2015,10.1016/j.cognition.2015.07.012,Experiment 2 — back-space/back,manual_review,runnable,8/11,72.7,not_reported,partial,reported_complete,partial,reported_complete,reported_complete,reported_complete,reported_complete,reported_complete,derived_complete,reported_complete
doi:10.1016/j.cognition.2015.07.012::c,Peripersonal space as the space of the bodily self. (c),2015,10.1016/j.cognition.2015.07.012,Supplemental front-space receding control,manual_review,runnable,8/11,72.7,not_reported,partial,reported_complete,partial,reported_complete,reported_complete,reported_complete,reported_complete,reported_complete,derived_complete,reported_complete
doi:10.1016/j.neuropsychologia.2015.03.001::a,Emotion-inducing approaching sounds shape the boundaries of multisensory peripersonal space. (a),2015,10.1016/j.neuropsychologia.2015.03.001,Experiment 1 — artificial power-law-noise valence,current_audit_without_manual_review,supported_incomplete,6/11,54.5,approximation_required,approximation_required,reported_complete,partial,partial,reported_complete,reported_complete,reported_complete,reported_complete,reported_complete,partial
doi:10.1016/j.neuropsychologia.2015.03.001::b,Emotion-inducing approaching sounds shape the boundaries of multisensory peripersonal space. (b),2015,10.1016/j.neuropsychologia.2015.03.001,Experiment 2 — ecological/IADS-sound valence,current_audit_without_manual_review,supported_incomplete,6/11,54.5,approximation_required,approximation_required,reported_complete,partial,partial,reported_complete,reported_complete,reported_complete,reported_complete,reported_complete,partial
doi:10.3389/fpsyt.2014.00122,Cynophobic fear adaptively extends peri-personal space.,2014,10.3389/fpsyt.2014.00122,not_assessed,current_audit_without_manual_review,supported_incomplete,0/11,0.0,partial,partial,partial,partial,partial,partial,partial,partial,partial,partial,partial
doi:10.1038/srep02844::a,Amputation and prosthesis implantation shape body and peripersonal space representations. (a),2013,10.1038/srep02844,Experiment 1 — body-representation task; scope unverified,no_exact_doi_audit_join,runnable,0/11,0.0,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed
doi:10.1038/srep02844::b,Amputation and prosthesis implantation shape body and peripersonal space representations. (b),2013,10.1038/srep02844,Experiment 2 — audio-tactile PPS,manual_review,runnable,6/11,54.5,approximation_required,reported_complete,reported_complete,partial,not_reported,reported_complete,partial,explicitly_absent,reported_complete,conflicting_evidence,reported_complete
doi:10.1038/srep02844::c,Amputation and prosthesis implantation shape body and peripersonal space representations. (c),2013,10.1038/srep02844,Experiment 3 — audio-tactile PPS,manual_review,runnable,6/11,54.5,approximation_required,reported_complete,reported_complete,partial,not_reported,reported_complete,partial,explicitly_absent,reported_complete,conflicting_evidence,reported_complete
doi:10.1093/neucas/7.2.97,Auditory peripersonal space in humans: a case of auditory-tactile extinction.,2001,10.1093/neucas/7.2.97,not_assessed,current_audit_without_manual_review,supported_incomplete,0/11,0.0,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable
doi:10.1371/journal.pone.0006582,Motor properties of peripersonal space in humans.,2009,10.1371/journal.pone.0006582,not_assessed,current_audit_without_manual_review,supported_incomplete,0/11,0.0,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable
doi:10.3389/fnbeh.2015.00004,Extending peripersonal space representation without tool-use: evidence from a combined behavioral-computational approach.,2015,10.3389/fnbeh.2015.00004,not_assessed,manual_review,runnable,1/11,9.1,partial,partial,partial,partial,not_reported,partial,partial,explicitly_absent,partial,partial,partial
doi:10.1093/cercor/bhy156,Audio-Tactile and Peripersonal Space Processing Around the Trunk in Human Parietal and Temporal Cortex: An Intracranial EEG Study.,2018,10.1093/cercor/bhy156,not_assessed,manual_review,supported_incomplete,0/11,0.0,partial,partial,partial,partial,partial,partial,partial,partial,not_applicable,partial,partial
doi:10.3389/fpsyg.2015.00639::a,The wheelchair as a full-body tool extending the peripersonal space. (a),2015,10.3389/fpsyg.2015.00639,Experiment 1 — active wheelchair,current_audit_without_manual_review,runnable,0/11,0.0,composite_requires_split,composite_requires_split,composite_requires_split,composite_requires_split,composite_requires_split,composite_requires_split,composite_requires_split,composite_requires_split,composite_requires_split,composite_requires_split,composite_requires_split
doi:10.3389/fpsyg.2015.00639::b,The wheelchair as a full-body tool extending the peripersonal space. (b),2015,10.3389/fpsyg.2015.00639,Experiment 2 — passive wheelchair,current_audit_without_manual_review,runnable,0/11,0.0,composite_requires_split,composite_requires_split,composite_requires_split,composite_requires_split,composite_requires_split,composite_requires_split,composite_requires_split,composite_requires_split,composite_requires_split,composite_requires_split,composite_requires_split
doi:10.3389/fpsyg.2015.00639::c,The wheelchair as a full-body tool extending the peripersonal space. (c),2015,10.3389/fpsyg.2015.00639,Experiment 3 — blindfolded,current_audit_without_manual_review,runnable,0/11,0.0,composite_requires_split,composite_requires_split,composite_requires_split,composite_requires_split,composite_requires_split,composite_requires_split,composite_requires_split,composite_requires_split,composite_requires_split,composite_requires_split,composite_requires_split
doi:10.3389/fict.2017.00031::a,"Peripersonal Space: An Index of Multisensory Body–Environment Interactions in Real, Virtual, and Mixed Realities (a)",2018,10.3389/fict.2017.00031,Experiment 1 — scope not disaggregated,no_exact_doi_audit_join,supported_incomplete,0/11,0.0,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed
doi:10.3389/fict.2017.00031::b,"Peripersonal Space: An Index of Multisensory Body–Environment Interactions in Real, Virtual, and Mixed Realities (b)",2018,10.3389/fict.2017.00031,Experiment 2 — trimodal audiovisual-tactile mixed reality,current_audit_without_manual_review,supported_incomplete,0/11,0.0,composite_requires_split,composite_requires_split,composite_requires_split,composite_requires_split,composite_requires_split,composite_requires_split,composite_requires_split,composite_requires_split,composite_requires_split,composite_requires_split,composite_requires_split
doi:10.1016/j.cortex.2017.08.033,Social perception of others shapes one's own multisensory peripersonal space.,2018,10.1016/j.cortex.2017.08.033,not_assessed,current_audit_without_manual_review,supported_incomplete,0/11,0.0,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable
doi:10.1016/j.neuropsychologia.2014.10.027,Your place or mine: shared sensory experiences elicit a remapping of peripersonal space.,2015,10.1016/j.neuropsychologia.2014.10.027,not_assessed,current_audit_without_manual_review,supported_incomplete,0/11,0.0,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable
doi:10.1523/jneurosci.1696-15.2015,Intertrial Variability in the Premotor Cortex Accounts for Individual Differences in Peripersonal Space.,2015,10.1523/jneurosci.1696-15.2015,not_assessed,current_audit_without_manual_review,supported_incomplete,0/11,0.0,low_confidence,low_confidence,low_confidence,low_confidence,low_confidence,low_confidence,low_confidence,low_confidence,low_confidence,source_unavailable,low_confidence
doi:10.1016/j.neuropsychologia.2006.12.004,Auditory-somatosensory multisensory interactions in front and rear space.,2007,10.1016/j.neuropsychologia.2006.12.004,not_assessed,no_exact_doi_audit_join,not_assessed,0/11,0.0,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed
doi:10.1152/jn.00652.2017,Neural adaptation accounts for the dynamic resizing of peripersonal space: evidence from a psychophysical-computational approach.,2018,10.1152/jn.00652.2017,not_assessed,current_audit_without_manual_review,supported_incomplete,0/11,0.0,source_unavailable,low_confidence,low_confidence,low_confidence,low_confidence,low_confidence,low_confidence,low_confidence,low_confidence,low_confidence,low_confidence
doi:10.1016/j.cognition.2018.04.001,Interoceptive influences on peripersonal space boundary.,2018,10.1016/j.cognition.2018.04.001,not_assessed,current_audit_without_manual_review,supported_incomplete,0/11,0.0,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable
doi:10.1111/ejn.13872::a,Vestibular modulation of peripersonal space boundaries. (a),2018,10.1111/ejn.13872,Experiment 1,current_audit_without_manual_review,runnable,0/11,0.0,composite_requires_split,composite_requires_split,composite_requires_split,composite_requires_split,composite_requires_split,composite_requires_split,composite_requires_split,composite_requires_split,composite_requires_split,composite_requires_split,composite_requires_split
doi:10.1111/ejn.13872::b,Vestibular modulation of peripersonal space boundaries. (b),2018,10.1111/ejn.13872,Experiment 2,current_audit_without_manual_review,runnable,0/11,0.0,composite_requires_split,composite_requires_split,composite_requires_split,composite_requires_split,composite_requires_split,composite_requires_split,composite_requires_split,composite_requires_split,composite_requires_split,composite_requires_split,composite_requires_split
doi:10.1111/ejn.13872::c,Vestibular modulation of peripersonal space boundaries. (c),2018,10.1111/ejn.13872,Experiment 3,current_audit_without_manual_review,runnable,0/11,0.0,composite_requires_split,composite_requires_split,composite_requires_split,composite_requires_split,composite_requires_split,composite_requires_split,composite_requires_split,composite_requires_split,composite_requires_split,composite_requires_split,composite_requires_split
doi:10.1016/j.neuropsychologia.2014.09.043,Moving sounds within the peripersonal space modulate the motor system.,2015,10.1016/j.neuropsychologia.2014.09.043,not_assessed,manual_review,supported_incomplete,0/11,0.0,partial,partial,partial,partial,partial,partial,partial,partial,partial,partial,partial
doi:10.1007/s00221-005-2393-8,Audiotactile interactions in near and far space,2005,10.1007/s00221-005-2393-8,not_assessed,current_audit_without_manual_review,supported_incomplete,0/11,0.0,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable
doi:10.1007/s00221-017-5158-2,Anisotropy of lateral peripersonal space is linked to handedness.,2018,10.1007/s00221-017-5158-2,not_assessed,current_audit_without_manual_review,supported_incomplete,0/11,0.0,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable
doi:10.1016/j.neuropsychologia.2008.07.025,Auditory-somatosensory multisensory interactions are spatially modulated by stimulated body surface and acoustic spectra.,2009,10.1016/j.neuropsychologia.2008.07.025,not_assessed,no_exact_doi_audit_join,not_assessed,0/11,0.0,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed
doi:10.1016/j.jneumeth.2019.108534,Capturing the dynamics of peripersonal space by integrating expectancy effects and sound propagation properties.,2019,10.1016/j.jneumeth.2019.108534,not_assessed,current_audit_without_manual_review,supported_incomplete,9/11,81.8,reported_complete,derived_complete,reported_complete,reported_complete,reported_complete,conflicting_evidence,reported_complete,conflicting_evidence,derived_complete,reported_complete,reported_complete
doi:10.1093/schbul/sbac067,Tool-use Extends Peripersonal Space Boundaries in Schizophrenic Patients.,2022,10.1093/schbul/sbac067,not_assessed,current_audit_without_manual_review,supported_incomplete,0/11,0.0,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable
doi:10.1016/j.neuroimage.2012.06.063,Suppression of premotor cortex disrupts motor coding of peripersonal space.,2012,10.1016/j.neuroimage.2012.06.063,not_assessed,current_audit_without_manual_review,supported_incomplete,0/11,0.0,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable
doi:10.1093/cercor/bhh197,Grabbing your ear: rapid auditory-somatosensory multisensory interactions in low-level sensory cortices are not constrained by stimulus alignment.,2005,10.1093/cercor/bhh197,not_assessed,no_exact_doi_audit_join,not_assessed,0/11,0.0,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed
doi:10.1016/j.tics.2016.01.005,Variability in Multisensory Responses Predicts the Self-Space.,2016,10.1016/j.tics.2016.01.005,not_assessed,no_exact_doi_audit_join,not_assessed,0/11,0.0,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed
doi:10.1007/s00221-020-05771-5::a,Do sounds near the hand facilitate tactile reaction times? Four experiments and a meta-analysis provide mixed support and suggest a small effect size. (a),2020,10.1007/s00221-020-05771-5,Experiment 1,current_audit_without_manual_review,supported_incomplete,9/11,81.8,reported_complete,reported_complete,partial,partial,reported_complete,reported_complete,reported_complete,explicitly_absent,reported_complete,reported_complete,reported_complete
doi:10.1007/s00221-020-05771-5::b,Do sounds near the hand facilitate tactile reaction times? Four experiments and a meta-analysis provide mixed support and suggest a small effect size. (b),2020,10.1007/s00221-020-05771-5,Experiment 2,current_audit_without_manual_review,supported_incomplete,9/11,81.8,reported_complete,reported_complete,partial,partial,reported_complete,reported_complete,reported_complete,explicitly_absent,reported_complete,reported_complete,reported_complete
doi:10.1007/s00221-020-05771-5::c,Do sounds near the hand facilitate tactile reaction times? Four experiments and a meta-analysis provide mixed support and suggest a small effect size. (c),2020,10.1007/s00221-020-05771-5,Experiment 3,current_audit_without_manual_review,supported_incomplete,9/11,81.8,reported_complete,reported_complete,partial,partial,reported_complete,reported_complete,reported_complete,explicitly_absent,explicitly_absent,reported_complete,reported_complete
doi:10.1007/s00221-020-05771-5::d,Do sounds near the hand facilitate tactile reaction times? Four experiments and a meta-analysis provide mixed support and suggest a small effect size. (d),2020,10.1007/s00221-020-05771-5,Experiment 4,current_audit_without_manual_review,supported_incomplete,7/11,63.6,approximation_required,reported_complete,partial,partial,source_unavailable,reported_complete,reported_complete,explicitly_absent,explicitly_absent,reported_complete,reported_complete
doi:10.1098/rsos.181878,Social coding of the multisensory space around us.,2019,10.1098/rsos.181878,not_assessed,current_audit_without_manual_review,supported_incomplete,0/11,0.0,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable
doi:10.1016/j.neuropsychologia.2020.107579,Schizotypy and individual differences in peripersonal space plasticity.,2020,10.1016/j.neuropsychologia.2020.107579,not_assessed,no_exact_doi_audit_join,not_assessed,0/11,0.0,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed
doi:10.1016/j.neuropsychologia.2020.107622,Effect of tool-use observation on metric body representation and peripersonal space.,2020,10.1016/j.neuropsychologia.2020.107622,not_assessed,current_audit_without_manual_review,supported_incomplete,0/11,0.0,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable
doi:10.1038/s41598-019-45224-w,Enlarged representation of peripersonal space in pregnancy.,2019,10.1038/s41598-019-45224-w,not_assessed,current_audit_without_manual_review,supported_incomplete,0/11,0.0,low_confidence,low_confidence,low_confidence,low_confidence,low_confidence,low_confidence,low_confidence,low_confidence,low_confidence,low_confidence,low_confidence
doi:10.1016/j.actpsy.2004.10.017,Audiotactile temporal order judgments.,2005,10.1016/j.actpsy.2004.10.017,not_assessed,no_exact_doi_audit_join,not_assessed,0/11,0.0,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed
doi:10.1016/j.cortex.2021.08.004,Seeming confines: Electrophysiological evidence of peripersonal space remapping following tool-use in humans.,2021,10.1016/j.cortex.2021.08.004,not_assessed,current_audit_without_manual_review,supported_incomplete,0/11,0.0,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable
doi:10.1016/j.neuropsychologia.2017.07.018,This racket is not mine: The influence of the tool-use on peripersonal space.,2017,10.1016/j.neuropsychologia.2017.07.018,not_assessed,manual_review,runnable,0/11,0.0,partial,partial,partial,partial,not_reported,partial,partial,partial,partial,partial,partial
doi:10.1177/1362361319838950,Altered bodily self-consciousness and peripersonal space in autism.,2019,10.1177/1362361319838950,not_assessed,current_audit_without_manual_review,supported_incomplete,0/11,0.0,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable
doi:10.1111/j.1460-9568.2010.07210.x,Seeing the body modulates audiotactile integration,2010,10.1111/j.1460-9568.2010.07210.x,not_assessed,no_exact_doi_audit_join,not_assessed,0/11,0.0,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed
doi:10.1007/s00426-020-01365-6,Does musical interaction in a jazz duet modulate peripersonal space?,2021,10.1007/s00426-020-01365-6,not_assessed,current_audit_without_manual_review,supported_incomplete,0/11,0.0,source_unavailable,source_unavailable,low_confidence,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable
doi:10.1073/pnas.2024548118,Spatial tuning of electrophysiological responses to multisensory stimuli reveals a primitive coding of the body boundaries in newborns,2021,10.1073/pnas.2024548118,not_assessed,manual_review,supported_incomplete,0/11,0.0,partial,partial,partial,partial,partial,partial,partial,partial,not_applicable,partial,partial
doi:10.1038/s41598-021-90784-5,"Peripersonal space in the front, rear, left and right directions for audio-tactile multisensory integration.",2021,10.1038/s41598-021-90784-5,not_assessed,manual_review,runnable,0/11,0.0,partial,partial,partial,partial,not_reported,partial,partial,partial,partial,partial,partial
doi:10.1177/0956797619869337,Remapping Peripersonal Space by Using Foot-Sole Vibrations Without Any Body Movement.,2019,10.1177/0956797619869337,not_assessed,current_audit_without_manual_review,supported_incomplete,0/11,0.0,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable
doi:10.1016/j.neuropsychologia.2021.107823,Phase-coupling of neural oscillations contributes to individual differences in peripersonal space.,2021,10.1016/j.neuropsychologia.2021.107823,not_assessed,no_exact_doi_audit_join,not_assessed,0/11,0.0,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed
doi:10.1016/j.cortex.2020.11.021,How ageing shapes body and space representations: A comparison study between healthy young and older adults.,2021,10.1016/j.cortex.2020.11.021,not_assessed,current_audit_without_manual_review,supported_incomplete,8/11,72.7,approximation_required,derived_complete,partial,reported_complete,reported_complete,reported_complete,approximation_required,derived_complete,reported_complete,reported_complete,reported_complete
doi:10.3233/rnn-120286,Plasticity of body representations after surgical arm elongation in an achondroplasic patient.,2013,10.3233/rnn-120286,not_assessed,current_audit_without_manual_review,supported_incomplete,0/11,0.0,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable
doi:10.1038/s41598-022-21469-w,Multisensory-driven facilitation within the peripersonal space is modulated by the expectations about stimulus location on the body.,2022,10.1038/s41598-022-21469-w,not_assessed,current_audit_without_manual_review,adjacent_scope_conflict,0/11,0.0,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable
doi:10.1038/s41598-020-79767-0,Auditory roughness elicits defense reactions.,2021,10.1038/s41598-020-79767-0,not_assessed,manual_review,supported_incomplete,0/11,0.0,partial,partial,partial,partial,partial,partial,partial,partial,partial,partial,partial
doi:10.1007/s00221-019-05469-3,Enhanced audio-tactile multisensory interaction in a peripersonal task after echolocation.,2019,10.1007/s00221-019-05469-3,not_assessed,manual_review,runnable,0/11,0.0,partial,partial,partial,partial,partial,partial,partial,partial,partial,partial,partial
doi:10.1038/s41598-019-45084-4,Identifying peripersonal space boundaries in newborns.,2019,10.1038/s41598-019-45084-4,not_assessed,current_audit_without_manual_review,supported_incomplete,0/11,0.0,low_confidence,low_confidence,low_confidence,low_confidence,low_confidence,low_confidence,source_unavailable,low_confidence,low_confidence,low_confidence,low_confidence
doi:10.1093/braincomms/fcac179,Body and peripersonal space representations in chronic stroke patients with upper limb motor deficits.,2022,10.1093/braincomms/fcac179,not_assessed,no_exact_doi_audit_join,not_assessed,0/11,0.0,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed
doi:10.1007/s00221-013-3574-5,Audiotactile interactions beyond the space and body parts around the head,2013,10.1007/s00221-013-3574-5,not_assessed,current_audit_without_manual_review,supported_incomplete,0/11,0.0,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable,source_unavailable
