study_row_id,network_node_id,record_id,study_label,title,year,doi,experiment_letter,experiment_label,profile_id,parameter_evidence_scope,evidence_stage,toolkit_status,auditory_stimulus,trajectory_kinematics,trial_sequence,task_response,jitter_iti_policy,soa_schedule,tactile_target,baseline_trial_contract,catch_trial_contract,repetition_allocation,block_order_contract,study_structure_schedule,measurement_acquisition_outcome
doi:10.1016/j.cognition.2015.07.012::c,doi:10.1016/j.cognition.2015.07.012,noel_2015_bodily_self,Peripersonal space as the space of the bodily self. (c),Peripersonal space as the space of the bodily self.,2015,10.1016/j.cognition.2015.07.012,c,Supplemental front-space receding control,,composite_requires_split,manual_review,runnable,"The reviewed main paper and supplement identify a looming/receding sound but do not report its noise/tone/file identity, waveform, generator, asset or source provenance.","Receding sound in front space away from the chest at 75 cm/s, perceived centrally using two eight-speaker side arrays 50 cm from midline and spanning 100 cm front to 100 cm back. Task-critical tactile sampling spans 190-1140 ms, but full sound duration/offset is not reported.","Within each synchronous/asynchronous stroking block, a 60-s induction was followed by repeating cycles of three PPS task trials separated by 0.5 s and then 10 s of FBI-only stroking. PPS rows comprised audio-tactile targets, tactile-only endpoint baselines and auditory-only catches.",Press a gamepad button as quickly as possible to 100-ms chest vibration and withhold on auditory-only catches while stroking continues; no numeric response/scoring window was recovered.,"Fixed timing policy: after 60-s induction, three PPS trials have 0.5-s inter-trial intervals, followed by 10 s of FBI-only stroking; no variable jitter distribution is reported.","T1-T6 = 190, 380, 570, 760, 950 and 1140 ms after sound onset; distances are 90, 75, 60, 45, 30 and 15 cm from the body. For receding, T1-T6 map from near D1 to far D6.","100-ms vibrotactile target at stern level on the chest, delivered by a Precision MicroDrives model 312-101 shaftless vibration motor.",Tactile-only baselines at temporal equivalents T1 and T6/D1 and D6: 12 repetitions x 2 timings = 24 baseline trials per stroking-condition block; analysis used each participant's fastest endpoint baseline averaged across synchrony.,"Twelve auditory-only/no-tactile catch trials per stroking-condition block, requiring response withholding.","Per stroking block: 12 repetitions x 6 audio-tactile distances = 72 targets, plus 24 baselines and 12 catches = 108. Across synchronous and asynchronous blocks: 216 trials per participant.","Two stroking-condition blocks, synchronous and asynchronous, each containing the 108-trial PPS/baseline/catch pool; block order was counterbalanced between participants.",Design family: crossover | Assignment scope: within_participant | Pps occurrence pattern: within_session_block_conditions,"chest_vibration_button_rt: behavioral_response, reaction time from chest vibration to button press, native_response_log"
doi:10.1016/j.neuropsychologia.2015.03.001::a,doi:10.1016/j.neuropsychologia.2015.03.001,ferri_2015_artificial_valence,Emotion-inducing approaching sounds shape the boundaries of multisensory peripersonal space. (a),Emotion-inducing approaching sounds shape the boundaries of multisensory peripersonal space.,2015,10.1016/j.neuropsychologia.2015.03.001,a,Experiment 1 — artificial power-law-noise valence,ferri_2015_artificial_looming_valence,experiment_specific,current_audit_without_manual_review,supported_incomplete,Artificial 3-s power-law noise: brown negative-valence and white neutral; exponential gain-only rise from 55 to 70 dB SPL.,Geometry: Gain-only approaching proxy with no reported metric 3D path; do not invent Cartesian endpoints. Kinematics: 3000-ms active sound with 1000-ms pre/post silence; spatial speed is not applicable to the gain-only proxy.,Trial-sequence evidence recoverable from the prior combined review: Speeded left-index button response to right-middle-finger electrical targets; no response timeout reported.,Speeded left-index button response to right-middle-finger electrical targets; no response timeout reported.,Fixed 1000-ms pre/post silence; no variable ITI/jitter distribution reported.,"D1-D10 at 300,600,900,1200,1500,1800,2100,2400,2700,3000 ms after onset; tactile-only D0 at -500 ms.","Digitimer DS7A electrical stimulation through paired Ag-AgCl surface electrodes on the intermediate phalanx of the right middle finger: one 100-microsecond square-wave pulse. Intensity was raised from minimum until clearly perceived, then validated with 10 targets intermingled with 5 no-stimulation catches; any error triggered a repeat after a 5-mA increase, until 100% correct.",Tactile-only D0 at -500 ms; 32 baseline targets total (16 repetitions x 2 auditory-condition contexts).,Sixty-four auditory-only catches.,"Sixteen repetitions per D0-D10 x two artificial-valence conditions: 352 tactile targets plus 64 catches, 416 total.",Two blocks.,Design family: single_measurement | Assignment scope: single_cohort | Pps occurrence pattern: within_session_trial_conditions,"artificial_sound_tactile_button_rt: behavioral_response, reaction time from electrical target onset, native_response_log"
doi:10.1016/j.neuropsychologia.2015.03.001::b,doi:10.1016/j.neuropsychologia.2015.03.001,ferri_2015_ecological_valence,Emotion-inducing approaching sounds shape the boundaries of multisensory peripersonal space. (b),Emotion-inducing approaching sounds shape the boundaries of multisensory peripersonal space.,2015,10.1016/j.neuropsychologia.2015.03.001,b,Experiment 2 — ecological/IADS-sound valence,ferri_2015_ecological_looming_valence,experiment_specific,current_audit_without_manual_review,supported_incomplete,"Four 3-s ecological/IADS or control sounds: scream, laugh, brushing teeth and white noise, with looming gain envelope.",Geometry: Gain-only approaching proxy with no reported metric 3D path; do not invent Cartesian endpoints. Kinematics: 3000-ms active sound with 1000-ms pre/post silence; metric spatial speed is not applicable.,Trial-sequence evidence recoverable from the prior combined review: Speeded left-index button response to right-middle-finger electrical targets; no response timeout reported.,Speeded left-index button response to right-middle-finger electrical targets; no response timeout reported.,Fixed 1000-ms pre/post silence; no variable ITI/jitter distribution reported.,D1-D10 at 300-ms steps from 300 to 3000 ms after onset; tactile-only D0 at -500 ms.,"Digitimer DS7A electrical stimulation through paired Ag-AgCl surface electrodes on the intermediate phalanx of the right middle finger: one 100-microsecond square-wave pulse. Experiment 2 reused Experiment 1 delivery/calibration: raise intensity until clearly perceived, validate 10 targets plus 5 catches, and repeat after +5 mA following any error until 100% correct.",Tactile-only D0 at -500 ms; 48 baseline targets total (12 repetitions x four sound contexts).,One hundred sixty auditory-only catches.,"Twelve repetitions per D0-D10 x four sound conditions: 528 tactile targets plus 160 catches, 688 total.",Four blocks.,Design family: single_measurement | Assignment scope: single_cohort | Pps occurrence pattern: within_session_trial_conditions,"ecological_sound_tactile_button_rt: behavioral_response, reaction time from electrical target onset, native_response_log"
doi:10.3389/fpsyt.2014.00122,doi:10.3389/fpsyt.2014.00122,taffou_2014_cynophobic_rear_looming,Cynophobic fear adaptively extends peri-personal space.,Cynophobic fear adaptively extends peri-personal space.,2014,10.3389/fpsyt.2014.00122,,not_assessed,taffou_2014_cynophobic_rear_looming,none,current_audit_without_manual_review,supported_incomplete,"Threatening dog-growl and nonthreatening sheep-bleat assets were edited in Audacity into matched continuous 3-s, 32-bit/44.1-kHz sounds and rendered binaurally with LISTEN HRTFs; exact audio files and render project are not supplied.",A rear-lateral virtual source approached the head from 520 to 20 cm over 3000 ms from either +135 or -135 degrees.,"Each trial used 1 s silence, a 3-s dog/sheep approach from left/right rear space, and 2.7-3.3 s post-sound silence; touch occurred at Tbefore-Tafter or was omitted for auditory-only catch, with all 28 target cells and catches randomized.",Participants pressed a button with the right index finger as quickly as possible to a left-index vibration while avoiding anticipation and ignoring sound; withheld on auditory-only catches; no numeric online deadline is reported.,The post-sound silence was randomly varied from 2700 to 3300 ms; pre-sound silence was fixed at 1000 ms.,"Tactile onset relative to sound onset was -650, 0, 750, 1500, 2250, 3000, and +3650 ms (Tbefore, T1-T5, Tafter), identically for both sounds and rear hemispaces.","A small loudspeaker under the palmar left index finger delivered an inaudible 20-ms, 250-Hz sinusoidal vibration.",Sixty-four tactile-only baseline trials occurred at Tbefore=-650 ms and Tafter=+3650 ms: eight repetitions x two baseline times x two hemispaces x two sound identities.,Thirty-two auditory-only catch trials were randomized with 224 tactile-target trials; no response was expected.,"Eight target repetitions crossed seven delays, two rear hemispaces, and two sound identities (224 target trials), plus 32 catches, totaling 256.",The 256 trials were equally divided into eight 32-trial blocks of about 4 minutes; looming perception was checked verbally after each block.,Design family: mixed_factorial | Assignment scope: observational_cohorts | Pps occurrence pattern: single_pps,"tactile_button_rt: behavioral_response, button RT and catch accuracy, native_response_log"
doi:10.1038/srep02844::a,doi:10.1038/srep02844,,Amputation and prosthesis implantation shape body and peripersonal space representations. (a),Amputation and prosthesis implantation shape body and peripersonal space representations.,2013,10.1038/srep02844,a,Experiment 1 — body-representation task; scope unverified,,none,no_exact_doi_audit_join,runnable,No auditory stimulus is used in Experiment 1.,No auditory trajectory exists.,The sequence belongs to a non-auditory body-representation task.,The untimed verbal judgment belongs to the non-auditory body-representation task.,No auditory PPS protocol.,No auditory-to-tactile SOA schedule.,Manual tactile-distance stimuli belong to the out-of-scope body-representation protocol.,No auditory PPS baseline contract.,No auditory PPS catch contract.,No auditory PPS repetition allocation.,No auditory PPS block/order contract.,Design family: mixed_factorial | Assignment scope: mixed_between_within | Pps occurrence pattern: custom,"tactile_distance_verbal_choice: behavioral_response, forehead-versus-arm two-alternative judgment, operator_recorded"
doi:10.1038/srep02844::b,doi:10.1038/srep02844,canzoneri_2013_amputation_prosthesis,Amputation and prosthesis implantation shape body and peripersonal space representations. (b),Amputation and prosthesis implantation shape body and peripersonal space representations.,2013,10.1038/srep02844,b,Experiment 2 — audio-tactile PPS,,composite_requires_split,manual_review,runnable,"3000-ms dynamic pink noise with exponentially rising IN and falling OUT intensity, rendered by near/far loudspeakers; original noise realization, seed and gain files are unavailable.","Two-speaker apparent motion relative to the upper arm: near loudspeaker beside the arm and far loudspeaker approximately 100 cm away; IN is far-to-near and OUT near-to-far over 3000 ms, with 1000-ms pre/post silence. No separate metric speed is reported.","Random combination of IN/OUT audio-tactile target rows at T1-T5, randomly intermingled with auditory-only catches; trials divided equally into two approximately 8-min blocks.","Respond vocally as quickly as possible to upper-arm electrical targets, ignore sound and withhold on auditory-only catches; no numeric response/scoring window or voice-key latency rule is reported.","No exact ITI, jitter value, range or distribution is reported for the Experiments 2-3 task.","Tactile onset after sound onset: T1=300, T2=800, T3=1500, T4=2200 and T5=2700 ms, crossed with IN and OUT direction.",Above-threshold electrical stimulation on the dorsal upper arm via Digitimer DS7A and Neuroline electrodes; participant currents and pulse waveform/duration are not reported in the tracked review.,No tactile-only baseline rows are reported; the task contains audio-tactile targets and auditory-only catches only (resolved baseline count 0).,"Seventy-six auditory-only/no-tactile catches, randomly intermingled with targets and requiring no response.","The paper reports eight targets per T1-T5 delay for each IN/OUT direction, implying 80 targets, plus 76 catches (156 rows), but also literally reports 76 target trials. Preserve the conflict rather than choosing a total silently.","Two approximately 8-min blocks, with the randomized target/catch pool divided equally between them.",Design family: unclear | Assignment scope: unclear | Pps occurrence pattern: multi_scope,"upper_arm_vocal_tactile_rt: behavioral_response, reaction time from upper-arm electrical target onset, native_response_log"
doi:10.1038/srep02844::c,doi:10.1038/srep02844,canzoneri_2013_amputation_prosthesis,Amputation and prosthesis implantation shape body and peripersonal space representations. (c),Amputation and prosthesis implantation shape body and peripersonal space representations.,2013,10.1038/srep02844,c,Experiment 3 — audio-tactile PPS,,composite_requires_split,manual_review,runnable,"3000-ms dynamic pink noise with exponentially rising IN and falling OUT intensity, rendered by near/far loudspeakers; original noise realization, seed and gain files are unavailable.","Two-speaker apparent motion relative to the upper arm: near loudspeaker beside the arm and far loudspeaker approximately 100 cm away; IN is far-to-near and OUT near-to-far over 3000 ms, with 1000-ms pre/post silence. No separate metric speed is reported.","Random combination of IN/OUT audio-tactile target rows at T1-T5, randomly intermingled with auditory-only catches; trials divided equally into two approximately 8-min blocks.","Respond vocally as quickly as possible to upper-arm electrical targets, ignore sound and withhold on auditory-only catches; no numeric response/scoring window or voice-key latency rule is reported.","No exact ITI, jitter value, range or distribution is reported for the Experiments 2-3 task.","Tactile onset after sound onset: T1=300, T2=800, T3=1500, T4=2200 and T5=2700 ms, crossed with IN and OUT direction.",Above-threshold electrical stimulation on the dorsal upper arm via Digitimer DS7A and Neuroline electrodes; participant currents and pulse waveform/duration are not reported in the tracked review.,No tactile-only baseline rows are reported; the task contains audio-tactile targets and auditory-only catches only (resolved baseline count 0).,"Seventy-six auditory-only/no-tactile catches, randomly intermingled with targets and requiring no response.","The paper reports eight targets per T1-T5 delay for each IN/OUT direction, implying 80 targets, plus 76 catches (156 rows), but also literally reports 76 target trials. Preserve the conflict rather than choosing a total silently.","Two approximately 8-min blocks, with the randomized target/catch pool divided equally between them.",Design family: unclear | Assignment scope: unclear | Pps occurrence pattern: multi_scope,"prosthesis_state_upper_arm_vocal_rt: behavioral_response, reaction time from upper-arm electrical target onset, native_response_log"
doi:10.1093/neucas/7.2.97,doi:10.1093/neucas/7.2.97,ladavas_2001_auditory_tactile_extinction,Auditory peripersonal space in humans: a case of auditory-tactile extinction.,Auditory peripersonal space in humans: a case of auditory-tactile extinction.,2001,10.1093/neucas/7.2.97,,not_assessed,,none,current_audit_without_manual_review,supported_incomplete,,,,,,,,,,,,,
doi:10.1371/journal.pone.0006582::a,doi:10.1371/journal.pone.0006582,serino_2009_tms,Motor properties of peripersonal space in humans. (a),Motor properties of peripersonal space in humans.,2009,10.1371/journal.pone.0006582,a,Experiment 1 — hand forward/near speaker,,composite_requires_split,current_audit_without_manual_review,supported_incomplete,A 150-ms auditory stimulus at 70 dB was delivered unpredictably from calibrated identical near/far loudspeakers; the paper does not identify the waveform or supply an audio asset/generation recipe.,No motion. Near/far sources were about 5/100 cm from the right hand. Speaker positions relative to the head were constant across experiments.,"Primary trials crossed sound location (near/far), TMS pulse delay (50/100/200/300 ms), and blocked TMS intensity (120/140% rMT), with 12 repetitions per cell. Rare strong/weak tactile attention probes occurred separately in the ITI.",Primary sound/TMS trials required no overt response. During the ITI participants monitored the right hand and lifted the left-foot tip only for rare strong tactile probes; the experimenter visually scored the response and no response window is stated.,The intertrial interval varied randomly from 10 to 12 s; any tactile attention probe was at least 4-5 s away from a TMS pulse.,"No tactile target was time-locked to the auditory PPS trial. The reported +50/+100/+200/+300-ms delays are TMS acquisition triggers and belong in the TMS/MEP acquisition record, not the tactile SOA contract.",Separate attention probes used three miniature solenoids on the dorsal right hand: one 5-ms solenoid activation was weak/nontarget and simultaneous activation of all three was strong/target; strong probes comprised 20% of trials.,"MEP baselines contained neither auditory nor tactile stimulation: 12 trials at each of 120% and 140% rMT, recorded PRE and POST. This resolves to 48 baseline pulses per participant.","The fully enumerated primary auditory/TMS design has no no-target catch family; weak/strong tactile attention probes are a separate ITI task, not catches.","Two sound locations x four TMS delays x two TMS intensities x 12 repetitions = 192 primary trials, plus 48 derived baseline pulses; rare tactile targets comprised 20% of primary trials.","Six experimental blocks (three at each intensity) contained the 192 primary trials; intensity block order was randomized. Four 12-trial baseline blocks (120/140% rMT, PRE/POST) bracketed the experimental session, for 10 blocks total.",Design family: single_measurement | Assignment scope: single_cohort | Pps occurrence pattern: within_session_block_conditions,"tms_mep: tms_mep, peak-to-peak MEP amplitude and baseline-normalized MEPi, hardware_triggered_external_system"
doi:10.1371/journal.pone.0006582::b,doi:10.1371/journal.pone.0006582,serino_2009_tms,Motor properties of peripersonal space in humans. (b),Motor properties of peripersonal space in humans.,2009,10.1371/journal.pone.0006582,b,Experiment 2 — hand backward/away from speakers,,composite_requires_split,current_audit_without_manual_review,supported_incomplete,A 150-ms auditory stimulus at 70 dB was delivered unpredictably from calibrated identical near/far loudspeakers; the paper does not identify the waveform or supply an audio asset/generation recipe.,"No motion. After rotating the arm backward, the same sources were about 80/180 cm from the right hand. Speaker positions relative to the head were constant across experiments.","Primary trials crossed sound location (near/far), TMS pulse delay (50/100/200/300 ms), and blocked TMS intensity (120/140% rMT), with 12 repetitions per cell. Rare strong/weak tactile attention probes occurred separately in the ITI.",Primary sound/TMS trials required no overt response. During the ITI participants monitored the right hand and lifted the left-foot tip only for rare strong tactile probes; the experimenter visually scored the response and no response window is stated.,The intertrial interval varied randomly from 10 to 12 s; any tactile attention probe was at least 4-5 s away from a TMS pulse.,"No tactile target was time-locked to the auditory PPS trial. The reported +50/+100/+200/+300-ms delays are TMS acquisition triggers and belong in the TMS/MEP acquisition record, not the tactile SOA contract.",Separate attention probes used three miniature solenoids on the dorsal right hand: one 5-ms solenoid activation was weak/nontarget and simultaneous activation of all three was strong/target; strong probes comprised 20% of trials.,"MEP baselines contained neither auditory nor tactile stimulation: 12 trials at each of 120% and 140% rMT, recorded PRE and POST. This resolves to 48 baseline pulses per participant.","The fully enumerated primary auditory/TMS design has no no-target catch family; weak/strong tactile attention probes are a separate ITI task, not catches.","Two sound locations x four TMS delays x two TMS intensities x 12 repetitions = 192 primary trials, plus 48 derived baseline pulses; rare tactile targets comprised 20% of primary trials.","Six experimental blocks (three at each intensity) contained the 192 primary trials; intensity block order was randomized. Four 12-trial baseline blocks (120/140% rMT, PRE/POST) bracketed the experimental session, for 10 blocks total.",Design family: single_measurement | Assignment scope: single_cohort | Pps occurrence pattern: within_session_block_conditions,"tms_mep: tms_mep, peak-to-peak MEP amplitude and baseline-normalized MEPi, hardware_triggered_external_system"
doi:10.3389/fnbeh.2015.00004::a,doi:10.3389/fnbeh.2015.00004,serino_2015_toolless_sync_training,Extending peripersonal space representation without tool-use: evidence from a combined behavioral-computational approach. (a),Extending peripersonal space representation without tool-use: evidence from a combined behavioral-computational approach.,2015,10.3389/fnbeh.2015.00004,a,Simulation Study,,composite_requires_split,manual_review,runnable,"The Simulation Study is a computational neural-network experiment with no human participant trial runner, physical stimulus delivery, or acquisition outcome to reproduce as a PPS toolkit protocol.","The Simulation Study is a computational neural-network experiment with no human participant trial runner, physical stimulus delivery, or acquisition outcome to reproduce as a PPS toolkit protocol.","The Simulation Study is a computational neural-network experiment with no human participant trial runner, physical stimulus delivery, or acquisition outcome to reproduce as a PPS toolkit protocol.","The Simulation Study is a computational neural-network experiment with no human participant trial runner, physical stimulus delivery, or acquisition outcome to reproduce as a PPS toolkit protocol.","The Simulation Study is a computational neural-network experiment with no human participant trial runner, physical stimulus delivery, or acquisition outcome to reproduce as a PPS toolkit protocol.","The Simulation Study is a computational neural-network experiment with no human participant trial runner, physical stimulus delivery, or acquisition outcome to reproduce as a PPS toolkit protocol.","The Simulation Study is a computational neural-network experiment with no human participant trial runner, physical stimulus delivery, or acquisition outcome to reproduce as a PPS toolkit protocol.","The Simulation Study is a computational neural-network experiment with no human participant trial runner, physical stimulus delivery, or acquisition outcome to reproduce as a PPS toolkit protocol.","The Simulation Study is a computational neural-network experiment with no human participant trial runner, physical stimulus delivery, or acquisition outcome to reproduce as a PPS toolkit protocol.","The Simulation Study is a computational neural-network experiment with no human participant trial runner, physical stimulus delivery, or acquisition outcome to reproduce as a PPS toolkit protocol.","The Simulation Study is a computational neural-network experiment with no human participant trial runner, physical stimulus delivery, or acquisition outcome to reproduce as a PPS toolkit protocol.",Design family: unclear | Assignment scope: unclear | Pps occurrence pattern: custom,Outcome family and primary measure: The formal instance is a computational simulation with no participant acquisition stream. | Acquisition device channels or native response binding: The formal instance is a computational simulation with no participant acquisition stream. | Event trigger and clock sync: The formal instance is a computational simulation with no participant acquisition stream. | Acquisition epoch or response window: The formal instance is a computational simulation with no participant acquisition stream. | Primary outcome definition: The formal instance is a computational simulation with no participant acquisition stream. | Calibration and online processing: The formal instance is a computational simulation with no participant acquisition stream.
doi:10.3389/fnbeh.2015.00004::b,doi:10.3389/fnbeh.2015.00004,serino_2015_toolless_sync_training,Extending peripersonal space representation without tool-use: evidence from a combined behavioral-computational approach. (b),Extending peripersonal space representation without tool-use: evidence from a combined behavioral-computational approach.,2015,10.3389/fnbeh.2015.00004,b,Behavioral Study,,composite_requires_split,manual_review,runnable,"The PPS assessment used 3-s pink-noise IN and OUT sounds through near/far physical speakers; exact waveform, intensity envelope, calibration, and CIRO program are not reported in this paper.",IN and OUT apparent motion traversed the approximately 100-cm axis between a speaker about 5 cm from the right hand and a far speaker for 3000 ms; speed/attenuation law is not reported.,PPS assessment intermixed IN/OUT audio-tactile target trials (77%) with auditory-only catches (23%); training days then alternated PPS assessment blocks with synchronous or asynchronous audio-tactile training sessions.,"Participants vocalized as fast as possible to right-hand electrical targets and withheld on sound-only catches; a voice relay/CIRO recorded responses, but no online deadline is reported.",No PPS-assessment ITI or jitter policy is reported; the separate training uses 4-6-s random intervals and must not be imported into PPS trials.,"Tactile onset minus sound onset was 300, 800, 1500, 2200, or 2700 ms; IN and OUT used reversed spatial pairings so equal perceived-distance bins could be analyzed.","A DS7A constant-current stimulator delivered an electrocutaneous target through electrodes on the right hand; exact site, waveform, duration, amplitude, and calibration are not reported here.",The exhaustive PPS trial-family description assigns 77% to audio-tactile targets and the remaining 23% to auditory-only catches; no tactile-only baseline is included.,"Auditory-only catches comprised the remaining 23% of PPS trials, with no response expected; the total count and IN/OUT split are not reported.","The design crossed IN/OUT direction with five tactile delays and a 77% target/23% catch split, but repetitions and total trials per PPS block are not reported.","On each of two counterbalanced training days, PPS was measured before and after synchronous or asynchronous training; the source also says two training sessions were each intermingled with one assessment block, leaving the exact number/order of assessment blocks ambiguous.",Design family: crossover | Assignment scope: within_participant | Pps occurrence pattern: repeated_multi_timepoint,"vocal_tactile_rt: behavioral_response, voice-onset RT, native_response_log"
doi:10.1093/cercor/bhy156,doi:10.1093/cercor/bhy156,ieeg_trunk_2018,Audio-Tactile and Peripersonal Space Processing Around the Trunk in Human Parietal and Temporal Cortex: An Intracranial EEG Study.,Audio-Tactile and Peripersonal Space Processing Around the Trunk in Human Parietal and Temporal Cortex: An Intracranial EEG Study.,2018,10.1093/cercor/bhy156,,not_assessed,,none,manual_review,supported_incomplete,"A prerecorded binaural white-noise asset simulated a frontal, body-centred approach. It was recorded with a head-model binaural microphone from two eight-speaker arrays spanning 2 m and played through ER-4P insert earphones; the executable WAV/gain envelope is not supplied.","One frontal, body-centred approaching trajectory ran from a maximal simulated distance of 2 m for 3 s at 0.66 m/s.","Three randomly intermixed trial families: auditory-only A (one 3-s approach), tactile-only T (three successive vibrations), and audio-tactile AT (the approach plus three vibrations at the far/middle/close timings).","Patients lay reclined with eyes closed, attended to the sounds and vibrations, and were explicitly required to make no overt response.","Each nominal tactile delay received an additive 0-200 ms jitter in 50-ms steps; the intertrial interval was randomly selected from 1.4, 1.7, and 1.9 s.","Three tactile onsets per T/AT trial at nominal +500, +1500, and +2500 ms from trial onset (and sound onset in AT), each with an additive 0-200 ms jitter in 50-ms steps. AT labels were far (about 1.7 m), middle (1 m), and close (0.3 m).","A Precision MicroDrives 312-101 shaftless motor delivered 100-ms, 150-Hz vibration to the upper sternum (3 V, 60 mA, 9000 rpm, 5 g, 113 mm2), controlled by a 10-kHz Arduino via ExpyVR.","Unisensory tactile T trials were the tactile control family: 85 T trials, each containing tactile events at nominal 500, 1500, and 2500 ms plus the same jitter.","The passive protocol had no response-withholding catch family; auditory-only A trials were a unisensory control, not behavioral catches.","Exactly 85 trials were presented for each of A, T, and AT (255 trials total); each T/AT trial contained all three tactile timings, and no count exceptions were reported.","All 255 trials were randomized and the experiment lasted about 20 minutes, but the publication does not report whether the sequence was subdivided into blocks.",Design family: single_measurement | Assignment scope: single_cohort | Pps occurrence pattern: within_session_trial_conditions,"passive_ieeg_lfp: intracranial_eeg, stimulus-locked LFP response and distance-dependent multisensory effect, hardware_triggered_external_system"
doi:10.3389/fpsyg.2015.00639::a,doi:10.3389/fpsyg.2015.00639,galli_2015_wheelchair,The wheelchair as a full-body tool extending the peripersonal space. (a),The wheelchair as a full-body tool extending the peripersonal space.,2015,10.3389/fpsyg.2015.00639,a,Experiment 1 - Active wheelchair,,composite_requires_split,current_audit_without_manual_review,runnable,A broadband sound played simultaneously through two eight-speaker arrays was spatialized by time-varying Gaussian amplitude weights to loom from front or back toward the participant; the online algorithm/source asset is no longer embedded in the paper.,A body-centred source approached from 2 m in either front or back space at 75 cm/s; the implied motion duration is approximately 2.667 s and reported trial duration is approximately 3.66 s.,"Each pre/post PPS measurement randomly intermingled front/back audio-tactile targets at six locations per side, auditory-only catches, and tactile-only near/far endpoint baselines, with a 500-ms ITI.","Blindfolded participants pressed a response-box button with the right index finger as fast as possible to chest/back vibration, ignored sound, and withheld on auditory-only catches; no online deadline is reported.",A fixed 500-ms intertrial interval followed every approximately 3.66-s trial; no random jitter was reported.,"Touch onset minus looming-sound onset was 380, 760, 1140, 1520, 1900, or 2280 ms; front labels F6-to-F1 and back labels B6-to-B1 share times but reverse body-facing spatial interpretation.","Two Precision MicroDrives 312-101 motors delivered 100-ms, 150-Hz vibrotactile targets at matched sternum-level chest and back sites (3 V, 60 mA, 9000 rpm, 5 g, 113-mm2 contact).",Forty-eight tactile-only baselines per PPS measurement occurred at times equivalent to the nearest and farthest sampled positions for both front/chest and back/back conditions.,"Twenty-four looming-sound-only catches per PPS session were randomly intermingled, with no button response expected.","Per PPS session: 12 repetitions at each of 12 front/back spatial locations = 144 audio-tactile targets, plus 24 catches and 48 baselines, totaling 216; the complete PPS pool is repeated pre/post (432 PPS trials).","Each formal experiment comprised a pre-wheelchair 216-trial PPS session, an approximately 13-min experiment-specific wheelchair session, and the same post-wheelchair PPS session.",Design family: mixed_factorial | Assignment scope: mixed_between_within | Pps occurrence pattern: repeated_pre_post,"tactile_button_rt: behavioral_response, button RT and catch accuracy, native_response_log"
doi:10.3389/fpsyg.2015.00639::b,doi:10.3389/fpsyg.2015.00639,galli_2015_wheelchair,The wheelchair as a full-body tool extending the peripersonal space. (b),The wheelchair as a full-body tool extending the peripersonal space.,2015,10.3389/fpsyg.2015.00639,b,Experiment 2 - Passive wheelchair,,composite_requires_split,current_audit_without_manual_review,runnable,A broadband sound played simultaneously through two eight-speaker arrays was spatialized by time-varying Gaussian amplitude weights to loom from front or back toward the participant; the online algorithm/source asset is no longer embedded in the paper.,A body-centred source approached from 2 m in either front or back space at 75 cm/s; the implied motion duration is approximately 2.667 s and reported trial duration is approximately 3.66 s.,"Each pre/post PPS measurement randomly intermingled front/back audio-tactile targets at six locations per side, auditory-only catches, and tactile-only near/far endpoint baselines, with a 500-ms ITI.","Blindfolded participants pressed a response-box button with the right index finger as fast as possible to chest/back vibration, ignored sound, and withheld on auditory-only catches; no online deadline is reported.",A fixed 500-ms intertrial interval followed every approximately 3.66-s trial; no random jitter was reported.,"Touch onset minus looming-sound onset was 380, 760, 1140, 1520, 1900, or 2280 ms; front labels F6-to-F1 and back labels B6-to-B1 share times but reverse body-facing spatial interpretation.","Two Precision MicroDrives 312-101 motors delivered 100-ms, 150-Hz vibrotactile targets at matched sternum-level chest and back sites (3 V, 60 mA, 9000 rpm, 5 g, 113-mm2 contact).",Forty-eight tactile-only baselines per PPS measurement occurred at times equivalent to the nearest and farthest sampled positions for both front/chest and back/back conditions.,"Twenty-four looming-sound-only catches per PPS session were randomly intermingled, with no button response expected.","Per PPS session: 12 repetitions at each of 12 front/back spatial locations = 144 audio-tactile targets, plus 24 catches and 48 baselines, totaling 216; the complete PPS pool is repeated pre/post (432 PPS trials).","Each formal experiment comprised a pre-wheelchair 216-trial PPS session, an approximately 13-min experiment-specific wheelchair session, and the same post-wheelchair PPS session.",Design family: mixed_factorial | Assignment scope: mixed_between_within | Pps occurrence pattern: repeated_pre_post,"tactile_button_rt: behavioral_response, button RT and catch accuracy, native_response_log"
