study_row_id,network_node_id,record_id,publication_id,experiment_id,paradigm_variant_id,profile_id,task_family,study_label,experiment_letter,experiment_label,formal_experiment_number,instance_kind,instance_inventory_status,toolkit_scope,parameter_evidence_scope,known_instance_count,instance_count_basis,instance_evidence_pointer,experiment_disaggregation_status,title,year,doi,publication_url,toolkit_status,toolkit_join_status,evidence_stage,pdf_status,supplement_status,extraction_status,manual_review_status,orientation_review_status,visualization_review_status,visualization_candidate_count,network_prominence_rank,network_prominence,atomic_parameter_count,atomic_review_completed_count,atomic_review_required_count,parent_reviewed_missing_count,parent_source_unknown_count,new_parameters_not_in_current_audit_count
doi:10.1038/srep18603::c,doi:10.1038/srep18603,serino_2015_peri_hand_exp3,doi:10.1038/srep18603,Experiment 3 — perihand,serino_2015_peri_hand_exp3,serino_2015_peri_hand_exp3,hand tactile PPS with lateralized hand-anchored cartesian trajectory,Body part-centered and full body-centered peripersonal space representations. (c),c,Experiment 3 — perihand,3,experiment,confirmed_total,in_scope,experiment_specific,7,The network abstract explicitly reports seven experiments. Manual reviews separately cover Experiments 1-3 and the three separable Experiments 4-6; Experiment 7 has no current audit record.,publication_network.v3.json::doi:10.1038/srep18603; manual_reviews/serino_2015_peri_trunk_exp1.json; manual_reviews/serino_2015_front_back_trunk_exp2.json; manual_reviews/serino_2015_peri_hand_exp3.json; manual_reviews/serino_2015_exps_4_to_6.json,record_already_experiment_specific,Body part-centered and full body-centered peripersonal space representations.,2015,10.1038/srep18603,https://doi.org/10.1038/srep18603,runnable,doi_matched_manual_parameter_review,manual_review,downloaded,downloaded,parsed_with_warnings,manual_review_completed_main_pdf_and_supplement,structured_orientation_review_present,source_mined,6,5,0.678387035,281,0,281,12,0,61
doi:10.1038/srep18603::d,doi:10.1038/srep18603,serino_2015_exps_4_to_6,doi:10.1038/srep18603,Experiment 4 — hand versus trunk/hand on chest,serino_2015_exps_4_to_6,,additional body-part/front-back PPS variants from the same six-experiment paper,Body part-centered and full body-centered peripersonal space representations. (d),d,Experiment 4 — hand versus trunk/hand on chest,4,experiment,confirmed_total,in_scope_pending_disaggregation,composite_requires_split,7,The network abstract explicitly reports seven experiments. Manual reviews separately cover Experiments 1-3 and the three separable Experiments 4-6; Experiment 7 has no current audit record.,publication_network.v3.json::doi:10.1038/srep18603; manual_reviews/serino_2015_peri_trunk_exp1.json; manual_reviews/serino_2015_front_back_trunk_exp2.json; manual_reviews/serino_2015_peri_hand_exp3.json; manual_reviews/serino_2015_exps_4_to_6.json,combined_record_requires_experiment_specific_review,Body part-centered and full body-centered peripersonal space representations.,2015,10.1038/srep18603,https://doi.org/10.1038/srep18603,runnable,doi_matched_manual_parameter_review,manual_review,downloaded,downloaded,parsed_with_warnings,manual_review_completed_main_pdf_and_supplement,combined_record_orientation_requires_experiment_check,source_mined,6,5,0.678387035,281,0,281,0,0,61
doi:10.1038/srep18603::e,doi:10.1038/srep18603,serino_2015_exps_4_to_6,doi:10.1038/srep18603,Experiment 5 — near versus far hand posture,serino_2015_exps_4_to_6,,additional body-part/front-back PPS variants from the same six-experiment paper,Body part-centered and full body-centered peripersonal space representations. (e),e,Experiment 5 — near versus far hand posture,5,experiment,confirmed_total,in_scope_pending_disaggregation,composite_requires_split,7,The network abstract explicitly reports seven experiments. Manual reviews separately cover Experiments 1-3 and the three separable Experiments 4-6; Experiment 7 has no current audit record.,publication_network.v3.json::doi:10.1038/srep18603; manual_reviews/serino_2015_peri_trunk_exp1.json; manual_reviews/serino_2015_front_back_trunk_exp2.json; manual_reviews/serino_2015_peri_hand_exp3.json; manual_reviews/serino_2015_exps_4_to_6.json,combined_record_requires_experiment_specific_review,Body part-centered and full body-centered peripersonal space representations.,2015,10.1038/srep18603,https://doi.org/10.1038/srep18603,runnable,doi_matched_manual_parameter_review,manual_review,downloaded,downloaded,parsed_with_warnings,manual_review_completed_main_pdf_and_supplement,combined_record_orientation_requires_experiment_check,source_mined,6,5,0.678387035,281,0,281,0,0,61
doi:10.1038/srep18603::f,doi:10.1038/srep18603,serino_2015_exps_4_to_6,doi:10.1038/srep18603,Experiment 6 — face versus trunk congruency,serino_2015_exps_4_to_6,,additional body-part/front-back PPS variants from the same six-experiment paper,Body part-centered and full body-centered peripersonal space representations. (f),f,Experiment 6 — face versus trunk congruency,6,experiment,confirmed_total,in_scope_pending_disaggregation,composite_requires_split,7,The network abstract explicitly reports seven experiments. Manual reviews separately cover Experiments 1-3 and the three separable Experiments 4-6; Experiment 7 has no current audit record.,publication_network.v3.json::doi:10.1038/srep18603; manual_reviews/serino_2015_peri_trunk_exp1.json; manual_reviews/serino_2015_front_back_trunk_exp2.json; manual_reviews/serino_2015_peri_hand_exp3.json; manual_reviews/serino_2015_exps_4_to_6.json,combined_record_requires_experiment_specific_review,Body part-centered and full body-centered peripersonal space representations.,2015,10.1038/srep18603,https://doi.org/10.1038/srep18603,runnable,doi_matched_manual_parameter_review,manual_review,downloaded,downloaded,parsed_with_warnings,manual_review_completed_main_pdf_and_supplement,combined_record_orientation_requires_experiment_check,source_mined,6,5,0.678387035,281,0,281,0,0,61
doi:10.1038/srep18603::g,doi:10.1038/srep18603,,doi:10.1038/srep18603,Experiment 7 — modality/scope not assessed,single_or_unassessed,,not_assessed,Body part-centered and full body-centered peripersonal space representations. (g),g,Experiment 7 — modality/scope not assessed,7,experiment,confirmed_total,scope_not_assessed,none,7,The network abstract explicitly reports seven experiments. Manual reviews separately cover Experiments 1-3 and the three separable Experiments 4-6; Experiment 7 has no current audit record.,publication_network.v3.json::doi:10.1038/srep18603; manual_reviews/serino_2015_peri_trunk_exp1.json; manual_reviews/serino_2015_front_back_trunk_exp2.json; manual_reviews/serino_2015_peri_hand_exp3.json; manual_reviews/serino_2015_exps_4_to_6.json,experiment_record_not_available,Body part-centered and full body-centered peripersonal space representations.,2015,10.1038/srep18603,https://doi.org/10.1038/srep18603,runnable,doi_matched_manual_parameter_review,no_exact_doi_audit_join,not_assessed,not_assessed,not_assessed,not_reviewed,not_assessed,not_assessed,0,5,0.678387035,281,0,281,0,220,61
doi:10.1016/j.neuropsychologia.2009.11.009::a,doi:10.1016/j.neuropsychologia.2009.11.009,bassolino_2010_mouse_use,doi:10.1016/j.neuropsychologia.2009.11.009,Experiment 1 — right-hand mouse-use task,bassolino_2010_mouse_use,,static near/far tactile detection around hand/tool space,Everyday use of the computer mouse extends peripersonal space representation. (a),a,Experiment 1 — right-hand mouse-use task,1,experiment,confirmed_total,in_scope_pending_disaggregation,composite_requires_split,2,The publisher HTML explicitly separates Experiment 1 (right-hand task) from Experiment 2 (a new participant group performing the left-hand task); both use the near/far by no-mouse/passive-mouse/active-mouse conditions.,https://www.sciencedirect.com/science/article/pii/S0028393209004412::Introduction; Experiment 1; Experiment 2,combined_record_requires_experiment_specific_review,Everyday use of the computer mouse extends peripersonal space representation.,2010,10.1016/j.neuropsychologia.2009.11.009,https://doi.org/10.1016/j.neuropsychologia.2009.11.009,supported_incomplete,doi_matched_literature_audit,current_audit_without_manual_review,paywalled,not_found,pending_pdf,not_reviewed,not_manually_reviewed,no_extracted_source,0,6,0.673460994,281,0,281,0,0,61
doi:10.1016/j.neuropsychologia.2009.11.009::b,doi:10.1016/j.neuropsychologia.2009.11.009,bassolino_2010_mouse_use,doi:10.1016/j.neuropsychologia.2009.11.009,Experiment 2 — new-group left-hand mouse-use task,bassolino_2010_mouse_use,,static near/far tactile detection around hand/tool space,Everyday use of the computer mouse extends peripersonal space representation. (b),b,Experiment 2 — new-group left-hand mouse-use task,2,experiment,confirmed_total,in_scope_pending_disaggregation,composite_requires_split,2,The publisher HTML explicitly separates Experiment 1 (right-hand task) from Experiment 2 (a new participant group performing the left-hand task); both use the near/far by no-mouse/passive-mouse/active-mouse conditions.,https://www.sciencedirect.com/science/article/pii/S0028393209004412::Introduction; Experiment 1; Experiment 2,combined_record_requires_experiment_specific_review,Everyday use of the computer mouse extends peripersonal space representation.,2010,10.1016/j.neuropsychologia.2009.11.009,https://doi.org/10.1016/j.neuropsychologia.2009.11.009,supported_incomplete,doi_matched_literature_audit,current_audit_without_manual_review,paywalled,not_found,pending_pdf,not_reviewed,not_manually_reviewed,no_extracted_source,0,6,0.673460994,281,0,281,0,0,61
doi:10.1007/s00221-013-3532-2::a,doi:10.1007/s00221-013-3532-2,canzoneri_2013_tool_use_reshaping,doi:10.1007/s00221-013-3532-2,Experiment 1A — tool-use training PPS task,canzoneri_2013_tool_use_reshaping,,Canzoneri-style dynamic PPS task,Tool-use reshapes the boundaries of body and peripersonal space representations. (a),a,Experiment 1A — tool-use training PPS task,1,experiment,confirmed_audio_tactile_instances,in_scope_pending_disaggregation,composite_requires_split,2,The reviewed main PDF identifies audio-tactile PPS measurements in Experiment 1A (tool-use training) and Experiment 3 (pointing-control training). Experiments 1B and 2 are body-representation controls without the audio-tactile PPS task and remain outside this task-instance matrix.,"artifacts/paper_metadata_audit/publication_pdfs/doi_10.1007_s00221-013-3532-2__299a1419d7a1.pdf::PDF pp.3-6,14; metadata_audit.jsonl::canzoneri_2013_tool_use_reshaping",combined_record_requires_experiment_specific_review,Tool-use reshapes the boundaries of body and peripersonal space representations.,2013,10.1007/s00221-013-3532-2,https://doi.org/10.1007/s00221-013-3532-2,supported_incomplete,doi_matched_literature_audit,current_audit_without_manual_review,needs_user_download,needs_user_download,pending_pdf,not_reviewed,not_manually_reviewed,no_extracted_source,0,7,0.649159465,281,0,281,0,0,61
doi:10.1007/s00221-013-3532-2::b,doi:10.1007/s00221-013-3532-2,canzoneri_2013_tool_use_reshaping,doi:10.1007/s00221-013-3532-2,Experiment 3 — pointing-control PPS task,canzoneri_2013_tool_use_reshaping,,Canzoneri-style dynamic PPS task,Tool-use reshapes the boundaries of body and peripersonal space representations. (b),b,Experiment 3 — pointing-control PPS task,3,experiment,confirmed_audio_tactile_instances,in_scope_pending_disaggregation,composite_requires_split,2,The reviewed main PDF identifies audio-tactile PPS measurements in Experiment 1A (tool-use training) and Experiment 3 (pointing-control training). Experiments 1B and 2 are body-representation controls without the audio-tactile PPS task and remain outside this task-instance matrix.,"artifacts/paper_metadata_audit/publication_pdfs/doi_10.1007_s00221-013-3532-2__299a1419d7a1.pdf::PDF pp.3-6,14; metadata_audit.jsonl::canzoneri_2013_tool_use_reshaping",combined_record_requires_experiment_specific_review,Tool-use reshapes the boundaries of body and peripersonal space representations.,2013,10.1007/s00221-013-3532-2,https://doi.org/10.1007/s00221-013-3532-2,supported_incomplete,doi_matched_literature_audit,current_audit_without_manual_review,needs_user_download,needs_user_download,pending_pdf,not_reviewed,not_manually_reviewed,no_extracted_source,0,7,0.649159465,281,0,281,0,0,61
doi:10.1016/j.neuropsychologia.2014.08.030::a,doi:10.1016/j.neuropsychologia.2014.08.030,noel_2015_walking,doi:10.1016/j.neuropsychologia.2014.08.030,Experiment 1 — locomotion task,noel_2015_walking,,walking/full-body PPS audio-tactile task,Full body action remapping of peripersonal space: the case of walking. (a),a,Experiment 1 — locomotion task,1,experiment,confirmed_total,in_scope_pending_disaggregation,composite_requires_split,2,The critical review explicitly covers Experiment 1 and the Experiment 2 optic-flow control.,manual_reviews/noel_2015_walking.json,combined_record_requires_experiment_specific_review,Full body action remapping of peripersonal space: the case of walking.,2015,10.1016/j.neuropsychologia.2014.08.030,https://doi.org/10.1016/j.neuropsychologia.2014.08.030,runnable,doi_matched_manual_parameter_review,manual_review,public_pdf_reviewed,not_found,pending_pdf,manual_review_completed_public_pdf_no_supplement_found,manual_review_missing_orientation_ledger,no_extracted_source,0,8,0.63939811,281,0,281,0,0,61
doi:10.1016/j.neuropsychologia.2014.08.030::b,doi:10.1016/j.neuropsychologia.2014.08.030,noel_2015_walking,doi:10.1016/j.neuropsychologia.2014.08.030,Experiment 2 — optic-flow control,noel_2015_walking,,walking/full-body PPS audio-tactile task,Full body action remapping of peripersonal space: the case of walking. (b),b,Experiment 2 — optic-flow control,2,experiment,confirmed_total,in_scope_pending_disaggregation,composite_requires_split,2,The critical review explicitly covers Experiment 1 and the Experiment 2 optic-flow control.,manual_reviews/noel_2015_walking.json,combined_record_requires_experiment_specific_review,Full body action remapping of peripersonal space: the case of walking.,2015,10.1016/j.neuropsychologia.2014.08.030,https://doi.org/10.1016/j.neuropsychologia.2014.08.030,runnable,doi_matched_manual_parameter_review,manual_review,public_pdf_reviewed,not_found,pending_pdf,manual_review_completed_public_pdf_no_supplement_found,manual_review_missing_orientation_ledger,no_extracted_source,0,8,0.63939811,281,0,281,0,0,61
doi:10.1162/jocn_a_00006::a,doi:10.1162/jocn_a_00006,serino_2011_rtms,doi:10.1162/jocn_a_00006,Experiment 1A — tactile-target mapping,serino_2011_rtms,,static near/far audio-tactile PPS task with rTMS context,Fronto-parietal areas necessary for a multisensory representation of peripersonal space in humans: an rTMS study. (a),a,Experiment 1A — tactile-target mapping,1,experiment,confirmed_total,in_scope_pending_disaggregation,composite_requires_split,3,"The directly audited publication distinguishes Experiment 1A, Experiment 1B, and Experiment 2, each with a different participant sample and manipulation. The three formal parts therefore receive a/b/c review rows.","artifacts/paper_metadata_audit/publication_pdfs/doi_10.1162_jocn_a_00006__4a7e63364116.pdf::PDF pp.2-7, Experiments 1A, 1B, and 2; artifacts/paper_metadata_audit/review_batches/batch_b_source_reviews.json",combined_record_requires_experiment_specific_review,Fronto-parietal areas necessary for a multisensory representation of peripersonal space in humans: an rTMS study.,2011,10.1162/jocn_a_00006,https://doi.org/10.1162/jocn_a_00006,supported_incomplete,doi_matched_literature_audit,current_audit_without_manual_review,paywalled,paywalled,pending_pdf,not_reviewed,not_manually_reviewed,no_extracted_source,0,9,0.623738574,281,0,281,0,0,61
doi:10.1162/jocn_a_00006::b,doi:10.1162/jocn_a_00006,serino_2011_rtms,doi:10.1162/jocn_a_00006,Experiment 1B — hand-position manipulation,serino_2011_rtms,,static near/far audio-tactile PPS task with rTMS context,Fronto-parietal areas necessary for a multisensory representation of peripersonal space in humans: an rTMS study. (b),b,Experiment 1B — hand-position manipulation,1,experiment,confirmed_total,in_scope_pending_disaggregation,composite_requires_split,3,"The directly audited publication distinguishes Experiment 1A, Experiment 1B, and Experiment 2, each with a different participant sample and manipulation. The three formal parts therefore receive a/b/c review rows.","artifacts/paper_metadata_audit/publication_pdfs/doi_10.1162_jocn_a_00006__4a7e63364116.pdf::PDF pp.2-7, Experiments 1A, 1B, and 2; artifacts/paper_metadata_audit/review_batches/batch_b_source_reviews.json",combined_record_requires_experiment_specific_review,Fronto-parietal areas necessary for a multisensory representation of peripersonal space in humans: an rTMS study.,2011,10.1162/jocn_a_00006,https://doi.org/10.1162/jocn_a_00006,supported_incomplete,doi_matched_literature_audit,current_audit_without_manual_review,paywalled,paywalled,pending_pdf,not_reviewed,not_manually_reviewed,no_extracted_source,0,9,0.623738574,281,0,281,0,0,61
doi:10.1162/jocn_a_00006::c,doi:10.1162/jocn_a_00006,serino_2011_rtms,doi:10.1162/jocn_a_00006,Experiment 2 — rTMS-site manipulation,serino_2011_rtms,,static near/far audio-tactile PPS task with rTMS context,Fronto-parietal areas necessary for a multisensory representation of peripersonal space in humans: an rTMS study. (c),c,Experiment 2 — rTMS-site manipulation,2,experiment,confirmed_total,in_scope_pending_disaggregation,composite_requires_split,3,"The directly audited publication distinguishes Experiment 1A, Experiment 1B, and Experiment 2, each with a different participant sample and manipulation. The three formal parts therefore receive a/b/c review rows.","artifacts/paper_metadata_audit/publication_pdfs/doi_10.1162_jocn_a_00006__4a7e63364116.pdf::PDF pp.2-7, Experiments 1A, 1B, and 2; artifacts/paper_metadata_audit/review_batches/batch_b_source_reviews.json",combined_record_requires_experiment_specific_review,Fronto-parietal areas necessary for a multisensory representation of peripersonal space in humans: an rTMS study.,2011,10.1162/jocn_a_00006,https://doi.org/10.1162/jocn_a_00006,supported_incomplete,doi_matched_literature_audit,current_audit_without_manual_review,paywalled,paywalled,pending_pdf,not_reviewed,not_manually_reviewed,no_extracted_source,0,9,0.623738574,281,0,281,0,0,61
doi:10.1016/j.cognition.2015.07.012::a,doi:10.1016/j.cognition.2015.07.012,noel_2015_bodily_self,doi:10.1016/j.cognition.2015.07.012,Experiment 1 — front-space/chest,noel_2015_bodily_self,noel_2015_bodily_self,chest tactile PPS with looming sound,Peripersonal space as the space of the bodily self. (a),a,Experiment 1 — front-space/chest,1,experiment,confirmed_main_plus_supplemental_variant,in_scope_pending_disaggregation,composite_requires_split,3,The critical review separates two main experiments and a supplemental front-space receding control.,manual_reviews/noel_2015_bodily_self.json,combined_record_requires_experiment_specific_review,Peripersonal space as the space of the bodily self.,2015,10.1016/j.cognition.2015.07.012,https://doi.org/10.1016/j.cognition.2015.07.012,runnable,doi_matched_manual_parameter_review,manual_review,downloaded,not_found,parsed_with_warnings,manual_review_completed_main_pdf_and_supplement,combined_record_orientation_requires_experiment_check,source_mined,5,10,0.601624917,281,0,281,0,0,61
