study_row_id,network_node_id,record_id,study_label,acquisition_id,acquisition_label,outcome_family,modality_or_signal,primary_measure,binding_mode,device_or_system,channels_or_sites_json,event_trigger,clock_sync_method,acquisition_window,primary_outcome_definition,calibration_or_online_processing,applies_to_event_ids,applies_to_pps_occurrence_ids,profile_or_protocol_ref,source_type,review_date,source_file,page_or_section,evidence_note,derivation_note,current_toolkit_support,current_toolkit_paths,runtime_or_untyped_inputs,future_toolkit_paths,analysis_model_scope
doi:10.1371/journal.pone.0044306::a,doi:10.1371/journal.pone.0044306,canzoneri_2012_dynamic_sounds,Dynamic sounds capture the boundaries of peripersonal space representation in humans. (a),vocal_tactile_rt,Dynamic-sound tactile RT,behavioral_response,voice-onset response event,voice-onset RT and response accuracy,native_response_log,CIRO plus voice-activated relay,[],right-index 100-ms electrical onset,shared_device_clock,tactile onset to voice onset; online deadline not reported,Tactile RT by IN/OUT and T0-T6; sigmoid boundary derived downstream,,,,,publication_pdf,2026-08-12,artifacts/paper_metadata_audit/publication_pdfs/doi_10.1371_journal.pone.0044306__48110f1e7943.pdf,"PDF pp.2-4, Method and Results",,,native_behavioral_runtime_plus_external_capture_scaffolding_no_typed_acquisition_plan,,"src/peripersonal_space_toolkit/session_events.py::RunEventRecorder | src/peripersonal_space_toolkit/focus_launch.py::build_focus_command | src/peripersonal_space_toolkit/labrecorder_capture.py::LabRecorderCapture | no typed EEG/iEEG/TMS/ECG device, channel, epoch, or primary-outcome adapter",pps-study-plan.v1::schedule.events[].measurement_binding | pps-acquisition-plan.v1::acquisitions[],excluded_from_acquisition_contract
doi:10.3389/fnbeh.2015.00004::b,doi:10.3389/fnbeh.2015.00004,serino_2015_toolless_sync_training,Extending peripersonal space representation without tool-use: evidence from a combined behavioral-computational approach. (b),vocal_tactile_rt,Training-plasticity tactile RT,behavioral_response,voice-onset response event,voice-onset RT,native_response_log,CIRO plus voice-activated relay,[],right-hand electrical onset,shared_device_clock,tactile onset to voice onset; online deadline not reported,"Tactile RT by distance, direction, training condition, and pre/post timepoint",,,,,publication_pdf,2026-08-12,artifacts/paper_metadata_audit/publication_pdfs/doi_10.3389_fnbeh.2015.00004__fc05fe5e1bbf.pdf,"PDF pp.8-10, Behavioral Study",,,native_behavioral_runtime_plus_external_capture_scaffolding_no_typed_acquisition_plan,,"src/peripersonal_space_toolkit/session_events.py::RunEventRecorder | src/peripersonal_space_toolkit/focus_launch.py::build_focus_command | src/peripersonal_space_toolkit/labrecorder_capture.py::LabRecorderCapture | no typed EEG/iEEG/TMS/ECG device, channel, epoch, or primary-outcome adapter",pps-study-plan.v1::schedule.events[].measurement_binding | pps-acquisition-plan.v1::acquisitions[],excluded_from_acquisition_contract
doi:10.1093/cercor/bhy156,doi:10.1093/cercor/bhy156,ieeg_trunk_2018,Audio-Tactile and Peripersonal Space Processing Around the Trunk in Human Parietal and Temporal Cortex: An Intracranial EEG Study.,passive_ieeg_lfp,Passive intracranial EEG/LFP PPS acquisition,intracranial_eeg,intracranial local field potentials from implanted depth/grid electrodes,stimulus-locked LFP response and distance-dependent multisensory effect,hardware_triggered_external_system,Micromed System PLUS at 2048 Hz; ExpyVR/Arduino stimulus control,"""500 implanted contacts across six patients (480 retained after preprocessing), patient-specific depth/grid sites; Cz external reference before bipolar/grid-local rereferencing""","trial onset, auditory onset for A/AT, and tactile onset",unclear,initial -800 to +3000 ms around trial/auditory onset; re-epoched -100 to +300 ms around stimulus onset,Electrode-wise nonlinear audio-tactile response (AT versus A+T) followed by distance-dependent far/middle/close PPS modulation.,"online high-pass 0.02 Hz; offline downsample 512 Hz, 1-40 Hz band-pass, -100 to 0 ms baseline where applicable",,,,publication_pdf,2026-08-12,artifacts/paper_metadata_audit/publication_pdfs/doi_10.1093_cercor_bhy156__f189969f0e21.pdf,"PDF pp.3-5, Material, Procedures, iEEG recording and Statistical Analysis",,,native_behavioral_runtime_plus_external_capture_scaffolding_no_typed_acquisition_plan,,"src/peripersonal_space_toolkit/session_events.py::RunEventRecorder | src/peripersonal_space_toolkit/focus_launch.py::build_focus_command | src/peripersonal_space_toolkit/labrecorder_capture.py::LabRecorderCapture | no typed EEG/iEEG/TMS/ECG device, channel, epoch, or primary-outcome adapter",pps-study-plan.v1::schedule.events[].measurement_binding | pps-acquisition-plan.v1::acquisitions[],excluded_from_acquisition_contract
doi:10.3389/fpsyg.2015.00639::a,doi:10.3389/fpsyg.2015.00639,galli_2015_wheelchair,The wheelchair as a full-body tool extending the peripersonal space. (a),tactile_button_rt,Active wheelchair tactile RT,behavioral_response,behavioral response event,button RT and catch accuracy,native_response_log,right-index response box,[],100-ms chest/back vibration onset,unclear,tactile onset to button; offline <=1000 ms; online deadline absent,Front/back tactile RT functions pre/post active wheelchair use,,,,,publication_pdf,2026-08-12,artifacts/paper_metadata_audit/publication_pdfs/doi_10.3389_fpsyg.2015.00639__916433c471c3.pdf,"PDF pp.3-5, Audio-Tactile Interaction Task and Procedure",,,native_behavioral_runtime_plus_external_capture_scaffolding_no_typed_acquisition_plan,,"src/peripersonal_space_toolkit/session_events.py::RunEventRecorder | src/peripersonal_space_toolkit/focus_launch.py::build_focus_command | src/peripersonal_space_toolkit/labrecorder_capture.py::LabRecorderCapture | no typed EEG/iEEG/TMS/ECG device, channel, epoch, or primary-outcome adapter",pps-study-plan.v1::schedule.events[].measurement_binding | pps-acquisition-plan.v1::acquisitions[],excluded_from_acquisition_contract
doi:10.3389/fpsyg.2015.00639::b,doi:10.3389/fpsyg.2015.00639,galli_2015_wheelchair,The wheelchair as a full-body tool extending the peripersonal space. (b),tactile_button_rt,Passive wheelchair tactile RT,behavioral_response,behavioral response event,button RT and catch accuracy,native_response_log,right-index response box,[],100-ms chest/back vibration onset,unclear,tactile onset to button; offline <=1000 ms; online deadline absent,Front/back tactile RT functions pre/post passive wheelchair use,,,,,publication_pdf,2026-08-12,artifacts/paper_metadata_audit/publication_pdfs/doi_10.3389_fpsyg.2015.00639__916433c471c3.pdf,"PDF pp.3-5, Audio-Tactile Interaction Task and Procedure",,,native_behavioral_runtime_plus_external_capture_scaffolding_no_typed_acquisition_plan,,"src/peripersonal_space_toolkit/session_events.py::RunEventRecorder | src/peripersonal_space_toolkit/focus_launch.py::build_focus_command | src/peripersonal_space_toolkit/labrecorder_capture.py::LabRecorderCapture | no typed EEG/iEEG/TMS/ECG device, channel, epoch, or primary-outcome adapter",pps-study-plan.v1::schedule.events[].measurement_binding | pps-acquisition-plan.v1::acquisitions[],excluded_from_acquisition_contract
doi:10.3389/fpsyg.2015.00639::c,doi:10.3389/fpsyg.2015.00639,galli_2015_wheelchair,The wheelchair as a full-body tool extending the peripersonal space. (c),tactile_button_rt,Blindfolded Passive wheelchair tactile RT,behavioral_response,behavioral response event,button RT and catch accuracy,native_response_log,right-index response box,[],100-ms chest/back vibration onset,unclear,tactile onset to button; offline <=1000 ms; online deadline absent,Front/back tactile RT functions pre/post blindfolded passive wheelchair use,,,,,publication_pdf,2026-08-12,artifacts/paper_metadata_audit/publication_pdfs/doi_10.3389_fpsyg.2015.00639__916433c471c3.pdf,"PDF pp.3-5, Audio-Tactile Interaction Task and Procedure",,,native_behavioral_runtime_plus_external_capture_scaffolding_no_typed_acquisition_plan,,"src/peripersonal_space_toolkit/session_events.py::RunEventRecorder | src/peripersonal_space_toolkit/focus_launch.py::build_focus_command | src/peripersonal_space_toolkit/labrecorder_capture.py::LabRecorderCapture | no typed EEG/iEEG/TMS/ECG device, channel, epoch, or primary-outcome adapter",pps-study-plan.v1::schedule.events[].measurement_binding | pps-acquisition-plan.v1::acquisitions[],excluded_from_acquisition_contract
doi:10.3389/fict.2017.00031::b,doi:10.3389/fict.2017.00031,serino_2018_mixed_reality_pps,"Peripersonal Space: An Index of Multisensory Body–Environment Interactions in Real, Virtual, and Mixed Realities (b)",tactile_button_rt,Trimodal cheek-touch RT,behavioral_response,behavioral response event,button RT and catch accuracy,native_response_log,ExpyVR with unspecified button,[],right-cheek 10-ms solenoid onset,shared_device_clock,tactile onset to response; online deadline not reported,Baseline-corrected tactile RT by audiovisual distance,,,,,publication_pdf,2026-08-12,artifacts/paper_metadata_audit/publication_pdfs/doi_10.3389_fict.2017.00031__f2e7eb47ab97.pdf,"PDF pp.4-8, Experiment 2 and Analysis",,,native_behavioral_runtime_plus_external_capture_scaffolding_no_typed_acquisition_plan,,"src/peripersonal_space_toolkit/session_events.py::RunEventRecorder | src/peripersonal_space_toolkit/focus_launch.py::build_focus_command | src/peripersonal_space_toolkit/labrecorder_capture.py::LabRecorderCapture | no typed EEG/iEEG/TMS/ECG device, channel, epoch, or primary-outcome adapter",pps-study-plan.v1::schedule.events[].measurement_binding | pps-acquisition-plan.v1::acquisitions[],excluded_from_acquisition_contract
doi:10.1016/j.neuropsychologia.2014.10.027,doi:10.1016/j.neuropsychologia.2014.10.027,maister_2015_shared_sensory,Your place or mine: shared sensory experiences elicit a remapping of peripersonal space.,hand_key_rt,Hand tactile-detection RT,behavioral_response,manual key response event,reaction time from electrical pulse onset,native_response_log,,[],right-hand electrical pulse onset,unclear,,Tactile-detection latency by sound delay and pre/post interpersonal-stimulation condition.,electrical target at 1.4 x detection threshold,,,doi:10.1016/j.neuropsychologia.2014.10.027,publication_pdf,2026-08-12,artifacts/paper_metadata_audit/publication_pdfs/doi_10.1016_j.neuropsychologia.2014.10.027__eb43a15b294b.pdf,"PDF pp.3-6, PPS task and data analysis",,,native_behavioral_runtime_plus_external_capture_scaffolding_no_typed_acquisition_plan,,"src/peripersonal_space_toolkit/session_events.py::RunEventRecorder | src/peripersonal_space_toolkit/focus_launch.py::build_focus_command | src/peripersonal_space_toolkit/labrecorder_capture.py::LabRecorderCapture | no typed EEG/iEEG/TMS/ECG device, channel, epoch, or primary-outcome adapter",pps-study-plan.v1::schedule.events[].measurement_binding | pps-acquisition-plan.v1::acquisitions[],excluded_from_acquisition_contract
doi:10.1152/jn.00652.2017,doi:10.1152/jn.00652.2017,noel_2018_neural_adaptation,Neural adaptation accounts for the dynamic resizing of peripersonal space: evidence from a psychophysical-computational approach.,tactile_rt,Velocity-dependent tactile RT,behavioral_response,behavioral response log,gamepad reaction time to vibration,native_response_log,Xbox 360 wireless gamepad sampled at 215 Hz,"""single participant response channel""",vibrotactile onset,unclear,Analysis retained 200-900 ms; online deadline not reported,Median tactile RT/facilitation across sound speed and distance,,,,,publication_pdf,2026-08-12,artifacts/paper_metadata_audit/publication_pdfs/doi_10.1152_jn.00652.2017__3c2ba1457c1b.pdf,"PDF p.3, Procedure and Behavioral Analysis",,,native_behavioral_runtime_plus_external_capture_scaffolding_no_typed_acquisition_plan,,"src/peripersonal_space_toolkit/session_events.py::RunEventRecorder | src/peripersonal_space_toolkit/focus_launch.py::build_focus_command | src/peripersonal_space_toolkit/labrecorder_capture.py::LabRecorderCapture | no typed EEG/iEEG/TMS/ECG device, channel, epoch, or primary-outcome adapter",pps-study-plan.v1::schedule.events[].measurement_binding | pps-acquisition-plan.v1::acquisitions[],excluded_from_acquisition_contract
doi:10.1111/ejn.13872::a,doi:10.1111/ejn.13872,pfeiffer_2018_vestibular,Vestibular modulation of peripersonal space boundaries. (a),tactile_rt,Experiment 1 audio-tactile RT,behavioral_response,behavioral response log,button reaction time to forehead vibration,native_response_log,serial keyboard response button; stimulus control system not identified,"""single participant response channel""",vibrotactile onset,unclear,From vibration onset to button response; online deadline not reported,Experiment 1 audio-tactile RT,,,,,publication_pdf,2026-08-12,artifacts/paper_metadata_audit/publication_pdfs/doi_10.1111_ejn.13872__9e2ccc01df25.pdf,"PDF pp.3-4, Experiment 1",,,native_behavioral_runtime_plus_external_capture_scaffolding_no_typed_acquisition_plan,,"src/peripersonal_space_toolkit/session_events.py::RunEventRecorder | src/peripersonal_space_toolkit/focus_launch.py::build_focus_command | src/peripersonal_space_toolkit/labrecorder_capture.py::LabRecorderCapture | no typed EEG/iEEG/TMS/ECG device, channel, epoch, or primary-outcome adapter",pps-study-plan.v1::schedule.events[].measurement_binding | pps-acquisition-plan.v1::acquisitions[],excluded_from_acquisition_contract
doi:10.1111/ejn.13872::a,doi:10.1111/ejn.13872,pfeiffer_2018_vestibular,Vestibular modulation of peripersonal space boundaries. (a),sound_distance_estimate,Experiment 1 sound-distance estimate,behavioral_response,behavioral response log,perceived head-centered lateral sound distance in centimeters,native_response_log,computer mouse and horizontal analogue-scale display,"""single participant response channel""",completion of the audio-tactile stimulus,unclear,No temporal limit; cursor position confirmed by mouse click,Continuous 1-cm estimate on a -100 to +100 cm left-right scale,,,,,publication_pdf,2026-08-12,artifacts/paper_metadata_audit/publication_pdfs/doi_10.1111_ejn.13872__9e2ccc01df25.pdf,"PDF pp.3-4, Experiment 1",,,native_behavioral_runtime_plus_external_capture_scaffolding_no_typed_acquisition_plan,,"src/peripersonal_space_toolkit/session_events.py::RunEventRecorder | src/peripersonal_space_toolkit/focus_launch.py::build_focus_command | src/peripersonal_space_toolkit/labrecorder_capture.py::LabRecorderCapture | no typed EEG/iEEG/TMS/ECG device, channel, epoch, or primary-outcome adapter",pps-study-plan.v1::schedule.events[].measurement_binding | pps-acquisition-plan.v1::acquisitions[],excluded_from_acquisition_contract
