study_row_id,network_node_id,record_id,study_label,event_id,event_label,order_index,event_kind,execution_mode,relation,relative_to_event_id,compiled_predecessor_event_ids,compiled_concurrent_event_ids,visit_id,session_id,pps_occurrence_id,timepoint_label,repeat_count,duration_s,duration_text,spacing_notes,factor_level_bindings_json,profile_or_protocol_ref,parameter_overrides_json,source_type,source_file,page_or_section,evidence_note,current_toolkit_support,future_toolkit_path
doi:10.1016/j.cub.2013.01.043::b,doi:10.1016/j.cub.2013.01.043,teneggi_2013_social_face,Social modulation of peripersonal space boundaries. (b),pps_pre,,1,pps_measurement,toolkit_protocol,sequence_start,,,,,,,,,,,,"{""timepoint"":""pre""}",doi:10.1016/j.cub.2013.01.043::b,{},publication_pdf,artifacts/paper_metadata_audit/publication_pdfs/doi_10.1016_j.cub.2013.01.043__105d921e527a.pdf,"PDF pp.2-5, Experiment 2 and Design/Procedure",,unsupported_no_typed_study_plan,pps-study-plan.v1::schedule.events[]
doi:10.1016/j.cub.2013.01.043::b,doi:10.1016/j.cub.2013.01.043,teneggi_2013_social_face,Social modulation of peripersonal space boundaries. (b),economic_game,One-shot Cooperative or Noncooperative game,2,intervention,external_operator,after,pps_pre,pps_pre,,,,,,,,,,{},,{},publication_pdf,artifacts/paper_metadata_audit/publication_pdfs/doi_10.1016_j.cub.2013.01.043__105d921e527a.pdf,"PDF pp.2-5, Experiment 2 and Design/Procedure",,unsupported_no_typed_study_plan,pps-study-plan.v1::schedule.events[]
doi:10.1016/j.cub.2013.01.043::b,doi:10.1016/j.cub.2013.01.043,teneggi_2013_social_face,Social modulation of peripersonal space boundaries. (b),pps_post,,3,pps_measurement,toolkit_protocol,after,economic_game,economic_game,,,,,,,,,,"{""timepoint"":""post""}",doi:10.1016/j.cub.2013.01.043::b,{},publication_pdf,artifacts/paper_metadata_audit/publication_pdfs/doi_10.1016_j.cub.2013.01.043__105d921e527a.pdf,"PDF pp.2-5, Experiment 2 and Design/Procedure",,unsupported_no_typed_study_plan,pps-study-plan.v1::schedule.events[]
doi:10.1016/j.cub.2013.01.043::c,doi:10.1016/j.cub.2013.01.043,teneggi_2013_social_face,Social modulation of peripersonal space boundaries. (c),pps_pre,,1,pps_measurement,toolkit_protocol,sequence_start,,,,,,,,,,,,"{""timepoint"":""pre""}",doi:10.1016/j.cub.2013.01.043::c,{},publication_pdf,artifacts/paper_metadata_audit/publication_pdfs/doi_10.1016_j.cub.2013.01.043__105d921e527a.pdf,"PDF pp.4-5, Experiment 3",,unsupported_no_typed_study_plan,pps-study-plan.v1::schedule.events[]
doi:10.1016/j.cub.2013.01.043::c,doi:10.1016/j.cub.2013.01.043,teneggi_2013_social_face,Social modulation of peripersonal space boundaries. (c),cooperative_game,Cooperative economic game,2,intervention,external_operator,after,pps_pre,pps_pre,,,,,,,,,,{},,{},publication_pdf,artifacts/paper_metadata_audit/publication_pdfs/doi_10.1016_j.cub.2013.01.043__105d921e527a.pdf,"PDF pp.4-5, Experiment 3",,unsupported_no_typed_study_plan,pps-study-plan.v1::schedule.events[]
doi:10.1016/j.cub.2013.01.043::c,doi:10.1016/j.cub.2013.01.043,teneggi_2013_social_face,Social modulation of peripersonal space boundaries. (c),pps_post,,3,pps_measurement,toolkit_protocol,after,cooperative_game,cooperative_game,,,,,,,,,,"{""timepoint"":""post""}",doi:10.1016/j.cub.2013.01.043::c,{},publication_pdf,artifacts/paper_metadata_audit/publication_pdfs/doi_10.1016_j.cub.2013.01.043__105d921e527a.pdf,"PDF pp.4-5, Experiment 3",,unsupported_no_typed_study_plan,pps-study-plan.v1::schedule.events[]
doi:10.1038/srep18603::a,doi:10.1038/srep18603,serino_2015_peri_trunk_exp1,Body part-centered and full body-centered peripersonal space representations. (a),pps_task,,1,pps_measurement,toolkit_protocol,sequence_start,,,,,,,,,,,,{},doi:10.1038/srep18603::a,{},manual_publication_review,For-AI/audiotactile-paper-metadata-audit/manual_reviews/serino_2015_peri_trunk_exp1.json,PDF Experiment 1 and Design and Analysis,,unsupported_no_typed_study_plan,pps-study-plan.v1::schedule.events[]
doi:10.1038/srep18603::b,doi:10.1038/srep18603,serino_2015_front_back_trunk_exp2,Body part-centered and full body-centered peripersonal space representations. (b),pps_task,,1,pps_measurement,toolkit_protocol,sequence_start,,,,,,,,,,,,{},doi:10.1038/srep18603::b,{},manual_publication_review,For-AI/audiotactile-paper-metadata-audit/manual_reviews/serino_2015_front_back_trunk_exp2.json,PDF Experiment 2 and Design and Analysis,,unsupported_no_typed_study_plan,pps-study-plan.v1::schedule.events[]
doi:10.1038/srep18603::c,doi:10.1038/srep18603,serino_2015_peri_hand_exp3,Body part-centered and full body-centered peripersonal space representations. (c),pps_task,,1,pps_measurement,toolkit_protocol,sequence_start,,,,,,,,,,,,{},doi:10.1038/srep18603::c,{},manual_publication_review,For-AI/audiotactile-paper-metadata-audit/manual_reviews/serino_2015_peri_hand_exp3.json,PDF Experiment 3 and Design and Analysis,,unsupported_no_typed_study_plan,pps-study-plan.v1::schedule.events[]
doi:10.1038/srep18603::d,doi:10.1038/srep18603,serino_2015_exps_4_to_6,Body part-centered and full body-centered peripersonal space representations. (d),body_part_pps_blocks,,1,pps_measurement,toolkit_protocol,sequence_start,,,,,,,,2,,,Exact block order and any break are not reported.,{},doi:10.1038/srep18603::d,{},manual_publication_review,For-AI/audiotactile-paper-metadata-audit/manual_reviews/serino_2015_exps_4_to_6.json,"PDF pp.5-7 and pp.12-13, Experiment 4",,unsupported_no_typed_study_plan,pps-study-plan.v1::schedule.events[]
doi:10.1038/srep18603::e,doi:10.1038/srep18603,serino_2015_exps_4_to_6,Body part-centered and full body-centered peripersonal space representations. (e),posture_pps_conditions,,1,pps_measurement,toolkit_protocol,sequence_start,,,,,,,,2,,,Exact block/session order unresolved.,{},doi:10.1038/srep18603::e,{},manual_publication_review,For-AI/audiotactile-paper-metadata-audit/manual_reviews/serino_2015_exps_4_to_6.json,"PDF pp.5-7 and pp.12-13, Experiment 5",,unsupported_no_typed_study_plan,pps-study-plan.v1::schedule.events[]
doi:10.1038/srep18603::f,doi:10.1038/srep18603,serino_2015_exps_4_to_6,Body part-centered and full body-centered peripersonal space representations. (f),assigned_cell_pps,,1,pps_measurement,toolkit_protocol,sequence_start,,,,,,,,,,,,{},doi:10.1038/srep18603::f,"{""sound_location"":""factor-bound"",""touch_location"":""factor-bound""}",manual_publication_review,For-AI/audiotactile-paper-metadata-audit/manual_reviews/serino_2015_exps_4_to_6.json,"PDF pp.5-7, p.11, and p.13, Experiment 6",,unsupported_no_typed_study_plan,pps-study-plan.v1::schedule.events[]
doi:10.1038/srep18603::g,doi:10.1038/srep18603,,Body part-centered and full body-centered peripersonal space representations. (g),visual_tactile_pps_task,,1,pps_measurement,external_device,sequence_start,,,,,,visual_tactile_face_trunk_pps,,1,,,320 trials; body-location intermixing/block order unresolved.,{},visual-vr adapter required; no auditory profile,{},publication_pdf_adjacent_visual_tactile,artifacts/paper_metadata_audit/publication_pdfs/doi_10.1038_srep18603__06277eb0d560.pdf,"PDF pp.8,11-13, Experiment 7 and Methods",Participant visual-tactile PPS measurement retained as an adjacent-scope design; auditory protocol binding is explicitly not applicable.,unsupported_no_typed_study_plan,pps-study-plan.v1::schedule.events[]
doi:10.1007/s00221-013-3532-2::a,doi:10.1007/s00221-013-3532-2,canzoneri_2013_tool_use_reshaping,Tool-use reshapes the boundaries of body and peripersonal space representations. (a),pps_pre,,1,pps_measurement,toolkit_protocol,sequence_start,,,,,,,pre,,,,,"{""timepoint"":""pre""}",doi:10.1007/s00221-013-3532-2::a,{},publication_pdf,artifacts/paper_metadata_audit/publication_pdfs/doi_10.1007_s00221-013-3532-2__299a1419d7a1.pdf,"PDF pp.3-6, Experiment 1A",,unsupported_no_typed_study_plan,pps-study-plan.v1::schedule.events[]
doi:10.1007/s00221-013-3532-2::a,doi:10.1007/s00221-013-3532-2,canzoneri_2013_tool_use_reshaping,Tool-use reshapes the boundaries of body and peripersonal space representations. (a),tool_training,Long-tool object-retrieval training,2,training,external_operator,after,pps_pre,pps_pre,,,,,,,1200,,,{},,{},publication_pdf,artifacts/paper_metadata_audit/publication_pdfs/doi_10.1007_s00221-013-3532-2__299a1419d7a1.pdf,"PDF pp.3-6, Experiment 1A",,unsupported_no_typed_study_plan,pps-study-plan.v1::schedule.events[]
doi:10.1007/s00221-013-3532-2::a,doi:10.1007/s00221-013-3532-2,canzoneri_2013_tool_use_reshaping,Tool-use reshapes the boundaries of body and peripersonal space representations. (a),pps_post,,3,pps_measurement,toolkit_protocol,after,tool_training,tool_training,,,,,post,,,,,"{""timepoint"":""post""}",doi:10.1007/s00221-013-3532-2::a,{},publication_pdf,artifacts/paper_metadata_audit/publication_pdfs/doi_10.1007_s00221-013-3532-2__299a1419d7a1.pdf,"PDF pp.3-6, Experiment 1A",,unsupported_no_typed_study_plan,pps-study-plan.v1::schedule.events[]
doi:10.1007/s00221-013-3532-2::b,doi:10.1007/s00221-013-3532-2,canzoneri_2013_tool_use_reshaping,Tool-use reshapes the boundaries of body and peripersonal space representations. (b),pps_pre,,1,pps_measurement,toolkit_protocol,sequence_start,,,,,,,,,,,,"{""timepoint"":""pre""}",doi:10.1007/s00221-013-3532-2::b,{},publication_pdf,artifacts/paper_metadata_audit/publication_pdfs/doi_10.1007_s00221-013-3532-2__299a1419d7a1.pdf,"PDF pp.13-14, Experiment 3",,unsupported_no_typed_study_plan,pps-study-plan.v1::schedule.events[]
doi:10.1007/s00221-013-3532-2::b,doi:10.1007/s00221-013-3532-2,canzoneri_2013_tool_use_reshaping,Tool-use reshapes the boundaries of body and peripersonal space representations. (b),pointing_training,Pointing-control training,2,training,external_operator,after,pps_pre,pps_pre,,,,,,,1200,,,{},,{},publication_pdf,artifacts/paper_metadata_audit/publication_pdfs/doi_10.1007_s00221-013-3532-2__299a1419d7a1.pdf,"PDF pp.13-14, Experiment 3",,unsupported_no_typed_study_plan,pps-study-plan.v1::schedule.events[]
doi:10.1007/s00221-013-3532-2::b,doi:10.1007/s00221-013-3532-2,canzoneri_2013_tool_use_reshaping,Tool-use reshapes the boundaries of body and peripersonal space representations. (b),pps_post,,3,pps_measurement,toolkit_protocol,after,pointing_training,pointing_training,,,,,,,,,,"{""timepoint"":""post""}",doi:10.1007/s00221-013-3532-2::b,{},publication_pdf,artifacts/paper_metadata_audit/publication_pdfs/doi_10.1007_s00221-013-3532-2__299a1419d7a1.pdf,"PDF pp.13-14, Experiment 3",,unsupported_no_typed_study_plan,pps-study-plan.v1::schedule.events[]
doi:10.1016/j.neuropsychologia.2014.08.030::a,doi:10.1016/j.neuropsychologia.2014.08.030,noel_2015_walking,Full body action remapping of peripersonal space: the case of walking. (a),locomotion_pps_blocks,,1,pps_measurement,custom,sequence_start,,,,,,,,,,,,{},doi:10.1016/j.neuropsychologia.2014.08.030::a,"{""locomotion"":""factor-bound""}",manual_publication_review,For-AI/audiotactile-paper-metadata-audit/manual_reviews/noel_2015_walking.json,"Methods, Procedure; manual review Segments 2 and 4",,unsupported_no_typed_study_plan,pps-study-plan.v1::schedule.events[]
doi:10.1016/j.neuropsychologia.2014.08.030::b,doi:10.1016/j.neuropsychologia.2014.08.030,noel_2015_walking,Full body action remapping of peripersonal space: the case of walking. (b),optic_flow_locomotion_pps_blocks,,1,pps_measurement,custom,sequence_start,,,,,,optic_flow_locomotion_pps,,2,,,Standing/walking order counterbalanced; break spacing unreported.,{},doi:10.1016/j.neuropsychologia.2014.08.030::b,"{""locomotion"":""factor-bound"",""optic_flow"":""present""}",publication_pdf,artifacts/paper_metadata_audit/publication_pdfs/doi_10.1016_j.neuropsychologia.2014.08.030__99797d32c149.pdf,"PDF pp.3-5, Methods, protocol and Experiment 2",,unsupported_no_typed_study_plan,pps-study-plan.v1::schedule.events[]
doi:10.1162/jocn_a_00006::a,doi:10.1162/jocn_a_00006,serino_2011_rtms,Fronto-parietal areas necessary for a multisensory representation of peripersonal space in humans: an rTMS study. (a),pps_target_mapping,,1,pps_measurement,toolkit_protocol,sequence_start,,,,,session_1,pps_1,,2,,,,{},doi:10.1162/jocn_a_00006::a,{},publication_pdf,artifacts/paper_metadata_audit/publication_pdfs/doi_10.1162_jocn_a_00006__4a7e63364116.pdf,"PDF pp.2-7, experiment-specific Methods",,unsupported_no_typed_study_plan,pps-study-plan.v1::schedule.events[]
doi:10.1162/jocn_a_00006::b,doi:10.1162/jocn_a_00006,serino_2011_rtms,Fronto-parietal areas necessary for a multisensory representation of peripersonal space in humans: an rTMS study. (b),pps_hand_position,,1,pps_measurement,toolkit_protocol,sequence_start,,,,,session_1,pps_1,,2,,,,{},doi:10.1162/jocn_a_00006::b,{},publication_pdf,artifacts/paper_metadata_audit/publication_pdfs/doi_10.1162_jocn_a_00006__4a7e63364116.pdf,"PDF pp.2-7, experiment-specific Methods",,unsupported_no_typed_study_plan,pps-study-plan.v1::schedule.events[]
doi:10.1162/jocn_a_00006::c,doi:10.1162/jocn_a_00006,serino_2011_rtms,Fronto-parietal areas necessary for a multisensory representation of peripersonal space in humans: an rTMS study. (c),pps_baseline,,,pps_measurement,toolkit_protocol,sequence_start,,,,,baseline,pps_baseline,,,,,,"{""rtms_condition"":""baseline""}",doi:10.1162/jocn_a_00006::c,{},publication_pdf,artifacts/paper_metadata_audit/publication_pdfs/doi_10.1162_jocn_a_00006__4a7e63364116.pdf,"PDF pp.2-7, experiment-specific Methods",,unsupported_no_typed_study_plan,pps-study-plan.v1::schedule.events[]
doi:10.1162/jocn_a_00006::c,doi:10.1162/jocn_a_00006,serino_2011_rtms,Fronto-parietal areas necessary for a multisensory representation of peripersonal space in humans: an rTMS study. (c),rtms_vpmc,15-min 1-Hz vPMc rTMS,,intervention,external_device,before,,,,,vpmc,,,,900,,,"{""rtms_condition"":""vpmc""}",,{},publication_pdf,artifacts/paper_metadata_audit/publication_pdfs/doi_10.1162_jocn_a_00006__4a7e63364116.pdf,"PDF pp.2-7, experiment-specific Methods",,unsupported_no_typed_study_plan,pps-study-plan.v1::schedule.events[]
doi:10.1162/jocn_a_00006::c,doi:10.1162/jocn_a_00006,serino_2011_rtms,Fronto-parietal areas necessary for a multisensory representation of peripersonal space in humans: an rTMS study. (c),pps_vpmc,,,pps_measurement,toolkit_protocol,after,rtms_vpmc,rtms_vpmc,,,vpmc,pps_vpmc,,,,,,"{""rtms_condition"":""vpmc""}",doi:10.1162/jocn_a_00006::c,{},publication_pdf,artifacts/paper_metadata_audit/publication_pdfs/doi_10.1162_jocn_a_00006__4a7e63364116.pdf,"PDF pp.2-7, experiment-specific Methods",,unsupported_no_typed_study_plan,pps-study-plan.v1::schedule.events[]
doi:10.1162/jocn_a_00006::c,doi:10.1162/jocn_a_00006,serino_2011_rtms,Fronto-parietal areas necessary for a multisensory representation of peripersonal space in humans: an rTMS study. (c),rtms_ppc,15-min 1-Hz PPc rTMS,,intervention,external_device,before,,,,,ppc,,,,900,,,"{""rtms_condition"":""ppc""}",,{},publication_pdf,artifacts/paper_metadata_audit/publication_pdfs/doi_10.1162_jocn_a_00006__4a7e63364116.pdf,"PDF pp.2-7, experiment-specific Methods",,unsupported_no_typed_study_plan,pps-study-plan.v1::schedule.events[]
doi:10.1162/jocn_a_00006::c,doi:10.1162/jocn_a_00006,serino_2011_rtms,Fronto-parietal areas necessary for a multisensory representation of peripersonal space in humans: an rTMS study. (c),pps_ppc,,,pps_measurement,toolkit_protocol,after,rtms_ppc,rtms_ppc,,,ppc,pps_ppc,,,,,,"{""rtms_condition"":""ppc""}",doi:10.1162/jocn_a_00006::c,{},publication_pdf,artifacts/paper_metadata_audit/publication_pdfs/doi_10.1162_jocn_a_00006__4a7e63364116.pdf,"PDF pp.2-7, experiment-specific Methods",,unsupported_no_typed_study_plan,pps-study-plan.v1::schedule.events[]
doi:10.1162/jocn_a_00006::c,doi:10.1162/jocn_a_00006,serino_2011_rtms,Fronto-parietal areas necessary for a multisensory representation of peripersonal space in humans: an rTMS study. (c),rtms_v1,15-min 1-Hz V1 rTMS,,intervention,external_device,before,,,,,v1,,,,900,,,"{""rtms_condition"":""v1""}",,{},publication_pdf,artifacts/paper_metadata_audit/publication_pdfs/doi_10.1162_jocn_a_00006__4a7e63364116.pdf,"PDF pp.2-7, experiment-specific Methods",,unsupported_no_typed_study_plan,pps-study-plan.v1::schedule.events[]
doi:10.1162/jocn_a_00006::c,doi:10.1162/jocn_a_00006,serino_2011_rtms,Fronto-parietal areas necessary for a multisensory representation of peripersonal space in humans: an rTMS study. (c),pps_v1,,,pps_measurement,toolkit_protocol,after,rtms_v1,rtms_v1,,,v1,pps_v1,,,,,,"{""rtms_condition"":""v1""}",doi:10.1162/jocn_a_00006::c,{},publication_pdf,artifacts/paper_metadata_audit/publication_pdfs/doi_10.1162_jocn_a_00006__4a7e63364116.pdf,"PDF pp.2-7, experiment-specific Methods",,unsupported_no_typed_study_plan,pps-study-plan.v1::schedule.events[]
doi:10.1016/j.cognition.2015.07.012::a,doi:10.1016/j.cognition.2015.07.012,noel_2015_bodily_self,Peripersonal space as the space of the bodily self. (a),induction_and_pps_blocks,,1,pps_measurement,custom,sequence_start,,,,,,,,2,,Each block begins with 60 s induction; PPS triplets alternate with 10 s stroking-only periods.,,{},doi:10.1016/j.cognition.2015.07.012::a,{},manual_publication_review,For-AI/audiotactile-paper-metadata-audit/manual_reviews/noel_2015_bodily_self.json,Experiment 1; PDF p.2 and supplement Methods; manual review Segments 2 and 4,,unsupported_no_typed_study_plan,pps-study-plan.v1::schedule.events[]
doi:10.1016/j.cognition.2015.07.012::b,doi:10.1016/j.cognition.2015.07.012,noel_2015_bodily_self,Peripersonal space as the space of the bodily self. (b),induction_and_pps_blocks,,1,pps_measurement,custom,sequence_start,,,,,,,,2,,Each block begins with 60 s induction; PPS triplets alternate with 10 s stroking-only periods.,,{},doi:10.1016/j.cognition.2015.07.012::b,{},manual_publication_review,For-AI/audiotactile-paper-metadata-audit/manual_reviews/noel_2015_bodily_self.json,Experiment 2; PDF p.2 and supplement Methods; manual review Segments 2 and 4,,unsupported_no_typed_study_plan,pps-study-plan.v1::schedule.events[]
doi:10.1016/j.cognition.2015.07.012::c,doi:10.1016/j.cognition.2015.07.012,noel_2015_bodily_self,Peripersonal space as the space of the bodily self. (c),induction_and_pps_blocks,,1,pps_measurement,custom,sequence_start,,,,,,,,2,,,,{},doi:10.1016/j.cognition.2015.07.012::c,{},manual_publication_review,For-AI/audiotactile-paper-metadata-audit/manual_reviews/noel_2015_bodily_self.json,Supplemental front-space receding control; supplement Methods; manual review Segments 2 and 4,,unsupported_no_typed_study_plan,pps-study-plan.v1::schedule.events[]
doi:10.1016/j.neuropsychologia.2015.03.001::a,doi:10.1016/j.neuropsychologia.2015.03.001,ferri_2015_artificial_valence,Emotion-inducing approaching sounds shape the boundaries of multisensory peripersonal space. (a),pps,,1,pps_measurement,toolkit_protocol,sequence_start,,,,,,,,2,,,,{},doi:10.1016/j.neuropsychologia.2015.03.001::a,{},publication_pdf,artifacts/paper_metadata_audit/publication_pdfs/doi_10.1016_j.neuropsychologia.2015.03.001__8a3e82fe7431.pdf,"PDF pp.8-10, Experiment 1",,unsupported_no_typed_study_plan,pps-study-plan.v1::schedule.events[]
doi:10.1016/j.neuropsychologia.2015.03.001::b,doi:10.1016/j.neuropsychologia.2015.03.001,ferri_2015_ecological_valence,Emotion-inducing approaching sounds shape the boundaries of multisensory peripersonal space. (b),pps,,1,pps_measurement,toolkit_protocol,sequence_start,,,,,,,,4,,,,{},doi:10.1016/j.neuropsychologia.2015.03.001::b,{},publication_pdf,artifacts/paper_metadata_audit/publication_pdfs/doi_10.1016_j.neuropsychologia.2015.03.001__8a3e82fe7431.pdf,"PDF pp.10-13, Experiment 2",,unsupported_no_typed_study_plan,pps-study-plan.v1::schedule.events[]
doi:10.3389/fpsyt.2014.00122,doi:10.3389/fpsyt.2014.00122,taffou_2014_cynophobic_rear_looming,Cynophobic fear adaptively extends peri-personal space.,diagnostic_interview,MINI clinical interview,1,secondary_task,external_operator,sequence_start,,,,,,,,,1200,,,{},,{},publication_pdf,artifacts/paper_metadata_audit/publication_pdfs/doi_10.3389_fpsyt.2014.00122__1e91f2bf0fe4.pdf,"PDF pp.2-4, Materials, Main Experiment, and Emotional Evaluation",,unsupported_no_typed_study_plan,pps-study-plan.v1::schedule.events[]
doi:10.3389/fpsyt.2014.00122,doi:10.3389/fpsyt.2014.00122,taffou_2014_cynophobic_rear_looming,Cynophobic fear adaptively extends peri-personal space.,sound_rating_pre,Valence/arousal rating,2,secondary_task,external_operator,after,diagnostic_interview,diagnostic_interview,,,,,,,,,,{},,{},publication_pdf,artifacts/paper_metadata_audit/publication_pdfs/doi_10.3389_fpsyt.2014.00122__1e91f2bf0fe4.pdf,"PDF pp.2-4, Materials, Main Experiment, and Emotional Evaluation",,unsupported_no_typed_study_plan,pps-study-plan.v1::schedule.events[]
doi:10.3389/fpsyt.2014.00122,doi:10.3389/fpsyt.2014.00122,taffou_2014_cynophobic_rear_looming,Cynophobic fear adaptively extends peri-personal space.,pps,,3,pps_measurement,toolkit_protocol,after,sound_rating_pre,sound_rating_pre,,,,,,8,,,Eight 32-trial blocks; looming check after each.,{},doi:10.3389/fpsyt.2014.00122,{},publication_pdf,artifacts/paper_metadata_audit/publication_pdfs/doi_10.3389_fpsyt.2014.00122__1e91f2bf0fe4.pdf,"PDF pp.2-4, Materials, Main Experiment, and Emotional Evaluation",,unsupported_no_typed_study_plan,pps-study-plan.v1::schedule.events[]
