priority_tier,priority_score,node_id,title,year,doi,publication_url,toolkit_status,network_prominence_rank,layer,segment,parameter_key,parameter_label,current_status,review_action,audit_record_ids,template_ids,source_statuses,notes
P0,132.57,doi:10.1111/j.1467-9280.2007.01952.x,Extended multisensory space in blind cane users.,2007,10.1111/j.1467-9280.2007.01952.x,https://doi.org/10.1111/j.1467-9280.2007.01952.x,supported_incomplete,3,publication_evidence,2,PUB.S2.response_window,Response window,not_reported_after_review,find_protocol_lineage_or_choose_explicit_default,serino_2007_blind_cane_users,serino_2007_blind_cane_users,paywalled,Use Evidence Detail for per-record values and source pointers; do not infer across publication variants.
P0,130.63,doi:10.3389/fpsyt.2014.00122,Cynophobic fear adaptively extends peri-personal space.,2014,10.3389/fpsyt.2014.00122,https://doi.org/10.3389/fpsyt.2014.00122,supported_incomplete,12,publication_evidence,1,PUB.S1.gain_envelope,Gain/envelope,not_reported_after_review,find_protocol_lineage_or_choose_explicit_default,taffou_2014_cynophobic_rear_looming,taffou_2014_cynophobic_rear_looming,needs_user_download,Use Evidence Detail for per-record values and source pointers; do not infer across publication variants.
P0,130.63,doi:10.3389/fpsyt.2014.00122,Cynophobic fear adaptively extends peri-personal space.,2014,10.3389/fpsyt.2014.00122,https://doi.org/10.3389/fpsyt.2014.00122,supported_incomplete,12,publication_evidence,1,PUB.S1.source_provenance,Source/provenance,not_reported_after_review,find_protocol_lineage_or_choose_explicit_default,taffou_2014_cynophobic_rear_looming,taffou_2014_cynophobic_rear_looming,needs_user_download,Use Evidence Detail for per-record values and source pointers; do not infer across publication variants.
P0,129.56,doi:10.1093/cercor/bhy156,Audio-Tactile and Peripersonal Space Processing Around the Trunk in Human Parietal and Temporal Cortex: An Intracranial EEG Study.,2018,10.1093/cercor/bhy156,https://doi.org/10.1093/cercor/bhy156,supported_incomplete,17,publication_evidence,1,PUB.S1.gain_envelope,Gain/envelope,not_reported_after_review,find_protocol_lineage_or_choose_explicit_default,ieeg_trunk_2018,,downloaded,Use Evidence Detail for per-record values and source pointers; do not infer across publication variants.
P0,129.56,doi:10.1093/cercor/bhy156,Audio-Tactile and Peripersonal Space Processing Around the Trunk in Human Parietal and Temporal Cortex: An Intracranial EEG Study.,2018,10.1093/cercor/bhy156,https://doi.org/10.1093/cercor/bhy156,supported_incomplete,17,publication_evidence,4,PUB.S4.block_count,Block count,not_reported_after_review,find_protocol_lineage_or_choose_explicit_default,ieeg_trunk_2018,,downloaded,Use Evidence Detail for per-record values and source pointers; do not infer across publication variants.
P0,127.41,doi:10.1016/j.neuropsychologia.2014.09.043,Moving sounds within the peripersonal space modulate the motor system.,2015,10.1016/j.neuropsychologia.2014.09.043,https://doi.org/10.1016/j.neuropsychologia.2014.09.043,supported_incomplete,27,publication_evidence,1,PUB.S1.stimulus_type,Stimulus type,not_reported_after_review,find_protocol_lineage_or_choose_explicit_default,finisguerra_2015_moving_sounds_motor,,open_access_unavailable,Use Evidence Detail for per-record values and source pointers; do not infer across publication variants.
P0,127.41,doi:10.1016/j.neuropsychologia.2014.09.043,Moving sounds within the peripersonal space modulate the motor system.,2015,10.1016/j.neuropsychologia.2014.09.043,https://doi.org/10.1016/j.neuropsychologia.2014.09.043,supported_incomplete,27,publication_evidence,2,PUB.S2.response_window,Response window,not_reported_after_review,find_protocol_lineage_or_choose_explicit_default,finisguerra_2015_moving_sounds_motor,,open_access_unavailable,Use Evidence Detail for per-record values and source pointers; do not infer across publication variants.
P0,122.78,doi:10.1371/journal.pone.0044306,Dynamic sounds capture the boundaries of peripersonal space representation in humans.,2012,10.1371/journal.pone.0044306,https://doi.org/10.1371/journal.pone.0044306,runnable,2,publication_evidence,2,PUB.S2.response_window,Response window,not_reported_after_review,find_protocol_lineage_or_choose_explicit_default,canzoneri_2012_dynamic_sounds,canzoneri_2012_dynamic_sounds,downloaded,Use Evidence Detail for per-record values and source pointers; do not infer across publication variants.
P0,122.14,doi:10.1038/srep18603,Body part-centered and full body-centered peripersonal space representations.,2015,10.1038/srep18603,https://doi.org/10.1038/srep18603,runnable,5,publication_evidence,2,PUB.S2.response_window,Response window,not_reported_after_review,find_protocol_lineage_or_choose_explicit_default,serino_2015_exps_4_to_6 | serino_2015_front_back_trunk_exp2 | serino_2015_peri_hand_exp3 | serino_2015_peri_trunk_exp1,serino_2015_front_back_trunk_exp2 | serino_2015_peri_hand_exp3 | serino_2015_peri_trunk_exp1,downloaded,Use Evidence Detail for per-record values and source pointers; do not infer across publication variants.
P0,121.06,doi:10.1016/j.cognition.2015.07.012,Peripersonal space as the space of the bodily self.,2015,10.1016/j.cognition.2015.07.012,https://doi.org/10.1016/j.cognition.2015.07.012,runnable,10,publication_evidence,1,PUB.S1.gain_envelope,Gain/envelope,not_reported_after_review,find_protocol_lineage_or_choose_explicit_default,noel_2015_bodily_self,noel_2015_bodily_self | noel_2015_bodily_self_back_space,downloaded,Use Evidence Detail for per-record values and source pointers; do not infer across publication variants.
P0,121.06,doi:10.1016/j.cognition.2015.07.012,Peripersonal space as the space of the bodily self.,2015,10.1016/j.cognition.2015.07.012,https://doi.org/10.1016/j.cognition.2015.07.012,runnable,10,publication_evidence,1,PUB.S1.source_provenance,Source/provenance,not_reported_after_review,find_protocol_lineage_or_choose_explicit_default,noel_2015_bodily_self,noel_2015_bodily_self | noel_2015_bodily_self_back_space,downloaded,Use Evidence Detail for per-record values and source pointers; do not infer across publication variants.
P0,121.06,doi:10.1016/j.cognition.2015.07.012,Peripersonal space as the space of the bodily self.,2015,10.1016/j.cognition.2015.07.012,https://doi.org/10.1016/j.cognition.2015.07.012,runnable,10,publication_evidence,1,PUB.S1.stimulus_type,Stimulus type,not_reported_after_review,find_protocol_lineage_or_choose_explicit_default,noel_2015_bodily_self,noel_2015_bodily_self | noel_2015_bodily_self_back_space,downloaded,Use Evidence Detail for per-record values and source pointers; do not infer across publication variants.
P0,121.06,doi:10.1016/j.cognition.2015.07.012,Peripersonal space as the space of the bodily self.,2015,10.1016/j.cognition.2015.07.012,https://doi.org/10.1016/j.cognition.2015.07.012,runnable,10,publication_evidence,2,PUB.S2.response_window,Response window,not_reported_after_review,find_protocol_lineage_or_choose_explicit_default,noel_2015_bodily_self,noel_2015_bodily_self | noel_2015_bodily_self_back_space,downloaded,Use Evidence Detail for per-record values and source pointers; do not infer across publication variants.
P0,120.42,doi:10.1038/srep02844,Amputation and prosthesis implantation shape body and peripersonal space representations.,2013,10.1038/srep02844,https://doi.org/10.1038/srep02844,runnable,13,publication_evidence,2,PUB.S2.iti_jitter_policy,ITI/jitter policy,not_reported_after_review,find_protocol_lineage_or_choose_explicit_default,canzoneri_2013_amputation_prosthesis,canzoneri_2013_amputation_prosthesis,downloaded,Use Evidence Detail for per-record values and source pointers; do not infer across publication variants.
P0,119.77,doi:10.3389/fnbeh.2015.00004,Extending peripersonal space representation without tool-use: evidence from a combined behavioral-computational approach.,2015,10.3389/fnbeh.2015.00004,https://doi.org/10.3389/fnbeh.2015.00004,runnable,16,publication_evidence,1,PUB.S1.gain_envelope,Gain/envelope,not_reported_after_review,find_protocol_lineage_or_choose_explicit_default,serino_2015_toolless_sync_training,serino_2015_toolless_sync_training,downloaded,Use Evidence Detail for per-record values and source pointers; do not infer across publication variants.
P0,119.77,doi:10.3389/fnbeh.2015.00004,Extending peripersonal space representation without tool-use: evidence from a combined behavioral-computational approach.,2015,10.3389/fnbeh.2015.00004,https://doi.org/10.3389/fnbeh.2015.00004,runnable,16,publication_evidence,2,PUB.S2.iti_jitter_policy,ITI/jitter policy,not_reported_after_review,find_protocol_lineage_or_choose_explicit_default,serino_2015_toolless_sync_training,serino_2015_toolless_sync_training,downloaded,Use Evidence Detail for per-record values and source pointers; do not infer across publication variants.
P0,118.16,doi:10.3390/bs14040306,Mindfulness Affects the Boundaries of Bodily Self-Representation: The Effect of Focused-Attention Meditation in Fading the Boundary of Peripersonal Space.,2024,10.3390/bs14040306,https://doi.org/10.3390/bs14040306,supported_incomplete,70,publication_evidence,2,PUB.S2.response_window,Response window,not_reported_after_review,find_protocol_lineage_or_choose_explicit_default,mindfulness_pps_2024,,needs_user_download,Use Evidence Detail for per-record values and source pointers; do not infer across publication variants.
P0,115.42,doi:10.1038/srep02844,Amputation and prosthesis implantation shape body and peripersonal space representations.,2013,10.1038/srep02844,https://doi.org/10.1038/srep02844,runnable,13,publication_evidence,4,PUB.S4.total_trial_count,Total trial count,source_inconsistency_caveat,resolve_source_inconsistency,canzoneri_2013_amputation_prosthesis,canzoneri_2013_amputation_prosthesis,downloaded,Use Evidence Detail for per-record values and source pointers; do not infer across publication variants.
P0,115.35,doi:10.1016/j.cub.2013.01.043,Social modulation of peripersonal space boundaries.,2013,10.1016/j.cub.2013.01.043,https://doi.org/10.1016/j.cub.2013.01.043,supported_incomplete,4,publication_evidence,1,PUB.S1.auditory_conditions,Auditory conditions,source_unavailable,acquire_or_open_source,teneggi_2013_social_face,teneggi_2013_social_face_pps,needs_user_download,Use Evidence Detail for per-record values and source pointers; do not infer across publication variants.
P0,115.35,doi:10.1016/j.cub.2013.01.043,Social modulation of peripersonal space boundaries.,2013,10.1016/j.cub.2013.01.043,https://doi.org/10.1016/j.cub.2013.01.043,supported_incomplete,4,publication_evidence,1,PUB.S1.gain_envelope,Gain/envelope,source_unavailable,acquire_or_open_source,teneggi_2013_social_face,teneggi_2013_social_face_pps,needs_user_download,Use Evidence Detail for per-record values and source pointers; do not infer across publication variants.
P0,115.35,doi:10.1016/j.cub.2013.01.043,Social modulation of peripersonal space boundaries.,2013,10.1016/j.cub.2013.01.043,https://doi.org/10.1016/j.cub.2013.01.043,supported_incomplete,4,publication_evidence,1,PUB.S1.renderer_or_apparatus,Renderer/HRTF/speaker apparatus,source_unavailable,acquire_or_open_source,teneggi_2013_social_face,teneggi_2013_social_face_pps,needs_user_download,Use Evidence Detail for per-record values and source pointers; do not infer across publication variants.
P0,115.35,doi:10.1016/j.cub.2013.01.043,Social modulation of peripersonal space boundaries.,2013,10.1016/j.cub.2013.01.043,https://doi.org/10.1016/j.cub.2013.01.043,supported_incomplete,4,publication_evidence,1,PUB.S1.source_provenance,Source/provenance,source_unavailable,acquire_or_open_source,teneggi_2013_social_face,teneggi_2013_social_face_pps,needs_user_download,Use Evidence Detail for per-record values and source pointers; do not infer across publication variants.
P0,115.35,doi:10.1016/j.cub.2013.01.043,Social modulation of peripersonal space boundaries.,2013,10.1016/j.cub.2013.01.043,https://doi.org/10.1016/j.cub.2013.01.043,supported_incomplete,4,publication_evidence,1,PUB.S1.stimulus_duration,Duration,source_unavailable,acquire_or_open_source,teneggi_2013_social_face,teneggi_2013_social_face_pps,needs_user_download,Use Evidence Detail for per-record values and source pointers; do not infer across publication variants.
P0,115.35,doi:10.1016/j.cub.2013.01.043,Social modulation of peripersonal space boundaries.,2013,10.1016/j.cub.2013.01.043,https://doi.org/10.1016/j.cub.2013.01.043,supported_incomplete,4,publication_evidence,1,PUB.S1.stimulus_speed,Speed/path length,source_unavailable,acquire_or_open_source,teneggi_2013_social_face,teneggi_2013_social_face_pps,needs_user_download,Use Evidence Detail for per-record values and source pointers; do not infer across publication variants.
P0,115.35,doi:10.1016/j.cub.2013.01.043,Social modulation of peripersonal space boundaries.,2013,10.1016/j.cub.2013.01.043,https://doi.org/10.1016/j.cub.2013.01.043,supported_incomplete,4,publication_evidence,1,PUB.S1.stimulus_type,Stimulus type,source_unavailable,acquire_or_open_source,teneggi_2013_social_face,teneggi_2013_social_face_pps,needs_user_download,Use Evidence Detail for per-record values and source pointers; do not infer across publication variants.
P0,115.35,doi:10.1016/j.cub.2013.01.043,Social modulation of peripersonal space boundaries.,2013,10.1016/j.cub.2013.01.043,https://doi.org/10.1016/j.cub.2013.01.043,supported_incomplete,4,publication_evidence,1,PUB.S1.trajectory_count,Number of trajectories/tones,source_unavailable,acquire_or_open_source,teneggi_2013_social_face,teneggi_2013_social_face_pps,needs_user_download,Use Evidence Detail for per-record values and source pointers; do not infer across publication variants.
P0,115.35,doi:10.1016/j.cub.2013.01.043,Social modulation of peripersonal space boundaries.,2013,10.1016/j.cub.2013.01.043,https://doi.org/10.1016/j.cub.2013.01.043,supported_incomplete,4,publication_evidence,1,PUB.S1.trajectory_path,Trajectory path,source_unavailable,acquire_or_open_source,teneggi_2013_social_face,teneggi_2013_social_face_pps,needs_user_download,Use Evidence Detail for per-record values and source pointers; do not infer across publication variants.
P0,115.35,doi:10.1016/j.cub.2013.01.043,Social modulation of peripersonal space boundaries.,2013,10.1016/j.cub.2013.01.043,https://doi.org/10.1016/j.cub.2013.01.043,supported_incomplete,4,publication_evidence,2,PUB.S2.blocked_or_random_order,Blocked/random order,source_unavailable,acquire_or_open_source,teneggi_2013_social_face,teneggi_2013_social_face_pps,needs_user_download,Use Evidence Detail for per-record values and source pointers; do not infer across publication variants.
P0,115.35,doi:10.1016/j.cub.2013.01.043,Social modulation of peripersonal space boundaries.,2013,10.1016/j.cub.2013.01.043,https://doi.org/10.1016/j.cub.2013.01.043,supported_incomplete,4,publication_evidence,2,PUB.S2.condition_intermixing,Condition intermixing,source_unavailable,acquire_or_open_source,teneggi_2013_social_face,teneggi_2013_social_face_pps,needs_user_download,Use Evidence Detail for per-record values and source pointers; do not infer across publication variants.
P0,115.35,doi:10.1016/j.cub.2013.01.043,Social modulation of peripersonal space boundaries.,2013,10.1016/j.cub.2013.01.043,https://doi.org/10.1016/j.cub.2013.01.043,supported_incomplete,4,publication_evidence,2,PUB.S2.iti_jitter_policy,ITI/jitter policy,source_unavailable,acquire_or_open_source,teneggi_2013_social_face,teneggi_2013_social_face_pps,needs_user_download,Use Evidence Detail for per-record values and source pointers; do not infer across publication variants.
P0,115.35,doi:10.1016/j.cub.2013.01.043,Social modulation of peripersonal space boundaries.,2013,10.1016/j.cub.2013.01.043,https://doi.org/10.1016/j.cub.2013.01.043,supported_incomplete,4,publication_evidence,2,PUB.S2.response_window,Response window,source_unavailable,acquire_or_open_source,teneggi_2013_social_face,teneggi_2013_social_face_pps,needs_user_download,Use Evidence Detail for per-record values and source pointers; do not infer across publication variants.
P0,115.35,doi:10.1016/j.cub.2013.01.043,Social modulation of peripersonal space boundaries.,2013,10.1016/j.cub.2013.01.043,https://doi.org/10.1016/j.cub.2013.01.043,supported_incomplete,4,publication_evidence,2,PUB.S2.task_sequence_rules,Task-critical sequence rules,source_unavailable,acquire_or_open_source,teneggi_2013_social_face,teneggi_2013_social_face_pps,needs_user_download,Use Evidence Detail for per-record values and source pointers; do not infer across publication variants.
P0,115.35,doi:10.1016/j.cub.2013.01.043,Social modulation of peripersonal space boundaries.,2013,10.1016/j.cub.2013.01.043,https://doi.org/10.1016/j.cub.2013.01.043,supported_incomplete,4,publication_evidence,2,PUB.S2.trial_rows_families,Trial rows/families,source_unavailable,acquire_or_open_source,teneggi_2013_social_face,teneggi_2013_social_face_pps,needs_user_download,Use Evidence Detail for per-record values and source pointers; do not infer across publication variants.
P0,115.35,doi:10.1016/j.cub.2013.01.043,Social modulation of peripersonal space boundaries.,2013,10.1016/j.cub.2013.01.043,https://doi.org/10.1016/j.cub.2013.01.043,supported_incomplete,4,publication_evidence,3,PUB.S3.baseline_strategy,Baseline strategy,source_unavailable,acquire_or_open_source,teneggi_2013_social_face,teneggi_2013_social_face_pps,needs_user_download,Use Evidence Detail for per-record values and source pointers; do not infer across publication variants.
P0,115.35,doi:10.1016/j.cub.2013.01.043,Social modulation of peripersonal space boundaries.,2013,10.1016/j.cub.2013.01.043,https://doi.org/10.1016/j.cub.2013.01.043,supported_incomplete,4,publication_evidence,3,PUB.S3.baseline_timing,Baseline SOAs/timing,source_unavailable,acquire_or_open_source,teneggi_2013_social_face,teneggi_2013_social_face_pps,needs_user_download,Use Evidence Detail for per-record values and source pointers; do not infer across publication variants.
P0,115.35,doi:10.1016/j.cub.2013.01.043,Social modulation of peripersonal space boundaries.,2013,10.1016/j.cub.2013.01.043,https://doi.org/10.1016/j.cub.2013.01.043,supported_incomplete,4,publication_evidence,3,PUB.S3.catch_trial_type,Catch-trial type,source_unavailable,acquire_or_open_source,teneggi_2013_social_face,teneggi_2013_social_face_pps,needs_user_download,Use Evidence Detail for per-record values and source pointers; do not infer across publication variants.
P0,115.35,doi:10.1016/j.cub.2013.01.043,Social modulation of peripersonal space boundaries.,2013,10.1016/j.cub.2013.01.043,https://doi.org/10.1016/j.cub.2013.01.043,supported_incomplete,4,publication_evidence,3,PUB.S3.soa_table,SOA/distance-at-touch table,source_unavailable,acquire_or_open_source,teneggi_2013_social_face,teneggi_2013_social_face_pps,needs_user_download,Use Evidence Detail for per-record values and source pointers; do not infer across publication variants.
P0,115.35,doi:10.1016/j.cub.2013.01.043,Social modulation of peripersonal space boundaries.,2013,10.1016/j.cub.2013.01.043,https://doi.org/10.1016/j.cub.2013.01.043,supported_incomplete,4,publication_evidence,3,PUB.S3.tactile_stimulus,Tactile stimulus,source_unavailable,acquire_or_open_source,teneggi_2013_social_face,teneggi_2013_social_face_pps,needs_user_download,Use Evidence Detail for per-record values and source pointers; do not infer across publication variants.
P0,115.35,doi:10.1016/j.cub.2013.01.043,Social modulation of peripersonal space boundaries.,2013,10.1016/j.cub.2013.01.043,https://doi.org/10.1016/j.cub.2013.01.043,supported_incomplete,4,publication_evidence,4,PUB.S4.baseline_count,Baseline count,source_unavailable,acquire_or_open_source,teneggi_2013_social_face,teneggi_2013_social_face_pps,needs_user_download,Use Evidence Detail for per-record values and source pointers; do not infer across publication variants.
P0,115.35,doi:10.1016/j.cub.2013.01.043,Social modulation of peripersonal space boundaries.,2013,10.1016/j.cub.2013.01.043,https://doi.org/10.1016/j.cub.2013.01.043,supported_incomplete,4,publication_evidence,4,PUB.S4.block_count,Block count,source_unavailable,acquire_or_open_source,teneggi_2013_social_face,teneggi_2013_social_face_pps,needs_user_download,Use Evidence Detail for per-record values and source pointers; do not infer across publication variants.
P0,115.35,doi:10.1016/j.cub.2013.01.043,Social modulation of peripersonal space boundaries.,2013,10.1016/j.cub.2013.01.043,https://doi.org/10.1016/j.cub.2013.01.043,supported_incomplete,4,publication_evidence,4,PUB.S4.catch_count,Catch count,source_unavailable,acquire_or_open_source,teneggi_2013_social_face,teneggi_2013_social_face_pps,needs_user_download,Use Evidence Detail for per-record values and source pointers; do not infer across publication variants.
P0,115.35,doi:10.1016/j.cub.2013.01.043,Social modulation of peripersonal space boundaries.,2013,10.1016/j.cub.2013.01.043,https://doi.org/10.1016/j.cub.2013.01.043,supported_incomplete,4,publication_evidence,4,PUB.S4.repetitions_per_tactile_soa_condition,Repetitions per tactile SOA/condition,source_unavailable,acquire_or_open_source,teneggi_2013_social_face,teneggi_2013_social_face_pps,needs_user_download,Use Evidence Detail for per-record values and source pointers; do not infer across publication variants.
P0,115.35,doi:10.1016/j.cub.2013.01.043,Social modulation of peripersonal space boundaries.,2013,10.1016/j.cub.2013.01.043,https://doi.org/10.1016/j.cub.2013.01.043,supported_incomplete,4,publication_evidence,4,PUB.S4.total_trial_count,Total trial count,source_unavailable,acquire_or_open_source,teneggi_2013_social_face,teneggi_2013_social_face_pps,needs_user_download,Use Evidence Detail for per-record values and source pointers; do not infer across publication variants.
P0,114.92,doi:10.1016/j.neuropsychologia.2009.11.009,Everyday use of the computer mouse extends peripersonal space representation.,2010,10.1016/j.neuropsychologia.2009.11.009,https://doi.org/10.1016/j.neuropsychologia.2009.11.009,supported_incomplete,6,publication_evidence,1,PUB.S1.auditory_conditions,Auditory conditions,source_unavailable,acquire_or_open_source,bassolino_2010_mouse_use,,paywalled,Use Evidence Detail for per-record values and source pointers; do not infer across publication variants.
P0,114.92,doi:10.1016/j.neuropsychologia.2009.11.009,Everyday use of the computer mouse extends peripersonal space representation.,2010,10.1016/j.neuropsychologia.2009.11.009,https://doi.org/10.1016/j.neuropsychologia.2009.11.009,supported_incomplete,6,publication_evidence,1,PUB.S1.gain_envelope,Gain/envelope,source_unavailable,acquire_or_open_source,bassolino_2010_mouse_use,,paywalled,Use Evidence Detail for per-record values and source pointers; do not infer across publication variants.
P0,114.92,doi:10.1016/j.neuropsychologia.2009.11.009,Everyday use of the computer mouse extends peripersonal space representation.,2010,10.1016/j.neuropsychologia.2009.11.009,https://doi.org/10.1016/j.neuropsychologia.2009.11.009,supported_incomplete,6,publication_evidence,1,PUB.S1.renderer_or_apparatus,Renderer/HRTF/speaker apparatus,source_unavailable,acquire_or_open_source,bassolino_2010_mouse_use,,paywalled,Use Evidence Detail for per-record values and source pointers; do not infer across publication variants.
P0,114.92,doi:10.1016/j.neuropsychologia.2009.11.009,Everyday use of the computer mouse extends peripersonal space representation.,2010,10.1016/j.neuropsychologia.2009.11.009,https://doi.org/10.1016/j.neuropsychologia.2009.11.009,supported_incomplete,6,publication_evidence,1,PUB.S1.source_provenance,Source/provenance,source_unavailable,acquire_or_open_source,bassolino_2010_mouse_use,,paywalled,Use Evidence Detail for per-record values and source pointers; do not infer across publication variants.
P0,114.92,doi:10.1016/j.neuropsychologia.2009.11.009,Everyday use of the computer mouse extends peripersonal space representation.,2010,10.1016/j.neuropsychologia.2009.11.009,https://doi.org/10.1016/j.neuropsychologia.2009.11.009,supported_incomplete,6,publication_evidence,1,PUB.S1.stimulus_duration,Duration,source_unavailable,acquire_or_open_source,bassolino_2010_mouse_use,,paywalled,Use Evidence Detail for per-record values and source pointers; do not infer across publication variants.
P0,114.92,doi:10.1016/j.neuropsychologia.2009.11.009,Everyday use of the computer mouse extends peripersonal space representation.,2010,10.1016/j.neuropsychologia.2009.11.009,https://doi.org/10.1016/j.neuropsychologia.2009.11.009,supported_incomplete,6,publication_evidence,1,PUB.S1.stimulus_speed,Speed/path length,source_unavailable,acquire_or_open_source,bassolino_2010_mouse_use,,paywalled,Use Evidence Detail for per-record values and source pointers; do not infer across publication variants.
P0,114.92,doi:10.1016/j.neuropsychologia.2009.11.009,Everyday use of the computer mouse extends peripersonal space representation.,2010,10.1016/j.neuropsychologia.2009.11.009,https://doi.org/10.1016/j.neuropsychologia.2009.11.009,supported_incomplete,6,publication_evidence,1,PUB.S1.stimulus_type,Stimulus type,source_unavailable,acquire_or_open_source,bassolino_2010_mouse_use,,paywalled,Use Evidence Detail for per-record values and source pointers; do not infer across publication variants.
