gui_decision,toolkit_control,study_examples,design_rationale,caveat,citation_keys,profile_template_ids
"Segment 1: spatial rendering resource","FABIAN/SOFA reference path, 3DTI-compatible config, render manifest, trajectory/QC CSVs","Near-field HRTF datasets, 3D Tune-In real-time binaural spatialization, and near-field perceptual validation studies","Near-body PPS tasks depend on distance, ITD, ILD, level, near-field cues, and participant perceptual context; renderer version and SOFA metadata are part of the method","Generic FABIAN rendering is standardized but not individualized HRTF measurement; do not overclaim absolute perceived distance, externalization, or front/back localization","Salvador2018;CuevasRodriguez2019;Hoene2017;Parseihian2014;Kan2009;Spagnol2017;Arend2021;AES69","all generated spatialized profiles"
"Segment 2: define trial sequence rows/families","OpenSesame-style row builder with row labels and folder-per-family outputs","Inhale/exhale Study 5 rows; direction or condition families in published profiles","Row identity preserves repeated within-trial structure before randomization; later blocks should not erase the family scaffold","Some published protocols include training, social context, or motor states that remain profile metadata unless they change audio-tactile timing","Canzoneri2012;Matsuda2021;Noel2015","study5_box_breathing_pps;matsuda_2021_four_directions"
"Segment 2: ordered audio boxes","Left-to-right sequence of instruction snippets, jitter, and looming/source boxes","Breathing/instruction plus looming tasks and run-level instruction workflows","Within-trial order affects expectancy and response preparation; visible boxes make temporal composition auditable","Instruction audio is local/imported and may not be part of original published protocols","Hobeika2019;Holmes2020","study5_box_breathing_pps;study5_dynaspace_lateral_45_pps"
"Segment 2: alternatives within a box","Multiple source labels in a box multiply concrete sequence variants","Noise/color, direction, valence, and condition alternatives across PPS paradigms","Alternatives separate experimental factors from ad hoc file duplication and keep source balancing explicit","Crossed alternatives can exceed the GUI's representation if a paper also requires body-part or apparatus factors not yet modeled","Taffou2021;Matsuda2021;Ferri2015","matsuda_2021_four_directions;ferri_2015_artificial_looming_valence"
"Segment 2: jitter boxes","Timed silent intervals stored in sequence manifests","ITI and onset jitter vary across reaction-time paradigms","Jitter controls temporal expectation and prevents fixed timing from becoming a hidden confound","The toolkit stores jitter values but exact ITI policies for some published profiles still require source extraction","Hobeika2019;Holmes2020","custom designs; partial published profiles"
"Segment 2: per-source soundcheck","Speaker/play preview for resolved Segment 1 ingredients","Stimulus-preview practices in experiment-builder software","Researchers need to inspect the exact source referenced by a row before baking downstream trials","Preview playback is a comfort/content check, not calibrated timing or SPL evidence","AnwylIrvine2018;Peirce2019","all profiles"
"Segment 3: SOA selection","Main SOA list and effective baseline SOA set","Canzoneri T1-T5, Hobeika logarithmic sampling, DynaSpace anchors","SOA is the operational bridge from time to sound-source distance; manuscripts must report both timing and spatial interpretation","If distance at tactile onset is inferred from renderer metadata, the inference must be declared","Canzoneri2012;Hobeika2019;Roussel2025","canzoneri_2012_dynamic_sounds;roussel_2025_dynaspace_mobile_pps;study5_dynaspace_lateral_45_pps"
"Segment 3: baseline strategy","No baseline, tactile-only, min/max anchor, min+max, full-SOA tactile-only, stationary/fixed-distance auditory baseline, custom baselines","Hobeika fixed-distance baseline, Teraoka tactile-only baseline, Canzoneri T0/T6 controls, Holmes critique","Baseline logic differs sharply across the field; exposing it prevents hidden subtraction choices and expectancy corrections","No single baseline is universally correct; papers must justify the baseline relative to their source trajectory and expectancy model","Hobeika2019;Teraoka2024;Holmes2020;Canzoneri2012","study5_box_breathing_pps;canzoneri_2012_dynamic_sounds;matsuda_2021_four_directions"
"Segment 3: stationary-burst baseline files","Baseline stationary-burst leaf folders with tactile channel retained","Study 5 local profiles and fixed-distance/static-sound controls","Stationary controls can separate looming dynamics from audio presence and tactile timing","Stationary-burst files are controls for the toolkit's chosen source standard, not proof that all expectancy effects are removed","Hobeika2019;Holmes2020","study5_box_breathing_pps;study5_dynaspace_lateral_45_pps"
"Segment 3: tactile-only baseline","Auditory channels silenced or non-looming components preserved while tactile cue remains on channel 3","Teraoka tactile-only baseline and Canzoneri pre/post tactile controls","Tactile-only baselines estimate unimodal tactile RT and allow baseline-corrected facilitation","Frequent tactile-only trials can alter target probability and miss rates; response probability must be tracked","Teraoka2024;Holmes2020;Canzoneri2012","canzoneri_2012_dynamic_sounds;matsuda_2021_four_directions"
"Segment 3: audio-only catch files","Catch-trial-ready stereo/binaural files without tactile cue","Auditory-only catch trials in dynamic PPS studies","Catch trials quantify response bias and premature/false tactile reports","Catch rates must be reported because response probability can influence near-far benefits","Holmes2020;Canzoneri2012;Matsuda2021","canzoneri_2012_dynamic_sounds;matsuda_2021_four_directions;study5_box_breathing_pps"
"Segment 3: tactile cue and channel map","Shared tactile cue inserted in channel 3; channels 1-2 carry binaural audio","Audio-tactile reaction-time and vibrotactile detection paradigms","Channel-role manifests prevent left/right/tactile ambiguity across renderer, runner, loopback, and analysis layers","Digital channel evidence is not equivalent to mechanical vibration onset or perceived tactile onset","Merchel2020;Mikkelsen2020;CuevasRodriguez2019","all runner-ready profiles"
"Segment 4: repetition counts","Global, folder-level, and per-WAV repetition controls; live trial-count and duration feedback","PPS studies differ in trials per SOA, catch proportion, and condition balance","Repetition pools make response probability, cell counts, and duration visible before randomization","Fractional or adjusted repetitions should be documented as design decisions, not post-hoc balancing","Holmes2020;Canzoneri2012;Roussel2025","study5_box_breathing_pps;roussel_2025_dynaspace_mobile_pps"
"Segment 4: duration estimates","Estimated playback duration, average trial duration, and longest-folder contribution","Long RT tasks and fatigue-sensitive tactile calibration workflows","Duration predicts fatigue, habituation, and operational burden; it belongs beside repetition choices","Duration estimates exclude operator delays and participant breaks unless those are encoded","Merchel2020;Goble1993;Hollins1990","study5_box_breathing_pps"
"Segment 5: deterministic block generation","Seeded distribution from repetition pool into block CSVs","Reproducible randomization in experiment-builder systems and constrained-sequence tools","Block CSVs are methods artifacts; they let labs inspect actual row order before running participants","Randomization constraints do not replace counterbalancing or preregistered analysis plans","AnwylIrvine2018;Peirce2019;DeLeeuw2022;Ellis2024;Jadoul2023;French2009","all Segment 5-ready profiles"
"Segment 5: preserve row/family order","Hard row-order scaffold with Gellermann-style within-family queues","Study 5 inhale/exhale alternation, balanced family designs, and constrained randomization examples","Preserves within-trial family rhythm while still distributing concrete conditions and making sequential constraints auditable","Some published studies may require fully randomized rows; over-constrained sequences can add their own structure and should be encoded as profile-specific exceptions","Canzoneri2012;Holmes2020;Jadoul2023;French2009","study5_box_breathing_pps;study5_dynaspace_lateral_45_pps"
"Segment 5: accept/edit/download randomization","Accept Blocks locks final CSVs; Edit reopens; hosted mode can download generated CSVs","Reproducibility and audit trails in BRM-style software papers","Explicit acceptance turns randomization from transient UI state into a citable artifact","Hosted/static downloads cannot launch local timing without the companion backend","Otto2023;Ellis2024","all browser-ready profiles"
"Segment 6: participant count","Participant-by-part block-order manifest","Counterbalanced behavioral experiment workflows","Participant count affects block-order permutations and package generation; it should be captured before runner handoff","The toolkit does not determine statistical power; labs still need study-level power/planning","Ellis2024;Holmes2020","all runner-ready profiles"
"Segment 6: one-part versus two-part structure","Single or pre/post split packages with part-local manifests","Training, intervention, tool-use, walking, or pre/post PPS variants","Splitting makes pre/post or intervention designs reconstructable while preserving part identity in markers and analysis","Contextual interventions remain metadata unless the toolkit controls their delivery","Noel2015;Canzoneri2013ToolUse;Serino2015","canzoneri_2013_tool_use_reshaping;noel_2015_walking_full_body_action"
"Segment 6: participant block-order permutations","Regenerate Sequence and saved experiment_block_order.csv","Counterbalancing and participant-level schedule assignment","Separates block contents from participant order, allowing reproducible schedule rotations","Permutation schemes must be reported, especially when blocks encode direction, source class, or part","Matsuda2021;Taffou2021;Ellis2024","matsuda_2021_four_directions;taffou_2014_cynophobic_rear_looming"
"Segment 6: output-folder preparation","Profile snapshot, bridge manifest, output diary, Data_min/Data_max acquisition layout","Open materials and reproducibility expectations in software papers","Separates reusable study design from private/session outputs and makes the acquisition root reconstructable","Participant data and local generated artifacts are not committed to the public repo","Ellis2024;Otto2023","all native-runner profiles"
"Segment 6: native runner handoff","Save Design and Start Experiment Runner launches PPSExperimentRunner.exe with prepared manifests","Behavioral timing software and lab-local runner workflows","Browser GUI stays an orchestrator while the native app owns synchronized playback, response logging, LSL, and local outputs","The runner's software events must be validated separately from hardware loopback and tactile perception","Peirce2019;AnwylIrvine2018;Bridges2020;Roussel2025","all native-runner profiles"
"Focus Mode: output levels and test audio/tactile","Output 1/2 headphone gain, Output 3/4 tactile gain, Test Audio, Test Tactile","Lab hardware setup and comfort checks","Operator-facing checks reduce routing mistakes before participant timing begins","Output-level checks are not calibrated SPL or mechanical-vibration measurements","Merchel2020;CuevasRodriguez2019","study5_box_breathing_pps"
"Focus Mode: tactile threshold calibration","two_down_one_up_detection_threshold.v2 over 0.01-0.5 percent Output 3/4 with catch and confirmation phases","Vibrotactile threshold, adaptation, recovery, and staircase-method literature","Individual tactile thresholds vary and threshold procedures affect estimates; calibration makes the tactile preset explicit","Calibration can increase missed trials if the chosen level is near threshold, especially during long tasks; quantify only with traceable artifacts","Pate2024;Mikkelsen2020;Morioka2002;Merchel2020;Goble1993;Hollins1990;Leung2005","all native-runner profiles"
"Focus Mode: adaptive tactile threshold safeguard","After two tactile misses, raise Output 3/4 by +0.01 percent up to 0.5 percent; log tactile_threshold_adapted and CSV/JSON outputs","Vibrotactile adaptation and threshold-shift literature","A narrow operator safeguard acknowledges that detection can drift during long sessions","This is not yet a validated psychophysical correction and must be analyzed as run-local evidence","Goble1993;Hollins1990;Merchel2020","study5_box_breathing_pps"
"Focus Mode: missed-trial top-up","Optional part-end top-up block for missed tactile trials","Long audio-tactile tasks with expected occasional misses","Preserves planned tactile exposure and operator transparency when misses occur","Top-up rows are rescue/quality-control evidence and should be marked separately in analysis","Holmes2020;Mikkelsen2020","study5_box_breathing_pps"
"Focus Mode: LSL, LabRecorder, event mirrors, and loopback","PPSMarkersV2, PPSTriggerCodes, event CSV, XDF capture, audio evidence WAV, optional wired loopback","Timing-validation standards in behavioral software and smartphone RT validation","Separates software schedule, recorded marker persistence, digital output evidence, and electrical loopback evidence","Electrical loopback does not measure Woojer mechanical onset or subjective tactile perception","Roussel2025;Bridges2020;Peirce2019;Ellis2024","all native-runner profiles"
"Instant analysis: response layer","Hits, misses, catch correct no-responses, false alarms, top-up markers","Reaction-time PPS studies and response-probability critique","Response integrity is shown before model interpretation because hit/catch rates constrain RT inference","The response panel is operator feedback, not a participant-level scientific conclusion","Holmes2020;Canzoneri2012","all analyzed runs"
"Instant analysis: baseline-corrected curves","condition_mean_pooled_soa baseline correction when baseline rows exist; fall back to raw mean RT","Tactile-only and fixed-distance baseline correction designs","Makes baseline subtraction explicit and stores baseline_n and source SOAs","Pooling baseline SOAs is a pragmatic default and may not match every original paper's correction","Hobeika2019;Teraoka2024;Holmes2020","all analyzed runs with baselines"
"Instant analysis: model family selection","Sigmoid, logarithmic-decay, and linear fits with AICc/Delta AICc triage","Canzoneri sigmoid boundary, Hobeika logarithmic/linear distance argument, Holmes critique","Multiple model families prevent a single PPS boundary metaphor from being hard-coded into the software","Instant analysis is exploratory; confirmatory models require preregistration and adequate cell counts","Canzoneri2012;Hobeika2019;Holmes2020","all analyzed runs"
"Public data export: 1.Data_min and 2.Data_max","Minimal 17-column public CSV plus reconstructive private/session mirror","Open-science data minimization and reproducibility practice","Provides a publication-ready table while retaining private reconstruction artifacts outside the public package","Labs must review ethics/consent before public sharing; local names and raw outputs stay excluded","Ellis2024;Otto2023","all completed native or phone-owned runs"
