profile_id,publication_status,verification_status,runner_readiness,toolkit_status,represented_controls,missing_or_approximated_controls,private_or_unavailable_assets,recreation_claim_allowed,required_before_exact_recreation,source_artifacts,manuscript_caveat
canzoneri_2013_amputation_prosthesis,published,partial,blocked_missing_parameters,blocked source-parameter scaffold,"Profile identity and citation; partial clinical/prosthesis PPS scaffold","Exact trial count and tactile calibration table from full paper missing","Original apparatus and calibration details not available in current profile","Not recreation-ready; scaffold only","Recover full method table/supplement, encode trial counts and tactile calibration, rerun profile gate and materialization validation","assets/preloads/profile_recreation_status.json; assets/preloads/canzoneri_2013_amputation_prosthesis/01_profile/profile_parameters_manifest.json","Do not call run-ready until missing method parameters are encoded."
canzoneri_2013_tool_use_reshaping,published,partial,blocked_missing_parameters,blocked source-parameter scaffold,"Profile identity and citation; partial tool-use PPS scaffold","Exact trial count and ITI table from full paper missing","Original apparatus/procedure details not available in current profile","Not recreation-ready; scaffold only","Recover full method/supplement ITI and trial table, encode profile, rerun profile gate and materialization validation","assets/preloads/profile_recreation_status.json; assets/preloads/canzoneri_2013_tool_use_reshaping/01_profile/profile_parameters_manifest.json","Do not call run-ready until missing method parameters are encoded."
canzoneri_2012_dynamic_sounds,published,partial,ready,partial but materializable published scaffold,"Profile reference; dynamic looming/receding source families; direction-coupled T0/T6 tactile-only baseline rows; SOA values; auditory-only catch rows; two-block 188-trial formula split across blocks; runner handoff","Exact author SoundForge gain/envelope files, voice-key response hardware, and electrical tactile threshold calibration remain provenance caveats","Original gain/envelope files and apparatus-specific response/tactile calibration are not redistributed","Runnable scaffold for the canonical dynamic-sounds PPS timing profile","Archive profile manifests, source-substitution/gain notes, response and tactile-calibration notes, route validation, and any rights-cleared original assets before exact replication language","assets/preloads/profile_recreation_status.json; assets/preloads/canzoneri_2012_dynamic_sounds/01_profile/profile_parameters_manifest.json; validation_evidence.csv","Run-ready for encoded timing/profile fields; exact SoundForge, voice-key, and electrical-calibration equivalence remains unclaimed."
tonelli_2019_echolocation,published,partial,ready,partial but materializable published scaffold,"Profile reference; seven-distance lateral moving-source trajectory; SOA/distance timing; 84 audio-tactile rows; 28 tactile-only baseline rows; 28 auditory-only catch rows; runner handoff","Original seven-speaker switching/gain transfer, white-noise asset, response timeout, and experimenter-started ITI remain provenance caveats","Original speaker-array apparatus and exact white-noise source are not redistributed","Runnable scaffold for the encoded echolocation PPS timing profile","Archive profile manifests, source/apparatus notes, route validation, and any speaker-array equivalence evidence before exact replication language","assets/preloads/profile_recreation_status.json; assets/preloads/tonelli_2019_echolocation/01_profile/profile_parameters_manifest.json; validation_evidence.csv","Run-ready as a virtual moving-source recreation; do not claim exact speaker-array hardware equivalence."
ferri_2015_artificial_looming_valence,published,partial,blocked_missing_parameters,blocked rights/source-parameter scaffold,"Profile identity and citation; artificial valence sound scaffold; current generated placeholder direction/source structure","Exact auditory files and paper-specific gain envelope missing","Original auditory files may be copyrighted or unavailable","Not recreation-ready with original stimuli; scaffold/substitution only","Clear rights, recover exact files/envelopes or validate substitute sounds, rerun profile gate","assets/preloads/profile_recreation_status.json; assets/preloads/ferri_2015_artificial_looming_valence/01_profile/profile_parameters_manifest.json","Describe as affective-sound scaffold unless exact files and envelopes are rights-cleared."
ferri_2015_ecological_looming_valence,published,partial,blocked_missing_parameters,blocked rights/source-parameter scaffold,"Profile identity and citation; ecological valence sound scaffold; current generated placeholder direction/source structure","Licensed ecological sounds and exact amplitude envelopes missing","Licensed ecological source sounds are not redistributed","Not recreation-ready with original stimuli; scaffold/substitution only","Clear rights, recover exact files/envelopes or validate substitute sounds, rerun profile gate","assets/preloads/profile_recreation_status.json; assets/preloads/ferri_2015_ecological_looming_valence/01_profile/profile_parameters_manifest.json","Describe as ecological/affective scaffold unless exact files and envelopes are rights-cleared."
galli_2015_wheelchair_full_body,published,partial,ready,partial but materializable published scaffold,"Profile reference; wheelchair/full-body PPS context; front/back virtual moving-source trajectories; 144 audio-tactile rows; 48 tactile-only baseline rows; 24 auditory-only catch rows; runner handoff","Wheelchair context is non-blocking; exact Gaussian speaker-array gain/SPL field and original broadband source remain provenance caveats","Original speaker array, amplitude-control apparatus, and exact source asset are not redistributed","Runnable scaffold for the encoded wheelchair full-body PPS timing profile","Archive profile manifests, source/apparatus notes, route validation, and any Gaussian speaker-field equivalence evidence before exact replication language","assets/preloads/profile_recreation_status.json; assets/preloads/galli_2015_wheelchair_full_body/01_profile/profile_parameters_manifest.json; validation_evidence.csv","Run-ready as a virtual trajectory recreation; do not claim exact wheelchair speaker-array hardware equivalence."
lerner_2021_3d_audio_tactile_boundary,published,partial,ready,partial but materializable published scaffold,"Profile reference; twelve 3D source directions; dynamic moving pink-noise and flat stationary pink-noise source families; six arm-length-scaled tactile timepoints represented using a declared 70 cm reference arm length; 144 preview trial rows; runner handoff","Exact Unity/3D Tune-In renderer behavior, per-subject head-circumference/ITD customization, and live participant arm-length scaling remain provenance caveats","Original Unity scene and 3D Tune-In runtime configuration are not redistributed","Runnable scaffold for the encoded 3D audio-tactile PPS boundary timing/profile fields","Archive profile manifests, renderer notes, reference-arm policy, route validation, and any Unity/3D Tune-In equivalence evidence before exact replication language","assets/preloads/profile_recreation_status.json; assets/preloads/lerner_2021_3d_audio_tactile_boundary/01_profile/profile_parameters_manifest.json; validation_evidence.csv","Run-ready for encoded 3D source/tactile parameters; exact Unity renderer and participant-specific body/head scaling remain unclaimed."
noel_2015_walking_full_body_action,published,partial,blocked_missing_parameters,blocked source-parameter scaffold,"Profile identity and citation; walking full-body action PPS scaffold","Exact sound distances and trial counts missing","Original locomotion/apparatus details not redistributed","Not recreation-ready; scaffold only","Recover exact distances/trial counts, encode walking context/apparatus notes, rerun profile gate","assets/preloads/profile_recreation_status.json; assets/preloads/noel_2015_walking_full_body_action/01_profile/profile_parameters_manifest.json","Do not claim walking-action exact recreation until distances and counts are encoded."
serino_2015_front_back_trunk_exp2,published,partial,ready,partial but materializable published scaffold,"Profile reference; front/back trunk virtual trajectories; 13 multisensory distance samples by two directions; 36 tactile-only baseline rows; 24 auditory-only catch rows; 372-trial formula; runner handoff","Exact Gaussian speaker-array synthesis, SPL/intensity transfer, original source-file equivalence, and the article's 14-delay/13-distance wording mismatch remain provenance caveats","Original multi-speaker apparatus and exact stimulus files are not redistributed","Runnable scaffold for the encoded front/back trunk PPS timing profile","Archive profile manifests, source/apparatus notes, route validation, and any speaker-field equivalence evidence before exact replication language","assets/preloads/profile_recreation_status.json; assets/preloads/serino_2015_front_back_trunk_exp2/01_profile/profile_parameters_manifest.json; validation_evidence.csv","Run-ready as a virtual front/back trajectory recreation; do not claim exact speaker-array hardware equivalence."
serino_2015_peri_hand_exp3,published,partial,ready,partial but materializable published scaffold,"Profile reference; peri-hand D1-D5 looming/receding trajectory scaffold; hand tactile site; 160 audio-tactile rows; 32 tactile-only baseline rows; 16 auditory-only catch rows; runner handoff","Hand anchoring and lateral side are represented through profile trajectory/site metadata rather than a first-class live hand-coordinate control; exact original WAV/envelope files remain provenance caveats","Original coordinate-frame apparatus details and exact stimulus files are not redistributed","Runnable scaffold for the encoded peri-hand PPS timing profile","Archive profile manifests, hand-coordinate notes, route validation, and any original stimulus/coordinate equivalence evidence before exact replication language","assets/preloads/profile_recreation_status.json; assets/preloads/serino_2015_peri_hand_exp3/01_profile/profile_parameters_manifest.json; validation_evidence.csv","Run-ready for encoded timing/profile fields; exact hand-coordinate apparatus equivalence remains unclaimed."
serino_2015_toolless_sync_training,published,partial,blocked_missing_parameters,blocked calibration/response scaffold,"Profile identity and citation; toolless/synchronous training scaffold","Electrocutaneous tactile calibration and voice-key response capture missing","Original calibration/response apparatus not redistributed","Not recreation-ready; scaffold only","Encode electrocutaneous calibration and response-capture details or validated substitutes; rerun profile gate","assets/preloads/profile_recreation_status.json; assets/preloads/serino_2015_toolless_sync_training/01_profile/profile_parameters_manifest.json","Do not claim exact training-procedure recreation until calibration/response gaps are closed."
taffou_2014_cynophobic_rear_looming,published,partial,blocked_missing_parameters,blocked source/HRTF provenance scaffold,"Profile identity and citation; rear dog/sheep looming scaffold; rear-left and rear-right source assets; 3 s 520-to-20 cm trajectory; Tbefore/T1-T5/Tafter tactile timing; 224 target trials; 32 catches; eight 32-trial blocks","Exact dog/sheep source audio; Audacity amplitude/dynamic matching settings; LISTEN HRTF subject/filter identifier and renderer settings","Original dog/sheep sounds and exact LISTEN HRTF/rendering resources are not redistributed","Not recreation-ready with original stimuli; direction-expanded scaffold only","Clear sound/HRTF rights or recover original-equivalent source/rendering provenance; rerun profile gate","assets/preloads/profile_recreation_status.json; assets/preloads/taffou_2014_cynophobic_rear_looming/01_profile/profile_parameters_manifest.json","Use as a rear/threat scaffold with source-direction timing represented; exact recreation requires original sounds and LISTEN HRTF/rendering provenance."
teneggi_2013_social_face_pps,published,partial,blocked_missing_parameters,blocked source-parameter scaffold,"Profile identity and citation; social face PPS scaffold","Exact distance/timing table from supplement missing","Original social-context apparatus/materials not redistributed","Not recreation-ready; scaffold only","Recover supplement distance/timing table, encode context/apparatus notes, rerun profile gate","assets/preloads/profile_recreation_status.json; assets/preloads/teneggi_2013_social_face_pps/01_profile/profile_parameters_manifest.json","Do not claim exact social-face recreation until timing/distance table is encoded."
