current_toolkit_input_path,parameter_group,type_annotation,value_shape,unit,mapped_target_parameter_paths,mapped_target_count,target_binding_states,current_audit_parent_fields,current_input_contract_pointer,profile_encoding_matrix_pointer
design.noises[].gain,generated_audio_sources,float,scalar,,target.sources.source_gain_linear,1,typed_current_input,gain_envelope,current_toolkit_input_dictionary.csv::design.noises[].gain,study_instance_current_toolkit_input_matrix.csv::design.noises[].gain
design.noises[].source_profile,generated_audio_sources,str,scalar,,target.sources.source_profile,1,typed_current_input,source_provenance,current_toolkit_input_dictionary.csv::design.noises[].source_profile,study_instance_current_toolkit_input_matrix.csv::design.noises[].source_profile
design.noises[].source_profile_parameters,generated_audio_sources,"dict[str, Any]",object,,target.sources.burst_count_mode | target.sources.burst_count | target.sources.burst_duration_ms | target.sources.burst_rise_fall_ms | target.sources.burst_period_ms | target.sources.burst_onset_ms | target.sources.burst_active_window_ms | target.sources.burst_spacing_policy,8,untyped_object_container_only,stimulus_duration,current_toolkit_input_dictionary.csv::design.noises[].source_profile_parameters,study_instance_current_toolkit_input_matrix.csv::design.noises[].source_profile_parameters
design.noises[].prebaked_path,generated_audio_sources,str,scalar,,,0,,,current_toolkit_input_dictionary.csv::design.noises[].prebaked_path,study_instance_current_toolkit_input_matrix.csv::design.noises[].prebaked_path
design.noises[].sequence_order,generated_audio_sources,int,scalar,,,0,,,current_toolkit_input_dictionary.csv::design.noises[].sequence_order,study_instance_current_toolkit_input_matrix.csv::design.noises[].sequence_order
design.noises[].motion_mode,generated_audio_sources,str,scalar,,target.sources.source_motion_mode,1,typed_current_input,auditory_conditions,current_toolkit_input_dictionary.csv::design.noises[].motion_mode,study_instance_current_toolkit_input_matrix.csv::design.noises[].motion_mode
design.noises[].trajectory_snapshot,generated_audio_sources,"dict[str, Any]",object,,target.trajectories.trajectory_count | target.trajectories.trajectory_family | target.trajectories.trajectory_direction | target.trajectories.coordinate_mode | target.trajectories.coordinate_frame | target.trajectories.start_distance_cm | target.trajectories.end_distance_cm | target.trajectories.start_xyz_m | target.trajectories.end_xyz_m | target.trajectories.path_length_m | target.trajectories.speed_mps | target.trajectories.azimuth_start_deg | target.trajectories.azimuth_end_deg | target.trajectories.elevation_start_deg | target.trajectories.elevation_end_deg | target.trajectories.pre_hold_ms | target.trajectories.post_hold_ms | target.trajectories.inverse_square_enabled | target.trajectories.attenuation_gain_law | target.trajectories.body_anchor | target.trajectories.body_part | target.trajectories.body_side | target.trajectories.spatial_hemifield | target.trajectories.body_relative_axis | target.trajectories.participant_posture | target.trajectories.head_trunk_facing | target.trajectories.gaze_fixation_eyes_policy | target.trajectories.source_room_positions | target.trajectories.movement_implementation,29,derived_not_input | untyped_object_container_only | partial_or_proxy_current_input,trajectory_count | trajectory_path | stimulus_speed | stimulus_duration | gain_envelope,current_toolkit_input_dictionary.csv::design.noises[].trajectory_snapshot,study_instance_current_toolkit_input_matrix.csv::design.noises[].trajectory_snapshot
design.custom_looming_files[].label,custom_looming_audio_sources,str,scalar,,target.sources.source_count | target.sources.source_labels | target.sources.auditory_condition_labels | target.trajectories.trajectory_labels,4,derived_not_input | composite_over_typed_current_inputs | partial_or_proxy_current_input,trajectory_count | auditory_conditions | trajectory_path,current_toolkit_input_dictionary.csv::design.custom_looming_files[].label,study_instance_current_toolkit_input_matrix.csv::design.custom_looming_files[].label
design.custom_looming_files[].path,custom_looming_audio_sources,str,scalar,,,0,,,current_toolkit_input_dictionary.csv::design.custom_looming_files[].path,study_instance_current_toolkit_input_matrix.csv::design.custom_looming_files[].path
design.custom_looming_files[].target_duration_s,custom_looming_audio_sources,float,scalar,s,target.sources.source_duration_ms,1,partial_or_proxy_current_input,stimulus_duration,current_toolkit_input_dictionary.csv::design.custom_looming_files[].target_duration_s,study_instance_current_toolkit_input_matrix.csv::design.custom_looming_files[].target_duration_s
design.custom_looming_files[].render_mode,custom_looming_audio_sources,str,scalar,,target.sources.source_kind | target.sources.import_render_mode,2,partial_or_proxy_current_input | typed_current_input,source_provenance,current_toolkit_input_dictionary.csv::design.custom_looming_files[].render_mode,study_instance_current_toolkit_input_matrix.csv::design.custom_looming_files[].render_mode
design.custom_looming_files[].tone_type,custom_looming_audio_sources,str,scalar,,target.sources.auditory_stimulus_type | target.sources.tone_type,2,partial_or_proxy_current_input | typed_current_input,stimulus_type,current_toolkit_input_dictionary.csv::design.custom_looming_files[].tone_type,study_instance_current_toolkit_input_matrix.csv::design.custom_looming_files[].tone_type
design.custom_looming_files[].gain,custom_looming_audio_sources,float,scalar,,target.sources.source_gain_linear,1,typed_current_input,gain_envelope,current_toolkit_input_dictionary.csv::design.custom_looming_files[].gain,study_instance_current_toolkit_input_matrix.csv::design.custom_looming_files[].gain
design.custom_looming_files[].placement,custom_looming_audio_sources,str,scalar,,,0,,,current_toolkit_input_dictionary.csv::design.custom_looming_files[].placement,study_instance_current_toolkit_input_matrix.csv::design.custom_looming_files[].placement
design.custom_looming_files[].target_source_label,custom_looming_audio_sources,str,scalar,,,0,,,current_toolkit_input_dictionary.csv::design.custom_looming_files[].target_source_label,study_instance_current_toolkit_input_matrix.csv::design.custom_looming_files[].target_source_label
design.custom_looming_files[].phase,custom_looming_audio_sources,str,scalar,,,0,,,current_toolkit_input_dictionary.csv::design.custom_looming_files[].phase,study_instance_current_toolkit_input_matrix.csv::design.custom_looming_files[].phase
design.custom_looming_files[].gap_s,custom_looming_audio_sources,float,scalar,s,,0,,,current_toolkit_input_dictionary.csv::design.custom_looming_files[].gap_s,study_instance_current_toolkit_input_matrix.csv::design.custom_looming_files[].gap_s
design.custom_looming_files[].sequence_order,custom_looming_audio_sources,int,scalar,,,0,,,current_toolkit_input_dictionary.csv::design.custom_looming_files[].sequence_order,study_instance_current_toolkit_input_matrix.csv::design.custom_looming_files[].sequence_order
design.custom_looming_files[].motion_mode,custom_looming_audio_sources,str,scalar,,target.sources.source_motion_mode,1,typed_current_input,auditory_conditions,current_toolkit_input_dictionary.csv::design.custom_looming_files[].motion_mode,study_instance_current_toolkit_input_matrix.csv::design.custom_looming_files[].motion_mode
design.custom_looming_files[].trajectory_snapshot,custom_looming_audio_sources,"dict[str, Any]",object,,target.trajectories.trajectory_count | target.trajectories.trajectory_family | target.trajectories.trajectory_direction | target.trajectories.coordinate_mode | target.trajectories.coordinate_frame | target.trajectories.start_distance_cm | target.trajectories.end_distance_cm | target.trajectories.start_xyz_m | target.trajectories.end_xyz_m | target.trajectories.path_length_m | target.trajectories.speed_mps | target.trajectories.azimuth_start_deg | target.trajectories.azimuth_end_deg | target.trajectories.elevation_start_deg | target.trajectories.elevation_end_deg | target.trajectories.pre_hold_ms | target.trajectories.post_hold_ms | target.trajectories.inverse_square_enabled | target.trajectories.attenuation_gain_law | target.trajectories.body_anchor | target.trajectories.body_part | target.trajectories.body_side | target.trajectories.spatial_hemifield | target.trajectories.body_relative_axis | target.trajectories.participant_posture | target.trajectories.head_trunk_facing | target.trajectories.gaze_fixation_eyes_policy | target.trajectories.source_room_positions | target.trajectories.movement_implementation,29,derived_not_input | untyped_object_container_only | partial_or_proxy_current_input,trajectory_count | trajectory_path | stimulus_speed | stimulus_duration | gain_envelope,current_toolkit_input_dictionary.csv::design.custom_looming_files[].trajectory_snapshot,study_instance_current_toolkit_input_matrix.csv::design.custom_looming_files[].trajectory_snapshot
design.custom_looming_files[].display_color_hex,custom_looming_audio_sources,str,scalar,,,0,,,current_toolkit_input_dictionary.csv::design.custom_looming_files[].display_color_hex,study_instance_current_toolkit_input_matrix.csv::design.custom_looming_files[].display_color_hex
design.custom_looming_files[].source_input_path,custom_looming_audio_sources,str,scalar,,,0,,,current_toolkit_input_dictionary.csv::design.custom_looming_files[].source_input_path,study_instance_current_toolkit_input_matrix.csv::design.custom_looming_files[].source_input_path
design.prestimulus_files[].label,prestimulus_audio_sources,str,scalar,,target.sources.source_count | target.sources.source_labels | target.sources.auditory_condition_labels | target.trajectories.trajectory_labels,4,derived_not_input | composite_over_typed_current_inputs | partial_or_proxy_current_input,trajectory_count | auditory_conditions | trajectory_path,current_toolkit_input_dictionary.csv::design.prestimulus_files[].label,study_instance_current_toolkit_input_matrix.csv::design.prestimulus_files[].label
design.prestimulus_files[].path,prestimulus_audio_sources,str,scalar,,,0,,,current_toolkit_input_dictionary.csv::design.prestimulus_files[].path,study_instance_current_toolkit_input_matrix.csv::design.prestimulus_files[].path
design.prestimulus_files[].target_duration_s,prestimulus_audio_sources,float,scalar,s,target.sources.source_duration_ms,1,partial_or_proxy_current_input,stimulus_duration,current_toolkit_input_dictionary.csv::design.prestimulus_files[].target_duration_s,study_instance_current_toolkit_input_matrix.csv::design.prestimulus_files[].target_duration_s
design.prestimulus_files[].render_mode,prestimulus_audio_sources,str,scalar,,target.sources.source_kind | target.sources.import_render_mode,2,partial_or_proxy_current_input | typed_current_input,source_provenance,current_toolkit_input_dictionary.csv::design.prestimulus_files[].render_mode,study_instance_current_toolkit_input_matrix.csv::design.prestimulus_files[].render_mode
design.prestimulus_files[].tone_type,prestimulus_audio_sources,str,scalar,,target.sources.auditory_stimulus_type | target.sources.tone_type,2,partial_or_proxy_current_input | typed_current_input,stimulus_type,current_toolkit_input_dictionary.csv::design.prestimulus_files[].tone_type,study_instance_current_toolkit_input_matrix.csv::design.prestimulus_files[].tone_type
design.prestimulus_files[].gain,prestimulus_audio_sources,float,scalar,,target.sources.source_gain_linear,1,typed_current_input,gain_envelope,current_toolkit_input_dictionary.csv::design.prestimulus_files[].gain,study_instance_current_toolkit_input_matrix.csv::design.prestimulus_files[].gain
design.prestimulus_files[].placement,prestimulus_audio_sources,str,scalar,,,0,,,current_toolkit_input_dictionary.csv::design.prestimulus_files[].placement,study_instance_current_toolkit_input_matrix.csv::design.prestimulus_files[].placement
design.prestimulus_files[].target_source_label,prestimulus_audio_sources,str,scalar,,,0,,,current_toolkit_input_dictionary.csv::design.prestimulus_files[].target_source_label,study_instance_current_toolkit_input_matrix.csv::design.prestimulus_files[].target_source_label
design.prestimulus_files[].phase,prestimulus_audio_sources,str,scalar,,,0,,,current_toolkit_input_dictionary.csv::design.prestimulus_files[].phase,study_instance_current_toolkit_input_matrix.csv::design.prestimulus_files[].phase
design.prestimulus_files[].gap_s,prestimulus_audio_sources,float,scalar,s,,0,,,current_toolkit_input_dictionary.csv::design.prestimulus_files[].gap_s,study_instance_current_toolkit_input_matrix.csv::design.prestimulus_files[].gap_s
design.prestimulus_files[].sequence_order,prestimulus_audio_sources,int,scalar,,,0,,,current_toolkit_input_dictionary.csv::design.prestimulus_files[].sequence_order,study_instance_current_toolkit_input_matrix.csv::design.prestimulus_files[].sequence_order
design.prestimulus_files[].motion_mode,prestimulus_audio_sources,str,scalar,,target.sources.source_motion_mode,1,typed_current_input,auditory_conditions,current_toolkit_input_dictionary.csv::design.prestimulus_files[].motion_mode,study_instance_current_toolkit_input_matrix.csv::design.prestimulus_files[].motion_mode
design.prestimulus_files[].trajectory_snapshot,prestimulus_audio_sources,"dict[str, Any]",object,,target.trajectories.trajectory_count | target.trajectories.trajectory_family | target.trajectories.trajectory_direction | target.trajectories.coordinate_mode | target.trajectories.coordinate_frame | target.trajectories.start_distance_cm | target.trajectories.end_distance_cm | target.trajectories.start_xyz_m | target.trajectories.end_xyz_m | target.trajectories.path_length_m | target.trajectories.speed_mps | target.trajectories.azimuth_start_deg | target.trajectories.azimuth_end_deg | target.trajectories.elevation_start_deg | target.trajectories.elevation_end_deg | target.trajectories.pre_hold_ms | target.trajectories.post_hold_ms | target.trajectories.inverse_square_enabled | target.trajectories.attenuation_gain_law | target.trajectories.body_anchor | target.trajectories.body_part | target.trajectories.body_side | target.trajectories.spatial_hemifield | target.trajectories.body_relative_axis | target.trajectories.participant_posture | target.trajectories.head_trunk_facing | target.trajectories.gaze_fixation_eyes_policy | target.trajectories.source_room_positions | target.trajectories.movement_implementation,29,derived_not_input | untyped_object_container_only | partial_or_proxy_current_input,trajectory_count | trajectory_path | stimulus_speed | stimulus_duration | gain_envelope,current_toolkit_input_dictionary.csv::design.prestimulus_files[].trajectory_snapshot,study_instance_current_toolkit_input_matrix.csv::design.prestimulus_files[].trajectory_snapshot
design.prestimulus_files[].display_color_hex,prestimulus_audio_sources,str,scalar,,,0,,,current_toolkit_input_dictionary.csv::design.prestimulus_files[].display_color_hex,study_instance_current_toolkit_input_matrix.csv::design.prestimulus_files[].display_color_hex
design.prestimulus_files[].source_input_path,prestimulus_audio_sources,str,scalar,,,0,,,current_toolkit_input_dictionary.csv::design.prestimulus_files[].source_input_path,study_instance_current_toolkit_input_matrix.csv::design.prestimulus_files[].source_input_path
design.trajectory.start_radius_m,trajectory,float,scalar,m,target.trajectories.start_distance_cm,1,partial_or_proxy_current_input,trajectory_path,current_toolkit_input_dictionary.csv::design.trajectory.start_radius_m,study_instance_current_toolkit_input_matrix.csv::design.trajectory.start_radius_m
design.trajectory.end_radius_m,trajectory,float,scalar,m,target.trajectories.end_distance_cm,1,partial_or_proxy_current_input,trajectory_path,current_toolkit_input_dictionary.csv::design.trajectory.end_radius_m,study_instance_current_toolkit_input_matrix.csv::design.trajectory.end_radius_m
design.trajectory.path_direction,trajectory,str,scalar,,target.trajectories.trajectory_direction,1,partial_or_proxy_current_input,trajectory_path,current_toolkit_input_dictionary.csv::design.trajectory.path_direction,study_instance_current_toolkit_input_matrix.csv::design.trajectory.path_direction
design.trajectory.coordinate_mode,trajectory,str,scalar,,target.trajectories.coordinate_mode,1,partial_or_proxy_current_input,trajectory_path,current_toolkit_input_dictionary.csv::design.trajectory.coordinate_mode,study_instance_current_toolkit_input_matrix.csv::design.trajectory.coordinate_mode
design.trajectory.start_x_m,trajectory,float | None,scalar,m,target.trajectories.start_xyz_m,1,partial_or_proxy_current_input,trajectory_path,current_toolkit_input_dictionary.csv::design.trajectory.start_x_m,study_instance_current_toolkit_input_matrix.csv::design.trajectory.start_x_m
design.trajectory.start_y_m,trajectory,float | None,scalar,m,target.trajectories.start_xyz_m,1,partial_or_proxy_current_input,trajectory_path,current_toolkit_input_dictionary.csv::design.trajectory.start_y_m,study_instance_current_toolkit_input_matrix.csv::design.trajectory.start_y_m
design.trajectory.start_z_m,trajectory,float | None,scalar,m,target.trajectories.start_xyz_m,1,partial_or_proxy_current_input,trajectory_path,current_toolkit_input_dictionary.csv::design.trajectory.start_z_m,study_instance_current_toolkit_input_matrix.csv::design.trajectory.start_z_m
design.trajectory.end_x_m,trajectory,float | None,scalar,m,target.trajectories.end_xyz_m,1,partial_or_proxy_current_input,trajectory_path,current_toolkit_input_dictionary.csv::design.trajectory.end_x_m,study_instance_current_toolkit_input_matrix.csv::design.trajectory.end_x_m
design.trajectory.end_y_m,trajectory,float | None,scalar,m,target.trajectories.end_xyz_m,1,partial_or_proxy_current_input,trajectory_path,current_toolkit_input_dictionary.csv::design.trajectory.end_y_m,study_instance_current_toolkit_input_matrix.csv::design.trajectory.end_y_m
design.trajectory.end_z_m,trajectory,float | None,scalar,m,target.trajectories.end_xyz_m,1,partial_or_proxy_current_input,trajectory_path,current_toolkit_input_dictionary.csv::design.trajectory.end_z_m,study_instance_current_toolkit_input_matrix.csv::design.trajectory.end_z_m
design.trajectory.path_length_m,trajectory,float,scalar,m,target.trajectories.path_length_m | target.trajectories.movement_duration_ms,2,partial_or_proxy_current_input | derived_not_input,trajectory_path | stimulus_duration,current_toolkit_input_dictionary.csv::design.trajectory.path_length_m,study_instance_current_toolkit_input_matrix.csv::design.trajectory.path_length_m
design.trajectory.propagation_speed_mps,trajectory,float,scalar,m/s,target.trajectories.speed_mps | target.trajectories.movement_duration_ms,2,partial_or_proxy_current_input | derived_not_input,stimulus_speed | stimulus_duration,current_toolkit_input_dictionary.csv::design.trajectory.propagation_speed_mps,study_instance_current_toolkit_input_matrix.csv::design.trajectory.propagation_speed_mps
design.trajectory.azimuth_start_deg,trajectory,float,scalar,degrees,target.trajectories.azimuth_start_deg,1,partial_or_proxy_current_input,trajectory_path,current_toolkit_input_dictionary.csv::design.trajectory.azimuth_start_deg,study_instance_current_toolkit_input_matrix.csv::design.trajectory.azimuth_start_deg
design.trajectory.azimuth_end_deg,trajectory,float,scalar,degrees,target.trajectories.azimuth_end_deg,1,partial_or_proxy_current_input,trajectory_path,current_toolkit_input_dictionary.csv::design.trajectory.azimuth_end_deg,study_instance_current_toolkit_input_matrix.csv::design.trajectory.azimuth_end_deg
design.trajectory.elevation_deg,trajectory,float,scalar,degrees,target.trajectories.elevation_start_deg | target.trajectories.elevation_end_deg,2,partial_or_proxy_current_input,trajectory_path,current_toolkit_input_dictionary.csv::design.trajectory.elevation_deg,study_instance_current_toolkit_input_matrix.csv::design.trajectory.elevation_deg
design.trajectory.padding_pre_s,trajectory,float,scalar,s,target.trajectories.pre_hold_ms,1,partial_or_proxy_current_input,stimulus_duration,current_toolkit_input_dictionary.csv::design.trajectory.padding_pre_s,study_instance_current_toolkit_input_matrix.csv::design.trajectory.padding_pre_s
design.trajectory.padding_post_s,trajectory,float,scalar,s,target.trajectories.post_hold_ms,1,partial_or_proxy_current_input,stimulus_duration,current_toolkit_input_dictionary.csv::design.trajectory.padding_post_s,study_instance_current_toolkit_input_matrix.csv::design.trajectory.padding_post_s
design.trajectory.sample_rate,trajectory,int,scalar,Hz,target.sources.source_sample_rate_hz,1,partial_or_proxy_current_input,source_provenance,current_toolkit_input_dictionary.csv::design.trajectory.sample_rate,study_instance_current_toolkit_input_matrix.csv::design.trajectory.sample_rate
design.trajectory.use_inverse_square,trajectory,bool,scalar,,target.trajectories.inverse_square_enabled | target.trajectories.attenuation_gain_law,2,partial_or_proxy_current_input,gain_envelope,current_toolkit_input_dictionary.csv::design.trajectory.use_inverse_square,study_instance_current_toolkit_input_matrix.csv::design.trajectory.use_inverse_square
design.protocol.repetitions_per_condition,protocol,int,scalar,,target.trial_pool.repetitions_per_condition | target.trial_pool.exact_family_counts | target.trial_pool.total_trial_count,3,typed_current_input | derived_not_input,repetitions_per_tactile_soa_condition | total_trial_count,current_toolkit_input_dictionary.csv::design.protocol.repetitions_per_condition,study_instance_current_toolkit_input_matrix.csv::design.protocol.repetitions_per_condition
design.protocol.trial_pool_repetition_defaults,protocol,"dict[str, float]",object,,target.trial_pool.repetition_defaults_by_family | target.trial_pool.exact_family_counts | target.trial_pool.total_trial_count,3,typed_current_input | derived_not_input,repetitions_per_tactile_soa_condition | total_trial_count,current_toolkit_input_dictionary.csv::design.protocol.trial_pool_repetition_defaults,study_instance_current_toolkit_input_matrix.csv::design.protocol.trial_pool_repetition_defaults
design.protocol.soa_values_ms,protocol,list[int],array,ms,target.trajectories.distance_or_soa_anchor_table | target.tactile_protocol.soa_values_ms,2,composite_over_typed_current_inputs | typed_current_input,trajectory_path | soa_table,current_toolkit_input_dictionary.csv::design.protocol.soa_values_ms,study_instance_current_toolkit_input_matrix.csv::design.protocol.soa_values_ms
design.protocol.spatial_values_cm,protocol,list[float],array,cm,target.trajectories.distance_or_soa_anchor_table | target.tactile_protocol.spatial_values_cm | target.tactile_protocol.distance_at_touch_values_cm,3,composite_over_typed_current_inputs | typed_current_input | partial_or_proxy_current_input,trajectory_path | soa_table,current_toolkit_input_dictionary.csv::design.protocol.spatial_values_cm,study_instance_current_toolkit_input_matrix.csv::design.protocol.spatial_values_cm
design.protocol.pair_spatial_values_with_soas,protocol,bool,scalar,,target.trajectories.distance_or_soa_anchor_table | target.tactile_protocol.pair_spatial_values_with_soas,2,composite_over_typed_current_inputs | typed_current_input,trajectory_path | soa_table,current_toolkit_input_dictionary.csv::design.protocol.pair_spatial_values_with_soas,study_instance_current_toolkit_input_matrix.csv::design.protocol.pair_spatial_values_with_soas
design.protocol.auditory_motion_directions,protocol,list[str],array,,,0,,,current_toolkit_input_dictionary.csv::design.protocol.auditory_motion_directions,study_instance_current_toolkit_input_matrix.csv::design.protocol.auditory_motion_directions
design.protocol.tactile_sites,protocol,list[str],array,,target.tactile_protocol.tactile_present | target.tactile_protocol.tactile_site,2,partial_or_proxy_current_input | typed_current_input,tactile_stimulus,current_toolkit_input_dictionary.csv::design.protocol.tactile_sites,study_instance_current_toolkit_input_matrix.csv::design.protocol.tactile_sites
design.protocol.include_catch_trials,protocol,bool,scalar,,target.tactile_protocol.catch_enabled | target.tactile_protocol.catch_type,2,typed_current_input | partial_or_proxy_current_input,catch_trial_type,current_toolkit_input_dictionary.csv::design.protocol.include_catch_trials,study_instance_current_toolkit_input_matrix.csv::design.protocol.include_catch_trials
design.protocol.catch_trial_percentage,protocol,float,scalar,percent,target.trial_pool.catch_percentage,1,typed_current_input,catch_count,current_toolkit_input_dictionary.csv::design.protocol.catch_trial_percentage,study_instance_current_toolkit_input_matrix.csv::design.protocol.catch_trial_percentage
design.protocol.catch_trials_exact,protocol,int | None,scalar,,target.trial_pool.catch_count_exact | target.trial_pool.total_trial_count,2,typed_current_input | derived_not_input,catch_count | total_trial_count,current_toolkit_input_dictionary.csv::design.protocol.catch_trials_exact,study_instance_current_toolkit_input_matrix.csv::design.protocol.catch_trials_exact
design.protocol.catch_crosses_sequence_variants,protocol,bool,scalar,,target.trial_pool.catch_crosses_sequence_variants,1,typed_current_input,catch_count,current_toolkit_input_dictionary.csv::design.protocol.catch_crosses_sequence_variants,study_instance_current_toolkit_input_matrix.csv::design.protocol.catch_crosses_sequence_variants
design.protocol.include_auditory_only_trials,protocol,bool,scalar,,target.tactile_protocol.auditory_only_enabled,1,typed_current_input,catch_trial_type,current_toolkit_input_dictionary.csv::design.protocol.include_auditory_only_trials,study_instance_current_toolkit_input_matrix.csv::design.protocol.include_auditory_only_trials
design.protocol.auditory_only_trial_percentage,protocol,float,scalar,percent,target.trial_pool.auditory_only_percentage,1,typed_current_input,catch_count,current_toolkit_input_dictionary.csv::design.protocol.auditory_only_trial_percentage,study_instance_current_toolkit_input_matrix.csv::design.protocol.auditory_only_trial_percentage
design.protocol.auditory_only_trials_exact,protocol,int | None,scalar,,target.trial_pool.auditory_only_count_exact | target.trial_pool.total_trial_count,2,typed_current_input | derived_not_input,catch_count | total_trial_count,current_toolkit_input_dictionary.csv::design.protocol.auditory_only_trials_exact,study_instance_current_toolkit_input_matrix.csv::design.protocol.auditory_only_trials_exact
design.protocol.auditory_only_crosses_sequence_variants,protocol,bool,scalar,,target.trial_pool.auditory_only_crosses_sequence_variants,1,typed_current_input,catch_count,current_toolkit_input_dictionary.csv::design.protocol.auditory_only_crosses_sequence_variants,study_instance_current_toolkit_input_matrix.csv::design.protocol.auditory_only_crosses_sequence_variants
design.protocol.include_baseline_trials,protocol,bool,scalar,,target.tactile_protocol.baseline_enabled,1,typed_current_input,baseline_strategy,current_toolkit_input_dictionary.csv::design.protocol.include_baseline_trials,study_instance_current_toolkit_input_matrix.csv::design.protocol.include_baseline_trials
design.protocol.baseline_strategy,protocol,str,scalar,,target.tactile_protocol.baseline_strategy,1,typed_current_input,baseline_strategy,current_toolkit_input_dictionary.csv::design.protocol.baseline_strategy,study_instance_current_toolkit_input_matrix.csv::design.protocol.baseline_strategy
