target_parameter_path,parameter_group,current_design_binding_state,current_serialized_paths,current_crosswalk_cardinality,current_binding_basis,crosswalk_scope
target.sources.stimulus_modality_set,Auditory and source definition,not_in_current_design_serializer,,0,no conservative binding to the current StimulusDesign parser/serializer was established,current StimulusDesign design_from_dict/design_to_dict contract only
target.sources.source_count,Auditory and source definition,derived_not_input,design.noises[].label | design.custom_looming_files[].label | design.prestimulus_files[].label,3,count of instantiated source entities; not a serialized scalar,current StimulusDesign design_from_dict/design_to_dict contract only
target.sources.source_labels,Auditory and source definition,composite_over_typed_current_inputs,design.noises[].label | design.custom_looming_files[].label | design.prestimulus_files[].label,3,labels are typed separately for each current source collection,current StimulusDesign design_from_dict/design_to_dict contract only
target.sources.source_kind,Auditory and source definition,partial_or_proxy_current_input,design.noises[].noise_type | design.custom_looming_files[].render_mode | design.prestimulus_files[].render_mode,3,source collection and subtype fields jointly encode kind,current StimulusDesign design_from_dict/design_to_dict contract only
target.sources.auditory_stimulus_type,Auditory and source definition,partial_or_proxy_current_input,design.noises[].noise_type | design.custom_looming_files[].tone_type | design.prestimulus_files[].tone_type,3,current typed subtypes cover only part of the target concept,current StimulusDesign design_from_dict/design_to_dict contract only
target.sources.auditory_condition_labels,Auditory and source definition,composite_over_typed_current_inputs,design.noises[].label | design.custom_looming_files[].label | design.prestimulus_files[].label,3,current source labels are the nearest typed condition identifiers,current StimulusDesign design_from_dict/design_to_dict contract only
target.sources.noise_type,Auditory and source definition,typed_current_input,design.noises[].noise_type,1,explicit semantic crosswalk,current StimulusDesign design_from_dict/design_to_dict contract only
target.sources.tone_type,Auditory and source definition,typed_current_input,design.custom_looming_files[].tone_type | design.prestimulus_files[].tone_type,2,explicit semantic crosswalk,current StimulusDesign design_from_dict/design_to_dict contract only
target.sources.tone_frequency_hz,Auditory and source definition,not_in_current_design_serializer,,0,no conservative binding to the current StimulusDesign parser/serializer was established,current StimulusDesign design_from_dict/design_to_dict contract only
target.sources.semantic_valence_class,Auditory and source definition,untyped_object_container_only,design.study_profile_reference_parameters,1,untyped study_profile_reference_parameters object; exact key consumption is not guaranteed,current StimulusDesign design_from_dict/design_to_dict contract only
target.sources.source_origin_generation_method,Auditory and source definition,untyped_object_container_only,design.study_profile_reference_parameters,1,untyped study_profile_reference_parameters object; exact key consumption is not guaranteed,current StimulusDesign design_from_dict/design_to_dict contract only
target.sources.generation_software_version,Auditory and source definition,untyped_object_container_only,design.study_profile_reference_parameters,1,untyped study_profile_reference_parameters object; exact key consumption is not guaranteed,current StimulusDesign design_from_dict/design_to_dict contract only
target.sources.source_profile,Auditory and source definition,typed_current_input,design.noises[].source_profile,1,explicit semantic crosswalk,current StimulusDesign design_from_dict/design_to_dict contract only
target.sources.burst_count_mode,Auditory and source definition,untyped_object_container_only,design.noises[].source_profile_parameters,1,untyped source_profile_parameters object,current StimulusDesign design_from_dict/design_to_dict contract only
target.sources.burst_count,Auditory and source definition,untyped_object_container_only,design.noises[].source_profile_parameters,1,untyped source_profile_parameters object,current StimulusDesign design_from_dict/design_to_dict contract only
target.sources.burst_duration_ms,Auditory and source definition,untyped_object_container_only,design.noises[].source_profile_parameters,1,untyped source_profile_parameters object,current StimulusDesign design_from_dict/design_to_dict contract only
target.sources.burst_rise_fall_ms,Auditory and source definition,untyped_object_container_only,design.noises[].source_profile_parameters,1,untyped source_profile_parameters object,current StimulusDesign design_from_dict/design_to_dict contract only
target.sources.burst_period_ms,Auditory and source definition,untyped_object_container_only,design.noises[].source_profile_parameters,1,untyped source_profile_parameters object,current StimulusDesign design_from_dict/design_to_dict contract only
target.sources.burst_onset_ms,Auditory and source definition,untyped_object_container_only,design.noises[].source_profile_parameters,1,untyped source_profile_parameters object,current StimulusDesign design_from_dict/design_to_dict contract only
target.sources.burst_active_window_ms,Auditory and source definition,untyped_object_container_only,design.noises[].source_profile_parameters,1,untyped source_profile_parameters object,current StimulusDesign design_from_dict/design_to_dict contract only
target.sources.burst_spacing_policy,Auditory and source definition,untyped_object_container_only,design.noises[].source_profile_parameters,1,untyped source_profile_parameters object,current StimulusDesign design_from_dict/design_to_dict contract only
target.sources.source_sample_rate_hz,Auditory and source definition,partial_or_proxy_current_input,design.trajectory.sample_rate,1,"current field is a global render sample rate, not per-source file metadata",current StimulusDesign design_from_dict/design_to_dict contract only
target.sources.source_bit_depth,Auditory and source definition,not_in_current_design_serializer,,0,no conservative binding to the current StimulusDesign parser/serializer was established,current StimulusDesign design_from_dict/design_to_dict contract only
target.sources.source_channels,Auditory and source definition,not_in_current_design_serializer,,0,no conservative binding to the current StimulusDesign parser/serializer was established,current StimulusDesign design_from_dict/design_to_dict contract only
target.sources.source_duration_ms,Auditory and source definition,partial_or_proxy_current_input,design.custom_looming_files[].target_duration_s | design.prestimulus_files[].target_duration_s,2,"seconds-to-milliseconds transform exists for imported files, but generated-noise duration has no per-source typed field",current StimulusDesign design_from_dict/design_to_dict contract only
target.sources.source_gain_linear,Auditory and source definition,typed_current_input,design.noises[].gain | design.custom_looming_files[].gain | design.prestimulus_files[].gain,3,explicit semantic crosswalk,current StimulusDesign design_from_dict/design_to_dict contract only
target.sources.import_render_mode,Auditory and source definition,typed_current_input,design.custom_looming_files[].render_mode | design.prestimulus_files[].render_mode,2,explicit semantic crosswalk,current StimulusDesign design_from_dict/design_to_dict contract only
target.sources.source_motion_mode,Auditory and source definition,typed_current_input,design.noises[].motion_mode | design.custom_looming_files[].motion_mode | design.prestimulus_files[].motion_mode,3,explicit semantic crosswalk,current StimulusDesign design_from_dict/design_to_dict contract only
target.sources.source_equivalence_policy,Auditory and source definition,not_in_current_design_serializer,,0,no conservative binding to the current StimulusDesign parser/serializer was established,current StimulusDesign design_from_dict/design_to_dict contract only
target.trajectories.trajectory_count,Trajectory and orientation,derived_not_input,design.noises[].trajectory_snapshot | design.custom_looming_files[].trajectory_snapshot | design.prestimulus_files[].trajectory_snapshot,3,count of source trajectory entities; no serialized trajectory-count scalar,current StimulusDesign design_from_dict/design_to_dict contract only
target.trajectories.trajectory_labels,Trajectory and orientation,partial_or_proxy_current_input,design.noises[].label | design.custom_looming_files[].label | design.prestimulus_files[].label,3,source labels identify current source-level trajectory snapshots,current StimulusDesign design_from_dict/design_to_dict contract only
target.trajectories.trajectory_family,Trajectory and orientation,untyped_object_container_only,design.noises[].trajectory_snapshot | design.custom_looming_files[].trajectory_snapshot | design.prestimulus_files[].trajectory_snapshot,3,untyped per-source trajectory_snapshot objects,current StimulusDesign design_from_dict/design_to_dict contract only
target.trajectories.trajectory_direction,Trajectory and orientation,partial_or_proxy_current_input,design.trajectory.path_direction | design.noises[].trajectory_snapshot | design.custom_looming_files[].trajectory_snapshot | design.prestimulus_files[].trajectory_snapshot,4,global typed default plus untyped per-source snapshots cannot provide a typed repeatable trajectory contract,current StimulusDesign design_from_dict/design_to_dict contract only
target.trajectories.coordinate_mode,Trajectory and orientation,partial_or_proxy_current_input,design.trajectory.coordinate_mode | design.noises[].trajectory_snapshot | design.custom_looming_files[].trajectory_snapshot | design.prestimulus_files[].trajectory_snapshot,4,global typed default plus untyped per-source snapshots cannot provide a typed repeatable trajectory contract,current StimulusDesign design_from_dict/design_to_dict contract only
target.trajectories.coordinate_frame,Trajectory and orientation,untyped_object_container_only,design.noises[].trajectory_snapshot | design.custom_looming_files[].trajectory_snapshot | design.prestimulus_files[].trajectory_snapshot,3,untyped per-source trajectory_snapshot objects,current StimulusDesign design_from_dict/design_to_dict contract only
target.trajectories.start_distance_cm,Trajectory and orientation,partial_or_proxy_current_input,design.trajectory.start_radius_m | design.noises[].trajectory_snapshot | design.custom_looming_files[].trajectory_snapshot | design.prestimulus_files[].trajectory_snapshot,4,centimetres-to-metres transform is typed only for the global trajectory; per-source values remain untyped,current StimulusDesign design_from_dict/design_to_dict contract only
target.trajectories.end_distance_cm,Trajectory and orientation,partial_or_proxy_current_input,design.trajectory.end_radius_m | design.noises[].trajectory_snapshot | design.custom_looming_files[].trajectory_snapshot | design.prestimulus_files[].trajectory_snapshot,4,centimetres-to-metres transform is typed only for the global trajectory; per-source values remain untyped,current StimulusDesign design_from_dict/design_to_dict contract only
target.trajectories.start_xyz_m,Trajectory and orientation,partial_or_proxy_current_input,design.trajectory.start_x_m | design.trajectory.start_y_m | design.trajectory.start_z_m | design.noises[].trajectory_snapshot | design.custom_looming_files[].trajectory_snapshot | design.prestimulus_files[].trajectory_snapshot,6,three global typed coordinates plus untyped per-source snapshots,current StimulusDesign design_from_dict/design_to_dict contract only
target.trajectories.end_xyz_m,Trajectory and orientation,partial_or_proxy_current_input,design.trajectory.end_x_m | design.trajectory.end_y_m | design.trajectory.end_z_m | design.noises[].trajectory_snapshot | design.custom_looming_files[].trajectory_snapshot | design.prestimulus_files[].trajectory_snapshot,6,three global typed coordinates plus untyped per-source snapshots,current StimulusDesign design_from_dict/design_to_dict contract only
target.trajectories.path_length_m,Trajectory and orientation,partial_or_proxy_current_input,design.trajectory.path_length_m | design.noises[].trajectory_snapshot | design.custom_looming_files[].trajectory_snapshot | design.prestimulus_files[].trajectory_snapshot,4,global typed value plus untyped per-source snapshots,current StimulusDesign design_from_dict/design_to_dict contract only
target.trajectories.speed_mps,Trajectory and orientation,partial_or_proxy_current_input,design.trajectory.propagation_speed_mps | design.noises[].trajectory_snapshot | design.custom_looming_files[].trajectory_snapshot | design.prestimulus_files[].trajectory_snapshot,4,global typed value plus untyped per-source snapshots,current StimulusDesign design_from_dict/design_to_dict contract only
target.trajectories.movement_duration_ms,Trajectory and orientation,derived_not_input,design.trajectory.path_length_m | design.trajectory.propagation_speed_mps,2,computed as path length divided by propagation speed,current StimulusDesign design_from_dict/design_to_dict contract only
target.trajectories.azimuth_start_deg,Trajectory and orientation,partial_or_proxy_current_input,design.trajectory.azimuth_start_deg | design.noises[].trajectory_snapshot | design.custom_looming_files[].trajectory_snapshot | design.prestimulus_files[].trajectory_snapshot,4,global typed value plus untyped per-source snapshots,current StimulusDesign design_from_dict/design_to_dict contract only
target.trajectories.azimuth_end_deg,Trajectory and orientation,partial_or_proxy_current_input,design.trajectory.azimuth_end_deg | design.noises[].trajectory_snapshot | design.custom_looming_files[].trajectory_snapshot | design.prestimulus_files[].trajectory_snapshot,4,global typed value plus untyped per-source snapshots,current StimulusDesign design_from_dict/design_to_dict contract only
target.trajectories.elevation_start_deg,Trajectory and orientation,partial_or_proxy_current_input,design.trajectory.elevation_deg | design.noises[].trajectory_snapshot | design.custom_looming_files[].trajectory_snapshot | design.prestimulus_files[].trajectory_snapshot,4,one global elevation scalar cannot encode distinct start/end or per-source elevations,current StimulusDesign design_from_dict/design_to_dict contract only
target.trajectories.elevation_end_deg,Trajectory and orientation,partial_or_proxy_current_input,design.trajectory.elevation_deg | design.noises[].trajectory_snapshot | design.custom_looming_files[].trajectory_snapshot | design.prestimulus_files[].trajectory_snapshot,4,one global elevation scalar cannot encode distinct start/end or per-source elevations,current StimulusDesign design_from_dict/design_to_dict contract only
target.trajectories.pre_hold_ms,Trajectory and orientation,partial_or_proxy_current_input,design.trajectory.padding_pre_s | design.noises[].trajectory_snapshot | design.custom_looming_files[].trajectory_snapshot | design.prestimulus_files[].trajectory_snapshot,4,seconds-to-milliseconds transform is typed only for the global trajectory,current StimulusDesign design_from_dict/design_to_dict contract only
target.trajectories.post_hold_ms,Trajectory and orientation,partial_or_proxy_current_input,design.trajectory.padding_post_s | design.noises[].trajectory_snapshot | design.custom_looming_files[].trajectory_snapshot | design.prestimulus_files[].trajectory_snapshot,4,seconds-to-milliseconds transform is typed only for the global trajectory,current StimulusDesign design_from_dict/design_to_dict contract only
target.trajectories.inverse_square_enabled,Trajectory and orientation,partial_or_proxy_current_input,design.trajectory.use_inverse_square | design.noises[].trajectory_snapshot | design.custom_looming_files[].trajectory_snapshot | design.prestimulus_files[].trajectory_snapshot,4,global typed switch plus untyped per-source snapshots,current StimulusDesign design_from_dict/design_to_dict contract only
target.trajectories.attenuation_gain_law,Trajectory and orientation,partial_or_proxy_current_input,design.trajectory.use_inverse_square | design.noises[].trajectory_snapshot | design.custom_looming_files[].trajectory_snapshot | design.prestimulus_files[].trajectory_snapshot,4,current global boolean selects only inverse-square on/off; per-source laws are untyped,current StimulusDesign design_from_dict/design_to_dict contract only
target.trajectories.propagation_delay_policy,Trajectory and orientation,not_in_current_design_serializer,,0,no conservative binding to the current StimulusDesign parser/serializer was established,current StimulusDesign design_from_dict/design_to_dict contract only
target.trajectories.body_anchor,Trajectory and orientation,untyped_object_container_only,design.noises[].trajectory_snapshot | design.custom_looming_files[].trajectory_snapshot | design.prestimulus_files[].trajectory_snapshot,3,untyped per-source trajectory_snapshot objects,current StimulusDesign design_from_dict/design_to_dict contract only
target.trajectories.body_part,Trajectory and orientation,untyped_object_container_only,design.noises[].trajectory_snapshot | design.custom_looming_files[].trajectory_snapshot | design.prestimulus_files[].trajectory_snapshot,3,untyped per-source trajectory_snapshot objects,current StimulusDesign design_from_dict/design_to_dict contract only
target.trajectories.body_side,Trajectory and orientation,untyped_object_container_only,design.noises[].trajectory_snapshot | design.custom_looming_files[].trajectory_snapshot | design.prestimulus_files[].trajectory_snapshot,3,untyped per-source trajectory_snapshot objects,current StimulusDesign design_from_dict/design_to_dict contract only
target.trajectories.spatial_hemifield,Trajectory and orientation,untyped_object_container_only,design.noises[].trajectory_snapshot | design.custom_looming_files[].trajectory_snapshot | design.prestimulus_files[].trajectory_snapshot,3,untyped per-source trajectory_snapshot objects,current StimulusDesign design_from_dict/design_to_dict contract only
target.trajectories.body_relative_axis,Trajectory and orientation,untyped_object_container_only,design.noises[].trajectory_snapshot | design.custom_looming_files[].trajectory_snapshot | design.prestimulus_files[].trajectory_snapshot,3,untyped per-source trajectory_snapshot objects,current StimulusDesign design_from_dict/design_to_dict contract only
target.trajectories.participant_posture,Trajectory and orientation,untyped_object_container_only,design.noises[].trajectory_snapshot | design.custom_looming_files[].trajectory_snapshot | design.prestimulus_files[].trajectory_snapshot,3,untyped per-source trajectory_snapshot objects,current StimulusDesign design_from_dict/design_to_dict contract only
target.trajectories.head_trunk_facing,Trajectory and orientation,untyped_object_container_only,design.noises[].trajectory_snapshot | design.custom_looming_files[].trajectory_snapshot | design.prestimulus_files[].trajectory_snapshot,3,untyped per-source trajectory_snapshot objects,current StimulusDesign design_from_dict/design_to_dict contract only
target.trajectories.gaze_fixation_eyes_policy,Trajectory and orientation,untyped_object_container_only,design.noises[].trajectory_snapshot | design.custom_looming_files[].trajectory_snapshot | design.prestimulus_files[].trajectory_snapshot,3,untyped per-source trajectory_snapshot objects,current StimulusDesign design_from_dict/design_to_dict contract only
target.trajectories.source_room_positions,Trajectory and orientation,untyped_object_container_only,design.noises[].trajectory_snapshot | design.custom_looming_files[].trajectory_snapshot | design.prestimulus_files[].trajectory_snapshot,3,untyped per-source trajectory_snapshot objects,current StimulusDesign design_from_dict/design_to_dict contract only
target.trajectories.movement_implementation,Trajectory and orientation,untyped_object_container_only,design.noises[].trajectory_snapshot | design.custom_looming_files[].trajectory_snapshot | design.prestimulus_files[].trajectory_snapshot,3,untyped per-source trajectory_snapshot objects,current StimulusDesign design_from_dict/design_to_dict contract only
target.trajectories.distance_or_soa_anchor_table,Trajectory and orientation,composite_over_typed_current_inputs,design.protocol.soa_values_ms | design.protocol.spatial_values_cm | design.protocol.pair_spatial_values_with_soas,3,current global SOA/distance pairing,current StimulusDesign design_from_dict/design_to_dict contract only
target.rendering.audio_output_mode,"Renderer, loudness, visual, and mixed-reality context",untyped_object_container_only,design.study_profile_reference_parameters,1,untyped study_profile_reference_parameters object; exact key consumption is not guaranteed,current StimulusDesign design_from_dict/design_to_dict contract only
target.rendering.renderer_engine,"Renderer, loudness, visual, and mixed-reality context",untyped_object_container_only,design.study_profile_reference_parameters,1,untyped study_profile_reference_parameters object; exact key consumption is not guaranteed,current StimulusDesign design_from_dict/design_to_dict contract only
target.rendering.renderer_version,"Renderer, loudness, visual, and mixed-reality context",untyped_object_container_only,design.study_profile_reference_parameters,1,untyped study_profile_reference_parameters object; exact key consumption is not guaranteed,current StimulusDesign design_from_dict/design_to_dict contract only
target.rendering.sofa_hrir_asset,"Renderer, loudness, visual, and mixed-reality context",typed_current_input,design.sofa_file,1,explicit semantic crosswalk,current StimulusDesign design_from_dict/design_to_dict contract only
target.rendering.hrtf_database,"Renderer, loudness, visual, and mixed-reality context",untyped_object_container_only,design.study_profile_reference_parameters,1,untyped study_profile_reference_parameters object; exact key consumption is not guaranteed,current StimulusDesign design_from_dict/design_to_dict contract only
target.rendering.hrtf_subject_id,"Renderer, loudness, visual, and mixed-reality context",untyped_object_container_only,design.study_profile_reference_parameters,1,untyped study_profile_reference_parameters object; exact key consumption is not guaranteed,current StimulusDesign design_from_dict/design_to_dict contract only
target.rendering.hrtf_filter_id,"Renderer, loudness, visual, and mixed-reality context",untyped_object_container_only,design.study_profile_reference_parameters,1,untyped study_profile_reference_parameters object; exact key consumption is not guaranteed,current StimulusDesign design_from_dict/design_to_dict contract only
target.rendering.near_field_compensation,"Renderer, loudness, visual, and mixed-reality context",untyped_object_container_only,design.study_profile_reference_parameters,1,untyped study_profile_reference_parameters object; exact key consumption is not guaranteed,current StimulusDesign design_from_dict/design_to_dict contract only
target.rendering.ild_itd_policy,"Renderer, loudness, visual, and mixed-reality context",untyped_object_container_only,design.study_profile_reference_parameters,1,untyped study_profile_reference_parameters object; exact key consumption is not guaranteed,current StimulusDesign design_from_dict/design_to_dict contract only
target.rendering.headphones_model,"Renderer, loudness, visual, and mixed-reality context",untyped_object_container_only,design.study_profile_reference_parameters,1,untyped study_profile_reference_parameters object; exact key consumption is not guaranteed,current StimulusDesign design_from_dict/design_to_dict contract only
target.rendering.audio_interface_model,"Renderer, loudness, visual, and mixed-reality context",untyped_object_container_only,design.study_profile_reference_parameters,1,untyped study_profile_reference_parameters object; exact key consumption is not guaranteed,current StimulusDesign design_from_dict/design_to_dict contract only
target.rendering.speaker_array_id,"Renderer, loudness, visual, and mixed-reality context",untyped_object_container_only,design.study_profile_reference_parameters,1,untyped study_profile_reference_parameters object; exact key consumption is not guaranteed,current StimulusDesign design_from_dict/design_to_dict contract only
target.rendering.speaker_model,"Renderer, loudness, visual, and mixed-reality context",untyped_object_container_only,design.study_profile_reference_parameters,1,untyped study_profile_reference_parameters object; exact key consumption is not guaranteed,current StimulusDesign design_from_dict/design_to_dict contract only
target.rendering.speaker_count,"Renderer, loudness, visual, and mixed-reality context",untyped_object_container_only,design.study_profile_reference_parameters,1,untyped study_profile_reference_parameters object; exact key consumption is not guaranteed,current StimulusDesign design_from_dict/design_to_dict contract only
target.rendering.speaker_array_layout,"Renderer, loudness, visual, and mixed-reality context",untyped_object_container_only,design.study_profile_reference_parameters,1,untyped study_profile_reference_parameters object; exact key consumption is not guaranteed,current StimulusDesign design_from_dict/design_to_dict contract only
target.rendering.speaker_switch_sequence,"Renderer, loudness, visual, and mixed-reality context",untyped_object_container_only,design.study_profile_reference_parameters,1,untyped study_profile_reference_parameters object; exact key consumption is not guaranteed,current StimulusDesign design_from_dict/design_to_dict contract only
target.rendering.speaker_switch_times_ms,"Renderer, loudness, visual, and mixed-reality context",untyped_object_container_only,design.study_profile_reference_parameters,1,untyped study_profile_reference_parameters object; exact key consumption is not guaranteed,current StimulusDesign design_from_dict/design_to_dict contract only
target.rendering.speaker_switch_channels,"Renderer, loudness, visual, and mixed-reality context",untyped_object_container_only,design.study_profile_reference_parameters,1,untyped study_profile_reference_parameters object; exact key consumption is not guaranteed,current StimulusDesign design_from_dict/design_to_dict contract only
target.rendering.speaker_switch_gains,"Renderer, loudness, visual, and mixed-reality context",untyped_object_container_only,design.study_profile_reference_parameters,1,untyped study_profile_reference_parameters object; exact key consumption is not guaranteed,current StimulusDesign design_from_dict/design_to_dict contract only
target.rendering.speaker_source_channel,"Renderer, loudness, visual, and mixed-reality context",untyped_object_container_only,design.study_profile_reference_parameters,1,untyped study_profile_reference_parameters object; exact key consumption is not guaranteed,current StimulusDesign design_from_dict/design_to_dict contract only
target.rendering.room_acoustics,"Renderer, loudness, visual, and mixed-reality context",untyped_object_container_only,design.study_profile_reference_parameters,1,untyped study_profile_reference_parameters object; exact key consumption is not guaranteed,current StimulusDesign design_from_dict/design_to_dict contract only
target.rendering.reverb_brir_policy,"Renderer, loudness, visual, and mixed-reality context",untyped_object_container_only,design.study_profile_reference_parameters,1,untyped study_profile_reference_parameters object; exact key consumption is not guaranteed,current StimulusDesign design_from_dict/design_to_dict contract only
target.rendering.drr_iacc_policy,"Renderer, loudness, visual, and mixed-reality context",untyped_object_container_only,design.study_profile_reference_parameters,1,untyped study_profile_reference_parameters object; exact key consumption is not guaranteed,current StimulusDesign design_from_dict/design_to_dict contract only
target.rendering.renderer_equivalence_boundary,"Renderer, loudness, visual, and mixed-reality context",untyped_object_container_only,design.study_profile_reference_parameters,1,untyped study_profile_reference_parameters object; exact key consumption is not guaranteed,current StimulusDesign design_from_dict/design_to_dict contract only
target.rendering.level_mode,"Renderer, loudness, visual, and mixed-reality context",untyped_object_container_only,design.study_profile_reference_parameters,1,untyped study_profile_reference_parameters object; exact key consumption is not guaranteed,current StimulusDesign design_from_dict/design_to_dict contract only
target.rendering.level_calibration_mode,"Renderer, loudness, visual, and mixed-reality context",untyped_object_container_only,design.study_profile_reference_parameters,1,untyped study_profile_reference_parameters object; exact key consumption is not guaranteed,current StimulusDesign design_from_dict/design_to_dict contract only
target.rendering.level_calibration_status,"Renderer, loudness, visual, and mixed-reality context",untyped_object_container_only,design.study_profile_reference_parameters,1,untyped study_profile_reference_parameters object; exact key consumption is not guaranteed,current StimulusDesign design_from_dict/design_to_dict contract only
target.rendering.start_spl_db,"Renderer, loudness, visual, and mixed-reality context",untyped_object_container_only,design.study_profile_reference_parameters,1,untyped study_profile_reference_parameters object; exact key consumption is not guaranteed,current StimulusDesign design_from_dict/design_to_dict contract only
target.rendering.end_spl_db,"Renderer, loudness, visual, and mixed-reality context",untyped_object_container_only,design.study_profile_reference_parameters,1,untyped study_profile_reference_parameters object; exact key consumption is not guaranteed,current StimulusDesign design_from_dict/design_to_dict contract only
target.rendering.instruction_offset_db,"Renderer, loudness, visual, and mixed-reality context",untyped_object_container_only,design.study_profile_reference_parameters,1,untyped study_profile_reference_parameters object; exact key consumption is not guaranteed,current StimulusDesign design_from_dict/design_to_dict contract only
target.rendering.gain_envelope_shape,"Renderer, loudness, visual, and mixed-reality context",untyped_object_container_only,design.study_profile_reference_parameters,1,untyped study_profile_reference_parameters object; exact key consumption is not guaranteed,current StimulusDesign design_from_dict/design_to_dict contract only
target.rendering.hold_level_policy,"Renderer, loudness, visual, and mixed-reality context",untyped_object_container_only,design.study_profile_reference_parameters,1,untyped study_profile_reference_parameters object; exact key consumption is not guaranteed,current StimulusDesign design_from_dict/design_to_dict contract only
target.rendering.level_calibration_window_ms,"Renderer, loudness, visual, and mixed-reality context",untyped_object_container_only,design.study_profile_reference_parameters,1,untyped study_profile_reference_parameters object; exact key consumption is not guaranteed,current StimulusDesign design_from_dict/design_to_dict contract only
target.rendering.estimated_full_scale_spl_db,"Renderer, loudness, visual, and mixed-reality context",untyped_object_container_only,design.study_profile_reference_parameters,1,untyped study_profile_reference_parameters object; exact key consumption is not guaranteed,current StimulusDesign design_from_dict/design_to_dict contract only
target.rendering.peak_ceiling_dbfs,"Renderer, loudness, visual, and mixed-reality context",untyped_object_container_only,design.study_profile_reference_parameters,1,untyped study_profile_reference_parameters object; exact key consumption is not guaranteed,current StimulusDesign design_from_dict/design_to_dict contract only
target.rendering.distance_gain_policy,"Renderer, loudness, visual, and mixed-reality context",untyped_object_container_only,design.study_profile_reference_parameters,1,untyped study_profile_reference_parameters object; exact key consumption is not guaranteed,current StimulusDesign design_from_dict/design_to_dict contract only
target.rendering.level_setting_hardware_policy,"Renderer, loudness, visual, and mixed-reality context",untyped_object_container_only,design.study_profile_reference_parameters,1,untyped study_profile_reference_parameters object; exact key consumption is not guaranteed,current StimulusDesign design_from_dict/design_to_dict contract only
target.rendering.visual_stimulus_type,"Renderer, loudness, visual, and mixed-reality context",untyped_object_container_only,design.study_profile_reference_parameters,1,untyped study_profile_reference_parameters object; exact key consumption is not guaranteed,current StimulusDesign design_from_dict/design_to_dict contract only
