layer,segment,parameter_key,parameter_label,publication_count,action_required_count,action_required_pct,status_counts_json,top_review_action
publication_evidence,2,PUB.S2.condition_intermixing,Condition intermixing,94,72,0.7659574468085106,"{""inferred_low_confidence"":7,""mixed"":1,""not_applicable"":1,""not_assessed"":29,""reported"":21,""source_unavailable"":35}",acquire_or_open_source
publication_evidence,2,PUB.S2.blocked_or_random_order,Blocked/random order,94,73,0.776595744680851,"{""inferred_low_confidence"":10,""mixed"":1,""not_applicable"":1,""not_assessed"":29,""not_reported_after_review"":1,""reported"":20,""source_unavailable"":32}",acquire_or_open_source
publication_evidence,2,PUB.S2.iti_jitter_policy,ITI/jitter policy,94,79,0.8404255319148937,"{""inferred_low_confidence"":10,""not_applicable"":1,""not_assessed"":29,""not_reported_after_review"":8,""reported"":14,""source_unavailable"":32}",acquire_or_open_source
publication_evidence,2,PUB.S2.response_window,Response window,94,84,0.8936170212765957,"{""inferred_low_confidence"":7,""not_applicable"":5,""not_assessed"":29,""not_reported_after_review"":11,""reported"":5,""reported_with_caveat"":2,""source_unavailable"":35}",acquire_or_open_source
publication_evidence,2,PUB.S2.task_sequence_rules,Task-critical sequence rules,94,71,0.7553191489361702,"{""inferred_low_confidence"":11,""not_applicable"":1,""not_assessed"":29,""reported"":22,""source_unavailable"":31}",acquire_or_open_source
publication_evidence,3,PUB.S3.tactile_stimulus,Tactile stimulus,94,72,0.7659574468085106,"{""inferred_low_confidence"":10,""not_applicable"":1,""not_assessed"":29,""reported"":21,""reported_with_caveat"":1,""source_unavailable"":32}",acquire_or_open_source
publication_evidence,3,PUB.S3.soa_table,SOA/distance-at-touch table,94,74,0.7872340425531915,"{""derived"":2,""inferred_low_confidence"":8,""mixed"":1,""not_applicable"":1,""not_assessed"":29,""reported"":19,""source_unavailable"":34}",acquire_or_open_source
publication_evidence,3,PUB.S3.baseline_strategy,Baseline strategy,94,72,0.7659574468085106,"{""derived"":1,""inferred_low_confidence"":5,""not_applicable"":1,""not_assessed"":29,""reported"":19,""reported_absent"":2,""source_unavailable"":37}",acquire_or_open_source
publication_evidence,3,PUB.S3.baseline_timing,Baseline SOAs/timing,94,72,0.7659574468085106,"{""inferred_low_confidence"":10,""mixed"":1,""not_applicable"":5,""not_assessed"":29,""reported"":17,""source_unavailable"":32}",acquire_or_open_source
publication_evidence,3,PUB.S3.catch_trial_type,Catch-trial type,94,72,0.7659574468085106,"{""derived"":1,""inferred_low_confidence"":9,""not_applicable"":6,""not_assessed"":29,""reported"":16,""source_unavailable"":33}",acquire_or_open_source
publication_evidence,4,PUB.S4.repetitions_per_tactile_soa_condition,Repetitions per tactile SOA/condition,94,73,0.776595744680851,"{""inferred_low_confidence"":8,""not_applicable"":1,""not_assessed"":29,""not_reported_after_review"":1,""protocol_lineage_derived"":1,""reported"":20,""source_unavailable"":34}",acquire_or_open_source
publication_evidence,4,PUB.S4.baseline_count,Baseline count,94,77,0.8191489361702128,"{""derived"":5,""inferred_low_confidence"":8,""not_applicable"":3,""not_assessed"":29,""not_reported_after_review"":1,""reported"":12,""reported_absent"":2,""source_unavailable"":34}",acquire_or_open_source
publication_evidence,4,PUB.S4.catch_count,Catch count,94,77,0.8191489361702128,"{""derived"":5,""inferred_low_confidence"":9,""not_applicable"":6,""not_assessed"":29,""not_reported_after_review"":1,""reported"":11,""source_unavailable"":33}",acquire_or_open_source
publication_evidence,4,PUB.S4.block_count,Block count,94,74,0.7872340425531915,"{""inferred_low_confidence"":1,""mixed"":1,""not_applicable"":1,""not_assessed"":29,""not_reported_after_review"":1,""reported"":19,""reported_with_toolkit_distribution"":1,""source_unavailable"":41}",acquire_or_open_source
publication_evidence,4,PUB.S4.total_trial_count,Total trial count,94,83,0.8829787234042553,"{""derived"":10,""inferred_low_confidence"":9,""not_applicable"":1,""not_assessed"":29,""not_reported_after_review"":1,""reported"":10,""source_inconsistency_caveat"":1,""source_unavailable"":33}",acquire_or_open_source
toolkit_implementation,0,KIT.S0.profile_identity,Profile identity,94,74,0.7872340425531915,"{""encoded"":20,""no_profile"":74}",create_profile_after_evidence_review
toolkit_implementation,0,KIT.S0.publication_reference,Publication reference,94,74,0.7872340425531915,"{""encoded"":20,""no_profile"":74}",create_profile_after_evidence_review
toolkit_implementation,0,KIT.S0.profile_parameter_provenance,Profile parameter provenance,94,74,0.7872340425531915,"{""encoded"":20,""no_profile"":74}",create_profile_after_evidence_review
toolkit_implementation,1,KIT.S1.source_stimulus_inventory,Source stimulus inventory,94,74,0.7872340425531915,"{""encoded"":20,""no_profile"":74}",create_profile_after_evidence_review
toolkit_implementation,1,KIT.S1.trajectory_snapshots,Trajectory snapshots,94,74,0.7872340425531915,"{""encoded"":20,""no_profile"":74}",create_profile_after_evidence_review
toolkit_implementation,1,KIT.S1.stimulus_duration,Stimulus duration,94,74,0.7872340425531915,"{""encoded"":20,""no_profile"":74}",create_profile_after_evidence_review
toolkit_implementation,2,KIT.S2.trial_sequence_rows,Trial sequence rows,94,74,0.7872340425531915,"{""encoded"":20,""no_profile"":74}",create_profile_after_evidence_review
toolkit_implementation,2,KIT.S2.jitter_values_ms,Jitter values,94,94,1,"{""defaulted"":20,""no_profile"":74}",create_profile_after_evidence_review
toolkit_implementation,2,KIT.S2.iti_jitter_policy,ITI/jitter policy,94,94,1,"{""defaulted"":20,""no_profile"":74}",create_profile_after_evidence_review
toolkit_implementation,3,KIT.S3.soa_values_ms,SOA values,94,74,0.7872340425531915,"{""encoded"":20,""no_profile"":74}",create_profile_after_evidence_review
toolkit_implementation,3,KIT.S3.tactile_sites,Tactile sites,94,74,0.7872340425531915,"{""encoded"":20,""no_profile"":74}",create_profile_after_evidence_review
toolkit_implementation,3,KIT.S3.baseline_mode,Baseline mode,94,74,0.7872340425531915,"{""encoded"":20,""no_profile"":74}",create_profile_after_evidence_review
toolkit_implementation,3,KIT.S3.baseline_count,Baseline count,94,80,0.851063829787234,"{""defaulted"":6,""encoded"":14,""no_profile"":74}",create_profile_after_evidence_review
toolkit_implementation,3,KIT.S3.catch_mode,Catch mode,94,76,0.8085106382978723,"{""defaulted"":2,""encoded"":18,""no_profile"":74}",create_profile_after_evidence_review
toolkit_implementation,4,KIT.S4.trial_pool_repetitions,Trial-pool repetitions,94,86,0.9148936170212766,"{""encoded"":8,""inferred"":12,""no_profile"":74}",create_profile_after_evidence_review
toolkit_implementation,5,KIT.S5.block_count,Block count,94,74,0.7872340425531915,"{""encoded"":20,""no_profile"":74}",create_profile_after_evidence_review
toolkit_implementation,5,KIT.S5.row_order_constraints,Row/order constraints,94,74,0.7872340425531915,"{""encoded"":20,""no_profile"":74}",create_profile_after_evidence_review
toolkit_implementation,6,KIT.S6.participants,Legacy order-preview count,94,74,0.7872340425531915,"{""encoded"":20,""no_profile"":74}",create_profile_after_evidence_review
toolkit_implementation,6,KIT.S6.experiment_parts,Experiment parts,94,94,1,"{""defaulted"":20,""no_profile"":74}",create_profile_after_evidence_review
toolkit_implementation,0,KIT.S0.profile_gap,Segment 0 profile gap,94,78,0.8297872340425532,"{""gap_defaulted"":2,""gap_missing"":1,""mixed"":1,""no_profile"":74,""none"":16}",create_profile_after_evidence_review
toolkit_implementation,1,KIT.S1.profile_gap,Segment 1 profile gap,94,77,0.8191489361702128,"{""gap_missing"":3,""no_profile"":74,""none"":17}",create_profile_after_evidence_review
toolkit_implementation,2,KIT.S2.profile_gap,Segment 2 profile gap,94,76,0.8085106382978723,"{""gap_missing"":2,""no_profile"":74,""none"":18}",create_profile_after_evidence_review
toolkit_implementation,3,KIT.S3.profile_gap,Segment 3 profile gap,94,75,0.7978723404255319,"{""gap_missing"":1,""no_profile"":74,""none"":19}",create_profile_after_evidence_review
toolkit_implementation,4,KIT.S4.profile_gap,Segment 4 profile gap,94,74,0.7872340425531915,"{""no_profile"":74,""none"":20}",create_profile_after_evidence_review
toolkit_implementation,5,KIT.S5.profile_gap,Segment 5 profile gap,94,75,0.7978723404255319,"{""gap_defaulted"":1,""no_profile"":74,""none"":19}",create_profile_after_evidence_review
toolkit_implementation,6,KIT.S6.profile_gap,Segment 6 profile gap,94,77,0.8191489361702128,"{""gap_defaulted"":3,""no_profile"":74,""none"":17}",create_profile_after_evidence_review
